publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
Journal of the Association for the Study of Food and Society	2331-4184		1996-01-01	1	1	1996-12-31	1	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rffc19		rffc19		fulltext	Now: Food, Culture and Society. Continues: Journal for the Study of Food and Society (1998-2003)		serial										2331-4184					
Food, Culture and Society	1552-8014	1751-7443	2004-01-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rffc20		rffc20		fulltext	Previously: Journal for the Study of Food and Society (1998-2003) Journal of the Association for the Study of Food and Society (1996)		serial										1552-8014	1751-7443				
Fashion Practice - The Journal of Design, Creative Process & the Fashion Industry	1756-9370	1756-9389	2009-05-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rffp20		rffp20		fulltext	transfer in (2015): Bloomsbury		serial										1756-9370	1756-9389				
Fashion Theory - The Journal of Dress, Body & Culture	1362-704X	1751-7419	1997-02-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfft20		rfft20		fulltext	transfer in (2015): Bloomsbury		serial										1362-704X	1751-7419				
Global Food History	2054-9547	2054-9555	2015-06-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfgf20		rfgf20			transfer in (2015): Bloomsbury		serial										2054-9547	2054-9555				
Home Cultures - The Journal of Architecture, Design & Domestic Space	1740-6315	1751-7427	2004-03-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfhc20		rfhc20		fulltext	transfer in (2015): Bloomsbury		serial										1740-6315	1751-7427				
The Brandywine Review of Faith & International Affairs	1543-5725		2003-01-01	1	1	2005-01-01			http://www.tandfonline.com/openurl?genre=journal&stitle=rfia19		rfia19		fulltext	now: The Review of Faith & International Affairs		serial										1543-5725					
The Review of Faith & International Affairs	1557-0274	1931-7743	2005-01-01	3	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rfia20		rfia20		fulltext	Previously: The Brandywine Review of Faith & International Affairs (2003-2005)		serial										1557-0274	1931-7743				
Interiors	2041-9112	2041-9120	2010-07-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfin20		rfin20		fulltext	transfer in (2015): Bloomsbury		serial										2041-9112	2041-9120				
International Feminist Journal of Politics	1461-6742	1468-4470	1999-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfjp20		rfjp20		fulltext			serial										1461-6742	1468-4470				
Luxury	2051-1817	2051-1825	2014-09-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rflu20		rflu20		fulltext	transfer in: (2015)		serial										2051-1817	2051-1825				
Journal of Modern Craft	1749-6772	1749-6780	2008-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfmc20		rfmc20		fulltext	transfer in (2015): Bloomsbury		serial										1749-6772	1749-6780				
Material Religion	1743-2200	1751-8342	2005-01-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfmr20		rfmr20		fulltext	transfer in (2015): Bloomsbury		serial										1743-2200	1751-8342				
Feminist Media Studies	1468-0777	1471-5902	2001-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfms20		rfms20		fulltext			serial										1468-0777	1471-5902				
Folklore	0015-587X	1469-8315	1878-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfol20		rfol20		fulltext			serial										0015-587X	1469-8315				
Photography and Culture	1751-4517	1751-4525	2008-07-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfpc20		rfpc20		fulltext	transfer in (2015): Bloomsbury		serial										1751-4517	1751-4525				
Journal of Religious and Political Practice	2056-6093	2056-6107	2015-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfrp20		rfrp20		fulltext	transfer in (2015): Bloomsbury		serial										2056-6093	2056-6107				
Family Science	1942-4620	1942-4639	2010-01-02	1	1	2015-12-31	6	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rfsc20		rfsc20		fulltext	Ceased:2016		serial										1942-4620	1942-4639				
Forum for Social Economics	0736-0932	1874-6381	1971-01-01	1	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rfse20		rfse20		fulltext			serial										0736-0932	1874-6381				
Sound Studies: An Interdisciplinary Journal 	2055-1940	2055-1959	2015-01-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfso20		rfso20		fulltext	Transfer in (2015): Bloomsbury 		serial										2055-1940	2055-1959				
The Senses and Society	1745-8927	1745-8935	2006-03-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfss20		rfss20		fulltext	transfer in (2015): Bloomsbury		serial										1745-8927	1745-8935				
Stanislavski Studies	2056-7790	2054-4170	2012-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfst20		rfst20		fulltext	transfer in (2015): Bloomsbury		serial										2056-7790	2054-4170				
Speech Association of America: Committee on Freedom of Speech - Yearbook	0584-8679		1962-01-01	1	1	1969-12-31			http://www.tandfonline.com/openurl?genre=journal&stitle=rfsy18		rfsy18		fulltext			serial										0584-8679					
First Amendment Studies	2168-9725	2168-9733	2013-01-01						http://www.tandfonline.com/openurl?genre=journal&stitle=rfsy19		rfsy19		fulltext	New in 2013. previously: Free Speech Yearbook (1970 - 2012)		serial										2168-9725	2168-9733				
The Journal of Textile Design Research and Practice	2051-1787	2051-1795	2013-01-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rftd20		rftd20		fulltext	transfer in (2015): Bloomsbury		serial										2051-1787	2051-1795				
Fatigue	#2167-1846	2164-1862	2013-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rftg20		rftg20		fulltext			serial										2167-1846	2164-1862				
New Review of Film and Television Studies	1740-0309	1740-7923	2003-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfts20		rfts20		fulltext			serial										1740-0309	1740-7923				
Textile: The Journal of Cloth & Culture	1475-9756	1751-8350	2003-03-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rftx20		rftx20		fulltext	transfer in (2015): Bloomsbury		serial										1475-9756	1751-8350				
First World War Studies	1947-5020	1947-5039	2010-01-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfww20		rfww20		fulltext			serial										1947-5020	1947-5039				
Global Affairs	2334-0460	2334-0479	2015-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgaf20		rgaf20		fulltext	New for 2015		serial										2334-0460	2334-0479				
Journal of Global Academy of Marketing Science	1229-7119		1998-01-01	1	1	2011-01-01	21	2	http://www.tandfonline.com/openurl?genre=journal&stitle=rgam19		rgam19		fulltext	now: Journal of Global Scholars of Marketing Science		serial										1229-7119					
Journal of Global Scholars of Marketing Science	2163-9159	2163-9167	2011-01-01	21	3				http://www.tandfonline.com/openurl?genre=journal&stitle=rgam20		rgam20		fulltext	previously: Journal of Global Academy of Marketing Science		serial										2163-9159	2163-9167				
Global Bioethics	1128-7462	1591-7398	1988-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgbe20		rgbe20		fulltext	Transfer in (2014): International Institute for Humankind Studies		serial										1128-7462	1591-7398				
International Research in Geographical and Environmental Education	1038-2046	1747-7611	1992-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgee20		rgee20		fulltext			serial										1038-2046	1747-7611				
GeoHumanities	2373-566X	2373-5678	2015-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgeo20		rgeo20		fulltext	New for 2015		serial										2373-566X	2373-5678				
Journal of East and West Studies	1229-4098		1973-01-01	1	1	1996-12-31	25	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rger19		rger19		fulltext			serial										1229-4098					
Global Economic Review	1226-508X	1744-3873	1973-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rger20		rger20		fulltext			serial										1226-508X	1744-3873				
The Geography Teacher	1933-8341	1752-6884	2007-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rget20		rget20		fulltext			serial										1933-8341	1752-6884				
