publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs
Reviews in Fisheries Science	1064-1262	1547-6553	1997-01-01	5	1	2013-12-31	21	03-Apr	http://www.tandfonline.com/openurl?genre=journal&stitle=brfs20		openurl?genre=journal&stitle=brfs20		fulltext	now: Reviews in Fisheries Science & Aquaculture		serial										1064-1262	1547-6553	
Critical Reviews in Solid State and Materials Sciences	1040-8436	1547-6561	1997-01-01	22	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bsms20		openurl?genre=journal&stitle=bsms20		fulltext			serial										1040-8436	1547-6561	
Journal of Soil Contamination	1058-8337		1997-01-01	6	1	2000-01-01	9	6	http://www.tandfonline.com/openurl?genre=journal&stitle=bssc19		openurl?genre=journal&stitle=bssc19		fulltext	now: Soil and Sediment Contamination: An International Journal (2001 - )		serial										1058-8337		
Soil and Sediment Contamination: An International Journal	1532-0383	1549-7887	2001-01-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bssc20		openurl?genre=journal&stitle=bssc20		fulltext	previously: Journal of Soil Contamination (1992 - 2000)		serial										1532-0383	1549-7887	
Assessment & Evaluation in Higher Education	0260-2938	1469-297X	1997-01-01	22	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caeh20		openurl?genre=journal&stitle=caeh20		fulltext			serial										0260-2938	1469-297X	
Asian Ethnicity	1463-1369	1469-2953	2000-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caet20		openurl?genre=journal&stitle=caet20		fulltext			serial										1463-1369	1469-2953	
African Identities	1472-5843	1472-5851	2003-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cafi20		openurl?genre=journal&stitle=cafi20		fulltext			serial										1472-5843	1472-5851	
Australian Feminist Studies	0816-4649	1465-3303	1997-01-01	12	25				http://www.tandfonline.com/openurl?genre=journal&stitle=cafs20		openurl?genre=journal&stitle=cafs20		fulltext			serial										0816-4649	1465-3303	
Australian Geographer	0004-9182	1465-3311	1997-01-01	28	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cage20		openurl?genre=journal&stitle=cage20		fulltext			serial										0004-9182	1465-3311	
Assessment in Education: Principles, Policy & Practice	0969-594X	1465-329X	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caie20		openurl?genre=journal&stitle=caie20		fulltext			serial										0969-594X	1465-329X	
Australian Journal of International Affairs	1035-7718	1465-332X	1997-01-01	51	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caji20		openurl?genre=journal&stitle=caji20		fulltext			serial										1035-7718	1465-332X	
Australian Journal of Linguistics	0726-8602	1469-2996	1997-01-01	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cajl20		openurl?genre=journal&stitle=cajl20		fulltext			serial										0726-8602	1469-2996	
Australian Journal of Political Science	1036-1146	1363-030X	1997-01-01	32	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cajp20		openurl?genre=journal&stitle=cajp20		fulltext			serial										1036-1146	1363-030X	
Al-Masaq	0950-3110	1473-348X	2002-01-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=calm20		openurl?genre=journal&stitle=calm20		fulltext			serial										0950-3110	1473-348X	
Action Learning: Research and Practice	1476-7333	1476-7341	2004-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=calr20		openurl?genre=journal&stitle=calr20		fulltext			serial										1476-7333	1476-7341	
Arabic & Middle Eastern Literature	1366-6169	1469-2929	1998-01-01	1	1	2001-01-01	4	2	http://www.tandfonline.com/openurl?genre=journal&stitle=came19		openurl?genre=journal&stitle=came19		fulltext	now: Middle Eastern Literatures		serial										1366-6169	1469-2929	
Middle Eastern Literatures	1475-262X	1475-2638	2002-01-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=came20		openurl?genre=journal&stitle=came20		fulltext			serial										1475-262X	1475-2638	
Aging & Mental Health	1360-7863	1364-6915	1997-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=camh20		openurl?genre=journal&stitle=camh20		fulltext			serial										1360-7863	1364-6915	
Anthropological Forum	0066-4677	1469-2902	1997-01-01	7	4				http://www.tandfonline.com/openurl?genre=journal&stitle=canf20		openurl?genre=journal&stitle=canf20		fulltext			serial										0066-4677	1469-2902	
Angelaki	0969-725X	1469-2899	1997-01-01	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cang20		openurl?genre=journal&stitle=cang20		fulltext			serial										0969-725X	1469-2899	
Anthropology & Medicine	1364-8470	1469-2910	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=canm20		openurl?genre=journal&stitle=canm20		fulltext			serial										1364-8470	1469-2910	
Asia Pacific Journal of Education	0218-8791	1742-6855	1997-01-01	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cape20		openurl?genre=journal&stitle=cape20		fulltext			serial										0218-8791	1742-6855	
Asia-Pacific Journal of Teacher Education	1359-866X	1469-2945	1997-01-01	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=capj20		openurl?genre=journal&stitle=capj20		fulltext			serial										1359-866X	1469-2945	
Asia-Pacific Review	1343-9006	1469-2937	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=capr20		openurl?genre=journal&stitle=capr20		fulltext			serial										1343-9006	1469-2937	
Asian Philosophy	0955-2367	1469-2961	1997-01-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=casp20		openurl?genre=journal&stitle=casp20		fulltext			serial										0955-2367	1469-2961	
Asian Studies Review	1035-7823	1467-8403	1997-01-01	20	3				http://www.tandfonline.com/openurl?genre=journal&stitle=casr20		openurl?genre=journal&stitle=casr20		fulltext			serial										1035-7823	1467-8403	
African Studies	0002-0184	1469-2872	1997-01-01	56	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cast20		openurl?genre=journal&stitle=cast20		fulltext			serial										0002-0184	1469-2872	
Avian Pathology	0307-9457	1465-3338	1997-01-01	26	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cavp20		openurl?genre=journal&stitle=cavp20		fulltext			serial										0307-9457	1465-3338	
Bulletin of Hispanic Studies	0007-490X		1997-01-01	74	1	2001-01-01	78	Supp 001	http://www.tandfonline.com/openurl?genre=journal&stitle=cbhs19		openurl?genre=journal&stitle=cbhs19		fulltext	now: Bulletin of Spanish Studies		serial										0007-490X		
Bulletin of Spanish Studies	1475-3820	1478-3428	2002-01-01	79	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbhs20		openurl?genre=journal&stitle=cbhs20		fulltext			serial										1475-3820	1478-3428	
Bulletin of Indonesian Economic Studies	0007-4918	1472-7234	1997-01-01	33	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbie20		openurl?genre=journal&stitle=cbie20		fulltext			serial										0007-4918	1472-7234	
British Journal of Guidance & Counselling	0306-9885	1469-3534	1997-01-01	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbjg20		openurl?genre=journal&stitle=cbjg20		fulltext			serial										0306-9885	1469-3534	
British Journal of Middle Eastern Studies	1353-0194	1469-3542	1997-01-01	24	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbjm20		openurl?genre=journal&stitle=cbjm20		fulltext			serial										1353-0194	1469-3542	
British Poultry Science	0007-1668	1466-1799	1997-01-01	38	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbps20		openurl?genre=journal&stitle=cbps20		fulltext			serial										0007-1668	1466-1799	
British Journal of Religious Education	0141-6200	1740-7931	1997-01-01	19	2				http://www.tandfonline.com/openurl?genre=journal&stitle=cbre20		openurl?genre=journal&stitle=cbre20		fulltext			serial										0141-6200	1740-7931	
British Journal of Sociology of Education	0142-5692	1465-3346	1997-01-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbse20		openurl?genre=journal&stitle=cbse20		fulltext			serial										0142-5692	1465-3346	
Biocontrol Science and Technology	0958-3157	1360-0478	1997-01-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cbst20		openurl?genre=journal&stitle=cbst20		fulltext			serial										0958-3157	1360-0478	
Cambridge Review of International Affairs	0955-7571	1474-449X	1997-01-01	10	2				http://www.tandfonline.com/openurl?genre=journal&stitle=ccam20		openurl?genre=journal&stitle=ccam20		fulltext			serial										0955-7571	1474-449X	
Central Asian Survey	0263-4937	1465-3354	1997-01-01	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccas20		openurl?genre=journal&stitle=ccas20		fulltext			serial										0263-4937	1465-3354	
Child Care in Practice	1357-5279	1476-489X	1997-01-01	3	3				http://www.tandfonline.com/openurl?genre=journal&stitle=cccp20		openurl?genre=journal&stitle=cccp20		fulltext			serial										1357-5279	1476-489X	
Comparative Education	0305-0068	1360-0486	1997-01-01	33	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cced20		openurl?genre=journal&stitle=cced20		fulltext			serial										0305-0068	1360-0486	
Changing English	1358-684X	1469-3585	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccen20		openurl?genre=journal&stitle=ccen20		fulltext			serial										1358-684X	1469-3585	
Children's Geographies	1473-3285	1473-3277	2003-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cchg20		openurl?genre=journal&stitle=cchg20		fulltext			serial										1473-3285	1473-3277	
City	1360-4813	1470-3629	1997-01-01	2	7				http://www.tandfonline.com/openurl?genre=journal&stitle=ccit20		openurl?genre=journal&stitle=ccit20		fulltext			serial										1360-4813	1470-3629	
Cambridge Journal of Education	0305-764X	1469-3577	1997-01-01	27	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccje20		openurl?genre=journal&stitle=ccje20		fulltext			serial										0305-764X	1469-3577	
Colonial Latin American Review	1060-9164	1466-1802	1997-01-01	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccla20		openurl?genre=journal&stitle=ccla20		fulltext			serial										1060-9164	1466-1802	
Compare: A Journal of Comparative and International Education	0305-7925	1469-3623	1997-01-01	27	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccom20		openurl?genre=journal&stitle=ccom20		fulltext			serial										0305-7925	1469-3623	
Continuum	1030-4312	1469-3666	1997-01-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccon20		openurl?genre=journal&stitle=ccon20		fulltext			serial										1030-4312	1469-3666	
Connection Science	0954-0091	1360-0494	1997-01-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccos20		openurl?genre=journal&stitle=ccos20		fulltext			serial										0954-0091	1360-0494	
Contemporary Politics	1356-9775	1469-3631	1997-01-01	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccpo20		openurl?genre=journal&stitle=ccpo20		fulltext			serial										1356-9775	1469-3631	
Counselling Psychology Quarterly	0951-5070	1469-3674	1997-01-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccpq20		openurl?genre=journal&stitle=ccpq20		fulltext			serial										0951-5070	1469-3674	
Critique: Critical Middle Eastern Studies	1066-9922	1473-9666	1997-01-01	6	10	2008-01-01	17	3	http://www.tandfonline.com/openurl?genre=journal&stitle=ccri19		openurl?genre=journal&stitle=ccri19		fulltext	now: Middle East Critique		serial										1066-9922	1473-9666	
Middle East Critique	1943-6149	1943-6157	2009-01-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccri20		openurl?genre=journal&stitle=ccri20		fulltext			serial										1943-6149	1943-6157	
Contemporary South Asia	0958-4935	1469-364X	1997-01-01	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccsa20		openurl?genre=journal&stitle=ccsa20		fulltext			serial										0958-4935	1469-364X	
Conflict, Security & Development	1467-8802	1478-1174	2001-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccsd20		openurl?genre=journal&stitle=ccsd20		fulltext			serial										1467-8802	1478-1174	
Citizenship Studies	1362-1025	1469-3593	1997-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccst20		openurl?genre=journal&stitle=ccst20		fulltext			serial										1362-1025	1469-3593	
Cultural Trends	0954-8963	1469-3690	1998-01-01	8	29				http://www.tandfonline.com/openurl?genre=journal&stitle=ccut20		openurl?genre=journal&stitle=ccut20		fulltext			serial										0954-8963	1469-3690	
Community, Work & Family	1366-8803	1469-3615	1998-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ccwf20		openurl?genre=journal&stitle=ccwf20		fulltext			serial										1366-8803	1469-3615	
Defense Analysis	0743-0175		1997-01-01	13	1	2001-01-01	17	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cdan19		openurl?genre=journal&stitle=cdan19		fulltext	now: Defense & Security Analysis		serial										0743-0175		
Defense & Security Analysis	1475-1798	1475-1801	2002-01-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdan20		openurl?genre=journal&stitle=cdan20		fulltext			serial										1475-1798	1475-1801	
Debatte: Journal of Contemporary Central and Eastern Europe	0965-156X	1469-3712	1997-01-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdeb20		openurl?genre=journal&stitle=cdeb20		fulltext			serial										0965-156X	1469-3712	
Distance Education	0158-7919	1475-0198	1997-01-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdie20		openurl?genre=journal&stitle=cdie20		fulltext			serial										0158-7919	1475-0198	
Development in Practice	0961-4524	1364-9213	1997-01-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdip20		openurl?genre=journal&stitle=cdip20		fulltext			serial										0961-4524	1364-9213	
Discourse: Studies in the Cultural Politics of Education	0159-6306	1469-3739	1997-01-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdis20		openurl?genre=journal&stitle=cdis20		fulltext			serial										0159-6306	1469-3739	
Development Southern Africa	0376-835X	1470-3637	1997-01-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdsa20		openurl?genre=journal&stitle=cdsa20		fulltext			serial										0376-835X	1470-3637	
Disability & Society	0968-7599	1360-0508	1997-01-01	12	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdso20		openurl?genre=journal&stitle=cdso20		fulltext			serial										0968-7599	1360-0508	
Dynamics and Stability of Systems	0268-1110	1465-3389	1997-01-01	12	1	2000-01-01	15	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cdss19		openurl?genre=journal&stitle=cdss19		fulltext	now: Dynamical Systems: An International Journal		serial										0268-1110	1465-3389	
Dynamical Systems	1468-9367	1468-9375	2001-01-01	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdss20		openurl?genre=journal&stitle=cdss20		fulltext			serial										1468-9367	1468-9375	
Ethics and Education	1744-9642	1744-9650	2006-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceae20		openurl?genre=journal&stitle=ceae20		fulltext			serial										1744-9642	1744-9650	
Europe-Asia Studies	0966-8136	1465-3427	1997-01-01	49	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceas20		openurl?genre=journal&stitle=ceas20		fulltext			serial										0966-8136	1465-3427	
Education Economics	0964-5292	1469-5782	1997-01-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cede20		openurl?genre=journal&stitle=cede20		fulltext			serial										0964-5292	1469-5782	
Educational Psychology	0144-3410	1469-5820	1997-01-01	17	01-Feb				http://www.tandfonline.com/openurl?genre=journal&stitle=cedp20		openurl?genre=journal&stitle=cedp20		fulltext			serial										0144-3410	1469-5820	
Educational Review	0013-1911	1465-3397	1997-01-01	49	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cedr20		openurl?genre=journal&stitle=cedr20		fulltext			serial										0013-1911	1465-3397	
Educational Studies	0305-5698	1465-3400	1997-01-01	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceds20		openurl?genre=journal&stitle=ceds20		fulltext			serial										0305-5698	1465-3400	
European Journal of Engineering Education	0304-3797	1469-5898	1997-01-01	22	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceee20		openurl?genre=journal&stitle=ceee20		fulltext			serial										0304-3797	1469-5898	
Environmental Education Research	1350-4622	1469-5871	1997-01-01	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceer20		openurl?genre=journal&stitle=ceer20		fulltext			serial										1350-4622	1469-5871	
European Journal of Intercultural studies	0952-391X		1997-01-01	8	1	1999-01-01	10	3	http://www.tandfonline.com/openurl?genre=journal&stitle=ceji19		openurl?genre=journal&stitle=ceji19		fulltext	now: Intercultural Education		serial										0952-391X		
Intercultural Education	1467-5986	1469-8439	2000-01-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceji20		openurl?genre=journal&stitle=ceji20		fulltext			serial										1467-5986	1469-8439	
The European Legacy	1084-8770	1470-1316	1997-01-01	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cele20		openurl?genre=journal&stitle=cele20		fulltext			serial										1084-8770	1470-1316	
Ethics, Place & Environment	1366-879X	1469-6703	2000-01-01	3	1	2010-01-01	13	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cepe20		openurl?genre=journal&stitle=cepe20		fulltext	now: Ethics, Policy & Environment		serial										1366-879X	1469-6703	
Ethics, Policy & Environment	2155-0085	2155-0093	2011-01-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cepe21		openurl?genre=journal&stitle=cepe21		fulltext	previously: Ethics, Place & Environment: A Journal of Philosophy & Geography (1998 - 2010)		serial										2155-0085	2155-0093	
Educational Psychology in Practice	0266-7363	1469-5839	1997-01-01	12	4				http://www.tandfonline.com/openurl?genre=journal&stitle=cepp20		openurl?genre=journal&stitle=cepp20		fulltext			serial										0266-7363	1469-5839	
European Planning Studies	0965-4313	1469-5944	1997-01-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceps20		openurl?genre=journal&stitle=ceps20		fulltext			serial										0965-4313	1469-5944	
European Review of History: Revue europeenne d'histoire	1350-7486	1469-8293	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cerh20		openurl?genre=journal&stitle=cerh20		fulltext			serial										1350-7486	1469-8293	
Economic Systems Research	0953-5314	1469-5758	1997-01-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cesr20		openurl?genre=journal&stitle=cesr20		fulltext			serial										0953-5314	1469-5758	
European Journal of Social Work	1369-1457	1468-2664	1998-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cesw20		openurl?genre=journal&stitle=cesw20		fulltext			serial										1369-1457	1468-2664	
European Journal of Teacher Education	0261-9768	1469-5928	1997-01-01	20	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cete20		openurl?genre=journal&stitle=cete20		fulltext			serial										0261-9768	1469-5928	
Early Years	0957-5146	1472-4421	1997-01-01	17	2				http://www.tandfonline.com/openurl?genre=journal&stitle=ceye20		openurl?genre=journal&stitle=ceye20		fulltext			serial										0957-5146	1472-4421	
Food and Agricultural Immunology	0954-0105	1465-3443	1997-01-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cfai20		openurl?genre=journal&stitle=cfai20		fulltext			serial										0954-0105	1465-3443	
Gender & Development	1355-2074	1364-9221	1997-01-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cgde20		openurl?genre=journal&stitle=cgde20		fulltext			serial										1355-2074	1364-9221	
Gender and Education	0954-0253	1360-0516	1997-01-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cgee20		openurl?genre=journal&stitle=cgee20		fulltext			serial										0954-0253	1360-0516	
Gender, Place & Culture	0966-369X	1360-0524	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cgpc20		openurl?genre=journal&stitle=cgpc20		fulltext			serial										0966-369X	1360-0524	
Globalisation, Societies and Education	1476-7724	1476-7732	2003-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cgse20		openurl?genre=journal&stitle=cgse20		fulltext			serial										1476-7724	1476-7732	
Global Society	1360-0826	1469-798X	1997-01-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cgsj20		openurl?genre=journal&stitle=cgsj20		fulltext			serial										1360-0826	1469-798X	
High Ability Studies	1359-8139	1469-834X	1997-01-01	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=chas20		openurl?genre=journal&stitle=chas20		fulltext			serial										1359-8139	1469-834X	
Higher Education Research & Development	0729-4360	1469-8366	1997-01-01	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cher20		openurl?genre=journal&stitle=cher20		fulltext			serial										0729-4360	1469-8366	
Historical Journal of Film, Radio and Television	0143-9685	1465-3451	1997-01-01	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=chjf20		openurl?genre=journal&stitle=chjf20		fulltext			serial										0143-9685	1465-3451	
Housing Studies	0267-3037	1466-1810	1997-01-01	12	1				http://www.tandfonline.com/openurl?genre=journal&stitle=chos20		openurl?genre=journal&stitle=chos20		fulltext			serial										0267-3037	1466-1810	
Industry & Innovation	1366-2716	1469-8390	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ciai20		openurl?genre=journal&stitle=ciai20		fulltext			serial										1366-2716	1469-8390	
Islam and Christian-Muslim Relations	0959-6410	1469-9311	1997-01-01	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cicm20		openurl?genre=journal&stitle=cicm20		fulltext			serial										0959-6410	1469-9311	
Information & Communications Technology Law	1360-0834	1469-8404	1997-01-01	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cict20		openurl?genre=journal&stitle=cict20		fulltext			serial										1360-0834	1469-8404	
Innovation: The European Journal of Social Science Research	1351-1610	1469-8412	1997-01-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ciej20		openurl?genre=journal&stitle=ciej20		fulltext			serial										1351-1610	1469-8412	
International Journal of Early Years Education	0966-9760	1469-8463	1997-01-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ciey20		openurl?genre=journal&stitle=ciey20		fulltext			serial										0966-9760	1469-8463	
International Journal of the Economics of Business	1357-1516	1466-1829	1997-01-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cijb20		openurl?genre=journal&stitle=cijb20		fulltext			serial										1357-1516	1466-1829	
International Journal of Children's Spirituality	1364-436X	1469-8455	1997-01-01	1	2				http://www.tandfonline.com/openurl?genre=journal&stitle=cijc20		openurl?genre=journal&stitle=cijc20		fulltext			serial										1364-436X	1469-8455	
International Journal of Disability, Development and Education	1034-912X	1465-346X	1997-01-01	44	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cijd20		openurl?genre=journal&stitle=cijd20		fulltext			serial										1034-912X	1465-346X	
International Journal of Environmental Health Research	0960-3123	1369-1619	1997-01-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cije20		openurl?genre=journal&stitle=cije20		fulltext			serial										0960-3123	1369-1619	
International Journal of the Legal Profession	0969-5958	1469-9257	1997-01-01	4	01-Feb				http://www.tandfonline.com/openurl?genre=journal&stitle=cijl20		openurl?genre=journal&stitle=cijl20		fulltext			serial										0969-5958	1469-9257	
International Journal of Water Resources Development	0790-0627	1360-0648	1997-01-01	13	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cijw20		openurl?genre=journal&stitle=cijw20		fulltext			serial										0790-0627	1360-0648	
Indonesia and the Malay World	1363-9811	1469-8382	1997-01-01	25	71				http://www.tandfonline.com/openurl?genre=journal&stitle=cimw20		openurl?genre=journal&stitle=cimw20		fulltext			serial										1363-9811	1469-8382	
International Planning Studies	1356-3475	1469-9265	1997-01-01	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cips20		openurl?genre=journal&stitle=cips20		fulltext			serial										1356-3475	1469-9265	
International Review of Applied Economics	0269-2171	1465-3486	1997-01-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cira20		openurl?genre=journal&stitle=cira20		fulltext			serial										0269-2171	1465-3486	
International Review of Law, Computers & Technology	1360-0869	1364-6885	1997-01-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cirl20		openurl?genre=journal&stitle=cirl20		fulltext			serial										1360-0869	1364-6885	
International Review of Sociology	0390-6701	1469-9273	1997-01-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cirs20		openurl?genre=journal&stitle=cirs20		fulltext			serial										0390-6701	1469-9273	
International Studies in the Philosophy of Science	0269-8595	1469-9281	1997-01-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cisp20		openurl?genre=journal&stitle=cisp20		fulltext			serial										0269-8595	1469-9281	
