publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
Human Gene Therapy	1043-0342	1557-7422	1990-03-01	1	1				http://online.liebertpub.com/hum		hum		fulltext			serial											1043-0342	1557-7422					Current	
Human Gene Therapy Clinical Development	2324-8637	2324-8645	2013-03-01	24	1				http://online.liebertpub.com/humc		humc		fulltext			serial											2324-8637	2324-8645					Current	
Human Gene Therapy Methods	1946-6536	1946-6544	2012-02-01	23					http://online.liebertpub.com/hgtb		hgtb		fulltext			serial											1946-6536	1946-6544					Current	
Monoclonal Antibodies in Immunodiagnosis and Immunotherapy		2167-9436	2013-02-01	32	1				http://online.liebertpub.com/loi/MAB		MAB		fulltext			serial									Previously: Hybridoma (1981-2001), Hybridoma and Hybridomics (2001-2004) and Hybridoma (2005-2012)			2167-9436					Current	
Industrial Biotechnology	1550-9087	1931-8421	2005-01-01	1	1				http://online.liebertpub.com/loi/IND		IND		fulltext			serial											1550-9087	1931-8421					Current	
Journal of Adolescent and Young Adult Oncology	2156-5333	2156-535X	2011-03-01	1	1				http://online.liebertpub.com/loi/JAYAO		JAYAO		fulltext			serial											2156-5333	2156-535X					Current	
Journal of Aerosol Medicine and Pulmonary Drug Delivery	1941-2711	1941-2703	2008-03-01	21	1				http://online.liebertpub.com/loi/JAMP		JAMP		fulltext			serial									Previously: Journal of Aerosol Medicine (1988-2007)		1941-2711	1941-2703					Current	
Journal of Alternative and Complementary Medicine, The	1075-5535	1557-7708	1995-01-01	1	1				http://online.liebertpub.com/loi/ACM		ACM		fulltext			serial											1075-5535	1557-7708					Current	
Rejuvenation Research	1549-1684	1557-8577	2004-05-01	7	1				http://online.liebertpub.com/loi/REJ		REJ		fulltext			serial									Previously: Journal of Anti-Aging Medicine (1998-2003)		1549-1684	1557-8577					Current	
Journal of Caffeine Research	2156-5783	2156-5368	2011-03-01	1	1				http://online.liebertpub.com/loi/JCR		JCR		fulltext			serial											2156-5783	2156-5368					Current	
