publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
JOURNAL OF GEOPHYSICAL RESEARCH: SOLID EARTH	2169-9313	2169-9356									JGRB													
JOURNAL OF GEOPHYSICAL RESEARCH: OCEANS	2169-9275	2169-9291									JGRC													
JOURNAL OF GEOPHYSICAL RESEARCH: ATMOSPHERES	2169-897X	2169-8996									JGRD													
JOURNAL OF GEOPHYSICAL RESEARCH: PLANETS	2169-9097	2169-9100									JGRE													
JOURNAL OF GEOPHYSICAL RESEARCH: EARTH SURFACE	2169-9003	2169-9011									JGRF													
JOURNAL OF GEOPHYSICAL RESEARCH: BIOGEOSCIENCES	2169-8953	2169-8961									JGRG													
JOURNAL OF ANATOMY	0021-8782	1469-7580									JOA													
JOURNAL OF FAMILY THERAPY	0163-4445	1467-6427									JOFT													
JOURNAL OF APPLIED ECOLOGY	0021-8901	1365-2664									JPE													
JOURNAL OF THROMBOSIS AND HAEMOSTASIS	1538-7933	1538-7836									JTH													
JOURNAL OF TRAVEL MEDICINE	1195-1982	1708-8305									JTM													
LINGUISTICS ABSTRACTS	0267-5498	#PRINT ONLY									LABS													
LIVER TRANSPLANTATION	1527-6465	1527-6473									LT													
MICROSCOPY AND ANALYSIS - ASIA/PACIFIC	2043-0647	#PRINT ONLY									MAA													
MICROSCOPY AND ANALYSIS EMEA ISSUE	2049-4424	#PRINT ONLY									MAEM													
MICROSCOPY AND ANALYSIS - AMERICAS	2043-0639	#PRINT ONLY									MAU													
MOVEMENT DISORDERS CLINICAL PRACTICE		2330-1619									MDC3													
METHODS IN ECOLOGY AND EVOLUTION	#E-ONLY TITLE	2041-210X									MEE3													
INFORMATION DISPLAY	0362-0972	#PRINT ONLY									MSID													
NORTH AMERICAN DIALOGUE (ELECTRONIC)	1539-2546	1556-4819									NAD2													
NEUROLOGY AND CLINICAL NEUROSCIENCE (ELECTRONIC)	#E-ONLY TITLE	2049-4173									NCN3													
NONPROFIT COMMUNICATIONS REPORT  (ELECTRONIC)	1549-778X	2325-8616									NPCR													
NEW PHYTOLOGIST (ELECTRONIC)	0028-646X	1469-8137									NPH													
OBESITY	1930-7381	1930-739X									OBY													
PALAEONTOLOGY	0031-0239	1475-4983									PALA													
PLASTICS ENGINEERING	0091-9578	1941-9635									PENG													
POLAR: POLITICAL AND LEGAL ANTHROPOLOGY REVIEW	1081-6976	1555-2934									PLAR													
PROCEEDINGS OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE & TECHNOLOGY (ELECTRONIC)	0044-7870	1550-8390									PRA2													
PROTEIN SCIENCE (ELECTRONIC)	0961-8368	1469-896X									PRO													
QUANTITATIVE ECONOMICS	1759-7323	1759-7331									QUAN													
REVIEW OF EDUCATION	#E-ONLY TITLE	2049-6613									REV3													
RESEARCH WORLD		2330-4448									RWM3													
SPECTROSCOPY EUROPE	0966-0941	#PRINT ONLY									SE													
ECONOMIC ANTHROPOLOGY	#TBC	#TBC									SEA2													
STRATEGIC ENROLLMENT MANAGEMENT QUARTERLY (ELECTRONIC)	#E-ONLY TITLE	2325-4750									SEM3													
SOCIOLOGY OF HEALTH & ILLNESS	0141-9889	1467-9566									SHIL													
THE HOSPITALIST	1553-085X	#PRINT ONLY									SHM													
SEXUAL MEDICINE REVIEWS	2050-0513	2050-0521									SMRJ													
SWISS POLITICAL SCIENCE REVIEW	1424-7755	1662-6370									SPSR													
TESOL JOURNAL (ELECTRONIC)	#E-ONLY TITLE	1949-3533									TES5													
THEORETICAL ECONOMICS	1933-6837	1555-7561									THEC													
THE RHEUMATOLOGIST	1931-3268	1931-3209									THR													
THE JOURNAL OF PHYSIOLOGY	0022-3751	1469-7793									TJP													
TROPICAL MEDICINE & INTERNATIONAL HEALTH	1360-2276	1365-3156									TMI													
THE OBSTETRICIAN & GYNAECOLOGIST	1467-2561	1744-4667									TOG													
THE PLANT JOURNAL	0960-7412	1365-313X									TPJ													
TRAFFIC (ELECTRONIC)	1398-9219	1600-0854									TRA													
ULTRASOUND IN OBSTETRICS & GYNECOLOGY	0960-7692	1469-0705									UOG													
WILEY INTERDISCIPLINARY REVIEWS: WATER	#E-ONLY TITLE	2049-1948									WAT2													
