publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	pkb-pidurltoc	pkb-subjectcategory	pkb-primarysubectarea	pkb-originalcompany	pkb-media
AMERICAN JOURNAL OF HUMAN BIOLOGY  (ELECTRONIC)	1520-6300	1520-6300							http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300		AJHB					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300/issues	Life Sciences	Ecology & Organismal Biology	Wiley	Online
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE	1097-0274	1097-0274							http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274		AJIM					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274/issues	Medical, Veterinary and Health Sciences	Environmental & Occupational Health	Wiley	Print & Online
AMERICAN JOURNAL OF MEDICAL GENETICS	1552-4876	1552-4833							http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876		AJMG					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876/issues	Life Sciences	Medical Genetics	Wiley	Print & Online
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	1096-8644	1096-8644							http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644		AJPA					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644/issues	Life Sciences	Biological Anthropology	Wiley	Print & Online
AMERICAN JOURNAL OF POLITICAL SCIENCE	1540-5907	1540-5907							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5907		AJPS					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5907/issues	Humanities and Social Sciences	General & Introductory Political Science	Blackwell	Print & Online
AMERICAN JOURNAL OF PRIMATOLOGY  (ELECTRONIC)	1098-2345	1098-2345							http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345		AJP					http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345/issues	Life Sciences	Comparative Biology (Botany & Zoology)	Wiley	Online
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY	1600-0897	1600-0897							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0897		AJI					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0897/issues	Medical, Veterinary and Health Sciences	Allergy & Clinical Immunology	Blackwell	Online
AMERICAN JOURNAL OF TRANSPLANTATION	1600-6143	1600-6143							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-6143		AJT					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-6143/issues	Medical, Veterinary and Health Sciences	Transplantation	Blackwell	Print & Online
THE AMERICAN JOURNAL ON ADDICTIONS	1521-0391	1521-0391							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1521-0391		AJAD					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1521-0391/issues	Medical, Veterinary and Health Sciences	Addiction	Blackwell	Print & Online
ANAESTHESIA	1365-2044	1365-2044							http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2044		ANAE					http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2044/issues	Medical, Veterinary and Health Sciences	Anesthesia & Pain Management	Blackwell	Print & Online
