"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"coverage_notes"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"
"IET Computer Vision"	"1751-9632"	"1751-9640"	"2007-03"	"1"	"1"	"2007-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-cvi"	""	"iet-cvi"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Vision, Image and Signal Processing"	"fee-based (P)"
"Computer-Aided Engineering Journal"	"0263-9327"	"2054-0353"	"1983-11"	"1"	"1"	"1991-12"	"8"	"6"	"http://digital-library.theiet.org/content/journals/cae"	""	"cae"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Computerised Manufacturing"	"0269-8536"	"2054-0396"	"1986-06"	"1986"	"1"	"1989-12"	"1989"	"2"	"http://digital-library.theiet.org/content/journals/cm"	""	"cm"	""	"fulltext"	""	""	"Peter Peregrinus"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IET Computers & Digital Techniques"	"1751-8601"	"1751-861X"	"2007-01"	"1"	"1"	"2007-01"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-cdt"	""	"iet-cdt"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Computers and Digital Techniques"	"fee-based (P)"
"IEE Journal on Computers and Digital Techniques"	"0140-1335"	"2053-8006"	"1978-02"	"1"	"1"	"1979-12"	"2"	"6"	"http://digital-library.theiet.org/content/journals/ij-cdt"	""	"ij-cdt"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings - Computers and Digital Techniques"	"1350-2387"	"1359-7027"	"1994-01"	"141"	"1"	"2006-11"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-cdt"	""	"ip-cdt"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings E (Computers and Digital Techniques)"	"fee-based (P)"
"IEE Proceedings E (Computers and Digital Techniques)"	"0143-7062"	"2053-7948"	"1980-01"	"127"	"1"	"1993-11"	"140"	"6"	"http://digital-library.theiet.org/content/journals/ip-e"	""	"ip-e"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the Institution of Electrical Engineers"	"fee-based (P)"
"Computing & Control Engineering Journal"	"0956-3385"	"1741-0460"	"1990-01"	"1"	"1"	"2002-12"	"13"	"6"	"http://digital-library.theiet.org/content/journals/ccej"	""	"ccej"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Computing and Control Engineering"	"0956-3385"	"1741-0460"	"2003-02"	"14"	"1"	"2007-12"	"18"	"6"	"http://digital-library.theiet.org/content/journals/cce"	""	"cce"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Computing & Control Engineering Journal"	"fee-based (P)"
"IET Control Theory & Applications"	"1751-8644"	"1751-8652"	"2007-01"	"1"	"1"	""	""	""	"http://digital-library.theiet.org/content/journals/iet-cta"	""	"iet-cta"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Control Theory and Applications"	"fee-based (P)"
"IEE Proceedings - Control Theory and Applications"	"1350-2379"	"1359-7035"	"1994-01"	"141"	"1"	"2006-11"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-cta"	""	"ip-cta"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings D (Control Theory and Applications)"	"fee-based (P)"
"IEE Proceedings D (Control Theory and Applications)"	"0143-7054"	"2053-793X"	"1980-01"	"127"	"1"	"1993-11"	"140"	"6"	"http://digital-library.theiet.org/content/journals/ip-d"	""	"ip-d"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the Institution of Electrical Engineers"	"fee-based (P)"
"IEE Journal on Electric Power Applications"	"0140-1327"	"2053-7999"	"1978-02"	"1"	"1"	"1979-12"	"2"	"6"	"http://digital-library.theiet.org/content/journals/ij-epa"	""	"ij-epa"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings - Electric Power Applications"	"1350-2352"	"1359-7043"	"1994-01"	"141"	"1"	"2006-11"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-epa"	""	"ip-epa"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings B (Electric Power Applications)"	"fee-based (P)"
"IEE Proceedings B (Electric Power Applications)"	"0143-7038"	"2053-7913"	"1980-01"	"127"	"1"	"1993-11"	"140"	"6"	"http://digital-library.theiet.org/content/journals/ip-b"	""	"ip-b"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Journal on Electric Power Applications"	"fee-based (P)"
"IET Electric Power Applications"	"1751-8660"	"1751-8679"	"2007-01"	"1"	"1"	"2007-01"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-epa"	""	"iet-epa"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Electric Power Applications"	"fee-based (P)"
"IET Electrical Systems in Transportation"	"2042-9738"	"2042-9746"	"2011-03"	"1"	"1"	"2011-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-est"	""	"iet-est"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Journal on Electronic Circuits and Systems"	"0308-6984"	"2053-8014"	"1976-09"	"1"	"1"	"1979-11"	"3"	"6"	"http://digital-library.theiet.org/content/journals/ij-ecs"	""	"ij-ecs"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings G (Electronic Circuits and Systems)"	"0143-7089"	"2053-7964"	"1980-02"	"127"	"1"	"1988-12"	"135"	"6"	"http://digital-library.theiet.org/content/journals/ip-g-1"	""	"ip-g-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Journal on Electronic Circuits and Systems"	"fee-based (P)"
"Electronic Systems News"	"0265-0096"	"2054-0310"	"1981-07"	"1981"	"7"	"1989-12"	"1989"	"1"	"http://digital-library.theiet.org/content/journals/esn"	""	"esn"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Electronics & Communication Engineering Journal"	"0954-0695"	"2051-218X"	"1989-03"	"1"	"2"	"2002-12"	"14"	"6"	"http://digital-library.theiet.org/content/journals/ecej"	""	"ecej"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electronic and Radio Engineers"	"fee-based (P)"
"Electronics & Power"	"0013-5127"	"2053-7883"	"1964-01"	"10"	"1"	"1987-12"	"33"	"11"	"http://digital-library.theiet.org/content/journals/ep"	""	"ep"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the IEE"	"fee-based (P)"
"Electronics Education"	"0957-2953"	"2054-0329"	"1990-12"	"1990"	"1"	"2009-12"	"2009"	"1"	"http://digital-library.theiet.org/content/journals/ee"	""	"ee"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Electronic Systems News"	"fee-based (P)"
"Electronics Letters"	"0013-5194"	"1350-911X"	"1965-03"	"1"	"1"	"1965-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/el"	""	"el"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Electronics Systems and Software"	"1479-8336"	"1741-0479"	"2003-02"	"1"	"1"	"2007-12"	"5"	"6"	"http://digital-library.theiet.org/content/journals/ess"	""	"ess"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Engineering & Technology Reference"	""	"2056-4007"	"2012-01"	"1"	"1"	"2012-01"	"1"	"1"	"http://digital-library.theiet.org/content/reference/etr"	""	"etr"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Engineering & Technology"	"1750-9637"	"1750-9645"	"2006-04"	"1"	"1"	"2015-07"	"10"	"6"	"http://digital-library.theiet.org/content/journals/et"	""	"et"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Engineering Management"	"0960-7919"	"1741-0487"	"2003-02"	"13"	"1"	"2007-12"	"17"	"6"	"http://digital-library.theiet.org/content/journals/em"	""	"em"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Engineering Management Journal"	"fee-based (P)"
"Engineering Management Journal"	"0960-7919"	"1741-0487"	"1991-02"	"1"	"1"	"2002-12"	"12"	"6"	"http://digital-library.theiet.org/content/journals/emj"	""	"emj"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Engineering Science & Education Journal"	"0963-7346"	"2051-2147"	"1992-02"	"1"	"1"	"2002-12"	"11"	"6"	"http://digital-library.theiet.org/content/journals/esej"	""	"esej"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IET Generation, Transmission & Distribution"	"1751-8687"	"1751-8695"	"2007-01"	"1"	"1"	"2007-01"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-gtd"	""	"iet-gtd"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Generation, Transmission and Distribution"	"fee-based (P)"
"IEE Proceedings - Generation, Transmission and Distribution"	"1350-2360"	"1359-7051"	"1994-01"	"141"	"1"	"2006-11"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-gtd"	""	"ip-gtd"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings C (Generation, Transmission and Distribution)"	"fee-based (P)"
"IEE Proceedings C (Generation, Transmission and Distribution)"	"0143-7046"	"2053-7921"	"1980-01"	"127"	"1"	"1993-11"	"140"	"6"	"http://digital-library.theiet.org/content/journals/ip-c"	""	"ip-c"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the Institution of Electrical Engineers"	"fee-based (P)"
"Healthcare Technology Letters"	""	"2053-3713"	"2014-03"	"1"	"1"	"2014-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/htl"	""	"htl"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"High Voltage"	""	"2397-7264"	"2016-04"	"1"	"1"	""	""	""	"http://digital-library.theiet.org/content/journals/hve"	""	"hve"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Journal of the IEE"	"0368-2692"	"2054-0574"	"1955-01"	"1"	"1"	"1963-12"	"9"	"108"	"http://digital-library.theiet.org/content/journals/jiee-3"	""	"jiee-3"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the IEE - Part I: General"	"fee-based (P)"
"Proceedings of the IEE - Part A: Power Engineering"	"0369-8882"	"2054-040X"	"1955-02"	"102"	"1"	"1962-12"	"109"	"48"	"http://digital-library.theiet.org/content/journals/pi-a"	""	"pi-a"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the IEE - Part II: Power Engineering"	"fee-based (P)"
"Proceedings of the IEE - Part B: Electronic and Communication Engineering"	"0369-8890"	"2054-0418"	"1959-01"	"106"	"13S"	"1962-11"	"109"	"48"	"http://digital-library.theiet.org/content/journals/pi-b-2"	""	"pi-b-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the IEE - Part B: Radio and Electronic Engineering"	"fee-based (P)"
"Proceedings of the IEE - Part B: Radio and Electronic Engineering"	"2050-2656"	"2054-0434"	"1955-01"	"102"	"1"	"1959-03"	"106"	"26"	"http://digital-library.theiet.org/content/journals/pi-b-1"	""	"pi-b-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the IEE - Part III: Radio and Communication Engineering"	"fee-based (P)"
"Proceedings of the IEE - Part C: Monographs"	"0369-8904"	"2054-0426"	"1955-03"	"102"	"1"	"1962-09"	"109"	"16"	"http://digital-library.theiet.org/content/journals/pi-c"	""	"pi-c"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the IEE - Part IV: Institution Monographs"	"fee-based (P)"
"Proceedings of the IEE - Part I: General"	"0369-8920"	"2054-0620"	"1949-01"	"96"	"97"	"1954-11"	"101"	"132"	"http://digital-library.theiet.org/content/journals/pi-1"	""	"pi-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part I: General"	"fee-based (P)"
"Proceedings of the IEE - Part IA: Electric Railway Traction"	"2050-5515"	"2054-071X"	"1950-01"	"97"	"1"	"1950-01"	"97"	"1"	"http://digital-library.theiet.org/content/journals/pi-1a"	""	"pi-1a"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Proceedings of the IEE - Part II: Power Engineering"	"0369-8939"	"2054-0639"	"1949-02"	"96"	"49"	"1954-12"	"101"	"84"	"http://digital-library.theiet.org/content/journals/pi-2"	""	"pi-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part II: Power Engineering"	"fee-based (P)"
"Proceedings of the IEE - Part IIA: Insulating Materials"	"2050-5531"	"2054-0736"	"1953-03"	"100"	"3"	"1953-03"	"100"	"3"	"http://digital-library.theiet.org/content/journals/pi-2a"	""	"pi-2a"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part IIA: Automatic Regulators and Servo Mechanisms"	"fee-based (P)"
"Proceedings of the IEE - Part III: Radio and Communication Engineering"	"0369-8947"	"2054-0442"	"1949-01"	"96"	"39"	"1954-11"	"101"	"74"	"http://digital-library.theiet.org/content/journals/pi-3"	""	"pi-3"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part III: Radio and Communication Engineering"	"fee-based (P)"
"Proceedings of the IEE - Part IIIA: Television"	"2050-5507"	"2054-0760"	"1952-01"	"99"	"17"	"1952-01"	"99"	"17"	"http://digital-library.theiet.org/content/journals/pi-3a"	""	"pi-3a"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part IIIA: Radiocommunication"	"fee-based (P)"
"Proceedings of the IEE - Part IV: Institution Monographs"	"0369-8912"	"2054-0701"	"1951-10"	"98"	"1"	"1954-08"	"101"	"7"	"http://digital-library.theiet.org/content/journals/pi-4"	""	"pi-4"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE-IERE Proceedings India"	"0018-9146"	"2054-1570"	"1969-12"	"7"	"1"	"1978-12"	"16"	"1"	"http://digital-library.theiet.org/content/journals/iipi"	""	"iipi"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the Indian Division of the Institution of Electronic and Radio Engineers"	"fee-based (P)"
"IET Image Processing"	"1751-9659"	"1751-9667"	"2007-03"	"1"	"1"	"2007-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-ipr"	""	"iet-ipr"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Vision, Image and Signal Processing"	"fee-based (P)"
"Proceedings of the Indian Division of the British Institution of Radio Engineers"	"2278-7224"	"2054-1554"	"1963-06"	"1"	"1"	"1963-12"	"1"	"3"	"http://digital-library.theiet.org/content/journals/pidbire"	""	"pidbire"	""	"fulltext"	""	""	"BIRE"	"serial"	""	""	""	""	""	""	"Journal of the British Institution of Radio Engineers"	"fee-based (P)"
"Proceedings of the Indian Division of the Institution of Electronic and Radio Engineers"	"0374-3977"	"2054-1562"	"1964-12"	"2"	"1"	"1968-12"	"6"	"1"	"http://digital-library.theiet.org/content/journals/pidiere"	""	"pidiere"	""	"fulltext"	""	""	"Institution of Electronic and Radio Engineers"	"serial"	""	""	""	""	""	""	"Proceedings of the Indian Division of the British Institution of Radio Engineers"	"fee-based (P)"
"Information Professional"	"1743-694X"	""	"2004-04"	"1"	"1"	"2007-12"	"4"	"6"	"http://digital-library.theiet.org/content/journals/inp"	""	"inp"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings - Information Security"	"1747-0722"	"1747-0730"	"2005-10"	"152"	"1"	"2006-12"	"153"	"4"	"http://digital-library.theiet.org/content/journals/ip-ifs"	""	"ip-ifs"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IET Information Security"	"1751-8709"	"1751-8717"	"2007-03"	"1"	"1"	"2007-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-ifs"	""	"iet-ifs"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Information Security"	"fee-based (P)"
"Journal of the Institution of Electrical Engineers"	"0099-2887"	"2054-0612"	"1889-01"	"18"	"77"	"1940-12"	"87"	"528"	"http://digital-library.theiet.org/content/journals/jiee-1"	""	"jiee-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part I: General"	"fee-based (P)"
"Journal of the Institution of Electrical Engineers"	"0368-2692"	"2054-0574"	"1949-01"	"1949"	"1"	"1954-12"	"1954"	"12"	"http://digital-library.theiet.org/content/journals/jiee-2"	""	"jiee-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part I: General"	"fee-based (P)"
"Journal of the Institution of Electrical Engineers - Part I: General"	"0367-7559"	"2054-0582"	"1941-01"	"88"	"1"	"1948-12"	"95"	"96"	"http://digital-library.theiet.org/content/journals/ji-1"	""	"ji-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers"	"fee-based (P)"
"Journal of the Institution of Electrical Engineers - Part II: Power Engineering"	"0367-7567"	"2054-0590"	"1941-02"	"88"	"1"	"1948-12"	"95"	"48"	"http://digital-library.theiet.org/content/journals/ji-2"	""	"ji-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers"	"fee-based (P)"
"Journal of the Institution of Electrical Engineers - Part IIA: Automatic Regulators and Servo Mechanisms"	"2050-5523"	"2054-0728"	"1947-05"	"94"	"1"	"1947-05"	"94"	"1"	"http://digital-library.theiet.org/content/journals/ji-2a"	""	"ji-2a"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Journal of the Institution of Electrical Engineers - Part III: Communication Engineering"	"2050-2605"	"2054-0647"	"1941-03"	"88"	"1"	"1944-12"	"91"	"16"	"http://digital-library.theiet.org/content/journals/ji-3-1"	""	"ji-3-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers"	"fee-based (P)"
"Journal of the Institution of Electrical Engineers - Part III: Radio and Communication Engineering"	"0367-7540"	"2054-0604"	"1945-03"	"92"	"17"	"1948-11"	"95"	"38"	"http://digital-library.theiet.org/content/journals/ji-3-2"	""	"ji-3-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part III: Communication Engineering"	"fee-based (P)"
"Journal of the Institution of Electrical Engineers - Part IIIA: Radiocommunication"	"2050-5493"	"2054-0752"	"1947-12"	"94"	"11"	"1947-12"	"94"	"11"	"http://digital-library.theiet.org/content/journals/ji-3a-2"	""	"ji-3a-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Electrical Engineers - Part IIIA: Radiolocation"	"fee-based (P)"
"Journal of the Institution of Electrical Engineers - Part IIIA: Radiolocation"	"2050-5485"	"2054-0744"	"1946-01"	"93"	"1"	"1946-01"	"93"	"1"	"http://digital-library.theiet.org/content/journals/ji-3a-1"	""	"ji-3a-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Proceedings of the Institution of Electrical Engineers"	"0020-3270"	"2053-7891"	"1963-01"	"110"	"1"	"1979-12"	"126"	"12"	"http://digital-library.theiet.org/content/journals/piee"	""	"piee"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the IEE - Part C: Monographs"	"fee-based (P)"
"Journal of the Institution of Electronic and Radio Engineers"	"0267-1689"	"2054-0361"	"1985-01"	"55"	"1"	"1988-12"	"58"	"1"	"http://digital-library.theiet.org/content/journals/jiere"	""	"jiere"	""	"fulltext"	""	""	"Institution of Electronic and Radio Engineers"	"serial"	""	""	""	""	""	""	"Radio and Electronic Engineer"	"fee-based (P)"
"Proceedings of the Institution of Electronic and Radio Engineers"	"0538-0014"	"2054-0566"	"1964-12"	"2"	"2"	"1970-12"	"8"	"10"	"http://digital-library.theiet.org/content/journals/piere"	""	"piere"	""	"fulltext"	""	""	"Institution of Electronic and Radio Engineers"	"serial"	""	""	""	""	""	""	"Proceedings of the British Institution of Radio Engineers"	"fee-based (P)"
"Institution of Production Engineers Journal"	"2053-7867"	"2053-7867"	"1953-01"	"32"	"1"	"1959-12"	"38"	"12"	"http://digital-library.theiet.org/content/journals/ipej"	""	"ipej"	""	"fulltext"	""	""	"Peter Peregrinus"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Production Engineers"	"fee-based (P)"
"Journal of the Institution of Production Engineers"	"0368-2757"	"2053-7867"	"1931-01"	"10"	"1"	"1952-12"	"31"	"12"	"http://digital-library.theiet.org/content/journals/jipe"	""	"jipe"	""	"fulltext"	""	""	"Peter Peregrinus"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Intelligent Systems Engineering"	"0963-9640"	"2054-0345"	"1992-12"	"1"	"1"	"1994-12"	"3"	"1"	"http://digital-library.theiet.org/content/journals/ise"	""	"ise"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings - Intelligent Transport Systems"	"1748-0248"	"1748-0256"	"2006-03"	"153"	"1"	"2006-12"	"153"	"4"	"http://digital-library.theiet.org/content/journals/ip-its"	""	"ip-its"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
