publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Au jeu du miroir : le nouveau monde de l’image									http://www.cairn.info/au-jeu-du-miroir-le-nouveau-monde-de-l-image--2910729490.htm		ERES_CHOUL_2004_01				
Au nom du 11 septembre... 									http://www.cairn.info/au-nom-du--9782707153296.htm		DEC_BIGO_2008_01				
Au nom du consommateur									http://www.cairn.info/au-nom-du-consommateur--9782707145093.htm		DEC_CHATR_2005_01				
Au plus près de l'expérience psychotique									http://www.cairn.info/au-plus-pres-de-l-experience-psychotique--9782749211350.htm		ERES_BALES_2009_01				
Autisme : état des lieux et horizons									http://www.cairn.info/autisme-etat-des-lieux-et-horizons--9782749205076.htm		ERES_DELIO_2008_02				
Autoritarismes démocratiques. Démocraties autoritaires au XXIe siècle									http://www.cairn.info/autoritarismes-democratiques--9782707156266.htm		DEC_DABEM_2008_01				
Aux limites du sujet									http://www.cairn.info/aux-limites-du-sujet--9782749205892.htm		ERES_CHEML_2006_01				
Aux origines de l’action sociale									http://www.cairn.info/aux-origines-de-l-action-sociale--9782865868407.htm		ERES_FELLE_2001_01				
L'avenir du passé									http://www.cairn.info/l-avenir-du-passe --9782707154958.htm		DEC_DEMOU_2008_01				
Avons-nous encore besoin d'un tiers ?									http://www.cairn.info/avons-nous-encore-besoin-d-un-tiers--9782749205236.htm		ERES_LEBRU_2005_02				
Les banlieues de l'Europe									http://www.cairn.info/les-banlieues-de-l-europe-les-politiques-de-voisin--9782724610444.htm		SCPO_RUPNI_2007_01				
Barbie, Touvier, Papon									http://www.cairn.info/barbie-touvier-papon--9782746702639.htm		AUTRE_SALAS_2002_01				
Le bas de l'échelle									http://www.cairn.info/le-bas-de-l-echelle--9782749205526.htm		ERES_LELAY_2006_01				
Bébés-ados : à corps et à cri									http://www.cairn.info/bebes-ados-a-corps-et-a-cri--9782749208688.htm		ERES_GOLSE_2008_01				
Le bébé du diagnostic prénatal									http://www.cairn.info/le-bebe-du-diagnostic-prenatal--9782749201856.htm		ERES_SEGUR_2003_01				
Bébé est mort									http://www.cairn.info/bebe-est-mort--9782749204673.htm		ERES_CLERG_2005_01				
Le bébé et ses institutions									http://www.cairn.info/le-bebe-et-ses-institutions--9782865869459.htm		ERES_DELIO_2001_01				
Le bébé, ses parents, leurs soignants									http://www.cairn.info/le-bebe-ses-parents-leurs-soignants--9782749209944.htm		ERES_MYRIA_2008_01				
Les bébés à risque autistique									http://www.cairn.info/les-bebes-a-risque-autistique--9782749209739.htm		ERES_DELIO_2008_03				
Bébés agressifs, bébés agressés									http://www.cairn.info/bebes-agressifs-bebes-agresses--9782749209715.htm		ERES_GOLSE_2008_03				
Bébés et cultures									http://www.cairn.info/bebes-et-cultures--9782749210131.htm		ERES_DUGNA_2008_01				
BECS&nbsp: Batterie d'évaluation cognitive et socio-émotionnelle									http://www.cairn.info/batterie-d-evaluation-cognitive--9782804159078.htm		DBU_ADRIE_2008_01				
Les bégaiements de l'adulte									http://www.cairn.info/les-begaiements-de-l-adulte--9782804700737.htm		MARD_PIERA_2011_01				
La berceuse									http://www.cairn.info/la-berceuse--9782749209258.htm		ERES_ALTMA_2008_01				
Bifurcations									http://www.cairn.info/bifurcations--9782707156006.htm		DEC_BESSI_2009_01				
Le bilan d’Obama									http://www.cairn.info/le-bilan-d-obama--9782724611915.htm		SCPO_RICHO_2012_01				
Bilan neuropsychologique de l'enfant									http://www.cairn.info/bilan-neuropsychologique-de-l-enfant--9782870099643.htm		MARD_NOEL_2007_01				
La bioéquité									http://www.cairn.info/la-bioequite--9782746712669.htm		AUTRE_BELLI_2009_01				
La boulimie, une indication pour se perdre									http://www.cairn.info/la-boulimie-une-indication-pour-se-perdre--9782749209876.htm		ERES_VINCE_2008_01				
Briser la spirale des conflits									http://www.cairn.info/briser-la-spirale-des-conflits-guerre-civile--9782804147716.htm		DBU_BANQU_2005_01				
Cadres&nbsp: la grande rupture									http://www.cairn.info/cadres-la-grande-rupture--9782707134721.htm		DEC_BOUFF_2001_01				
Le cancer : approche psychodynamique chez l’adulte									http://www.cairn.info/le-cancer-approche-psychodynamique-chez-l-adulte--2749203139.htm		ERES_BENSO_2004_01				
Cancer et maternité									http://www.cairn.info/cancer-et-maternite--9782749215280.htm		ERES_LOF_2012_01				
Cancer et recherches en sciences humaines									http://www.cairn.info/cancer-et-recherches-en-sciences-humaines--9782749208572.htm		ERES_REYNI_2008_01				
Cannabis									http://www.cairn.info/cannabis--9782804157128.htm		DBU_STREE_2008_01				
Capital humain et dualisme sur le marché du travail									http://www.cairn.info/capital-humain-et-dualisme-sur-le-marche-du-travai--9782804139940.htm		DBU_CROIX_2002_01				
Capital social et dynamique régionale									http://www.cairn.info/capital-social-et-dynamique-regionale--9782804149420.htm		DBU_HOUAR_2005_01				
Capitales de la modernité									http://www.cairn.info/capitales-de-la-modernite--9782841621088.htm		ECLA_SIMAY_2005_01				
Cent mots pour les bébés d’aujourd’hui									http://www.cairn.info/cent-mots-pour-les-bebes-d-aujourd-hui--9782749210575.htm		ERES_BENSO_2009_01				
Les chaos du vieillissement									http://www.cairn.info/les-chaos-du-vieillissement--9782749202235.htm		ERES_PERSO_2003_01				
Charges de famille									http://www.cairn.info/charges-de-famille--9782707141347.htm		DEC_WEBER_2003_01				
Les chercheurs et l'innovation									http://www.cairn.info/les-chercheurs-et-l-innovation--9782738008206.htm		QUAE_INRA_1998_01				
Le choc colonial et l'islam									http://www.cairn.info/le-choc-colonial-et-l-islam--9782707146960.htm		DEC_LUIZA_2006_01				
Le choc des métropoles									http://www.cairn.info/le-choc-des-metropoles--9782303000840.htm		ECLA_FUZES_2008_01				
Chrétiens du monde arabe									http://www.cairn.info/chretiens-du-monde-arabe--9782746703902.htm		AUTRE_HEYBE_2003_01				
La chronicité en psychiatrie aujourd'hui									http://www.cairn.info/la-chronicite-en-psychiatrie-aujourd-hui--9782749203652.htm		ERES_DELIO_2004_01				
Le citoyen									http://www.cairn.info/le-citoyen--9782724607932.htm		SCPO_BADIE_2000_01				
Citoyens et Délateurs									http://www.cairn.info/citoyens-et-delateurs--9782746707283.htm		AUTRE_BRODE_2005_01				
La civilisation du judaïsme									http://www.cairn.info/la-civilisation-du-judaisme--9782841622832.htm		ECLA_TRIGA_2012_01				
Classe, religion & comportement politique									http://www.cairn.info/classe-religion-et-comportement-politique--9782724603873.htm		SCPO_MICHE_1977_01				
Clinique de la déshumanisation									http://www.cairn.info/clinique-de-la-deshumanisation--9782749214535.htm		ERES_FREYM_2011_01				
Clinique des perversions									http://www.cairn.info/clinique-des-perversions--9782749207131.htm		ERES_DETYC_2007_01				
Clinique du couple									http://www.cairn.info/clinique-du-couple--978274920695.htm		ERES_DENEU_2007_01				
Clinique du suicide									http://www.cairn.info/clinique-du-suicide--9782749200804.htm		ERES_MOREL_2004_01				
Cliniques de la création									http://www.cairn.info/cliniques-de-la-creation--9782804155476.htm		DBU_BRUN_2007_01				
Cliniques du sujet handicapé									http://www.cairn.info/cliniques-du-sujet-handicape--9782749207766.htm		ERES_SCELL_2007_01				
Cocaïne. Aphasies. Études des textes préanalytiques de Freud									http://www.cairn.info/cocaine-aphasies-etudes-des-textes-de-freud--9782749206684.htm		ERES_CHASS_2006_01				
Les codes de la différence									http://www.cairn.info/les-codes-de-la-difference-race-origine-religion-f--9782724609611.htm		SCPO_KASTO_2005_02				
Combats de femmes 1789-1799									http://www.cairn.info/combats-de-femmes-1789-1799--9782746703971.htm		AUTRE_MORIN_2003_01				
Combats de femmes 1914-1918									http://www.cairn.info/combats-de-femmes-1914-1918--9782746705159.htm		AUTRE_MORIN_2004_01				
Comment fonctionne la Russie ?									http://www.cairn.info/comment-fonctionne-la-russie--9782746703803.htm		AUTRE_MENDR_2003_01				
Comment les électeurs font-ils leur choix&nbsp?									http://www.cairn.info/comment-les-electeurs-font-ils-leur-choix--9782724611076.htm		SCPO_CAUTR_2009_01				
Comment les Gaules devinrent romaines									http://www.cairn.info/comment-les-gaules-devinrent-romaines--9782707159076.htm		DEC_OUZOU_2010_01				
Comment sanctionner le crime ?									http://www.cairn.info/comment-sanctionner-le-crime--9782749200507.htm		ERES_COLLE_2002_01				
Comment se contruisent les problèmes de santé publique									http://www.cairn.info/comment-se-contruisent-les-problemes-de-sante-publ--9782707159106.htm		DEC_GILBE_2009_01				
Comparutions immédiates : quelle justice ?									http://www.cairn.info/comparutions-immediates-quelle-justice--9782749215136.htm		ERES_WELZE_2012_01				
Compétences cognitives, linguistiques et sociales de l'enfant sourd									http://www.cairn.info/competences-cognitives-linguistiques-et-sociales-d--9782870099339.htm		MARD_HAGE_2006_01				
Compétences et contenus									http://www.cairn.info/competences-et-contenus--9782804156343.htm		DBU_AUDIG_2008_01				
Concentration économique et ségrégation spatiale									http://www.cairn.info/concentration-economique-et-segregation-spatiale--9782804148775.htm		DBU_BUISS_2005_01				
Concevoir et construire la décision									http://www.cairn.info/concevoir-et-construire-la-decision--9782759203659.htm		QUAE_TURKH_2009_01				
Les conditions de vie défavorisées influent-elles sur le développement des jeunes enfants ?									http://www.cairn.info/les-conditions-de-vie-defavorisees-influent-elles--9782749205113.htm		ERES_ZAOUC_2005_01				
Conflits de savoirs en formation des enseignants									http://www.cairn.info/conflits-de-savoirs-en-formation-des-enseignants--9782804156350.htm		DBU_PERRE_2008_01				
Conflits et conflictualité dans le soin psychique									http://www.cairn.info/conflits-et-conflictualite-dans-le-soin-psychique--9782749208565.htm		ERES_SASSO_2008_01				
Conflits et pouvoirs dans les institutions du capitalisme									http://www.cairn.info/conflits-et-pouvoirs-dans-les-institutions-du-capi--9782724610727.htm		SCPO_LORDO_2008_01				
Connaître le handicap, reconnaître la personne									http://www.cairn.info/connaitre-le-handicap-reconnaitre-la-personne--9782865867516.htm		ERES_GARDO_2005_01				
Le consentement éclairé en périnatalité et en pédiatrie									http://www.cairn.info/le-consentement-eclaire-en-perinatalite-et-en-pedi--978274920314.htm		ERES_SEGUR_2004_01				
Les conservateurs américains se mobilisent									http://www.cairn.info/les-conservateurs-americains-se-mobilisent--9782746711457.htm		AUTRE_HURET_2008_01				
Les constructions de l'intolérable									http://www.cairn.info/les-constructions-de-l-intolerable--9782707145109.htm		DEC_BOURD_2005_01				
Construire une communauté éducative									http://www.cairn.info/construire-une-communaute-educative-un-partenariat--9782804156992.htm		DBU_PITHO_2008_01				
Continuerlalutte.com									http://www.cairn.info/continuerlalutte-com--9782724612172.htm		SCPO_GREFF_2011_01				
Continuité des soins, continuité psychique									http://www.cairn.info/continuite-des-soins-continuite-psychique--9782749212777.htm		ERES_DENIS_2010_01				
Controverses climatiques, sciences et politique									http://www.cairn.info/controverses-climatiques-sciences-et-politique--9782724612394.htm		SCPO_BELAN_2012_02				
Conventions & management									http://www.cairn.info/conventions-et-management--9782804143398.htm		DBU_AMBLA_2003_01				
Coordonner, collaborer, coopérer									http://www.cairn.info/coordonner-collaborer-cooperer--9782804155223.htm		DBU_MARCE_2007_01				
Corps, acte et symbolisation									http://www.cairn.info/corps-acte-et-symbolisation--9782804156701.htm		DBU_CHOUV_2008_01				
Le corps dans le langage des adolescents									http://www.cairn.info/le-corps-dans-le-langage-des-adolescents--9782749210315.htm		ERES_NASSI_2009_01				
Corps de femmes									http://www.cairn.info/corps-de-femmes-sexualite--9782804139476.htm		DBU_COENE_2002_01				
Corps normalisé, corps stigmatisé, corps racialisé									http://www.cairn.info/corps-normalise-corps-stigmatise-corps-racialise--9782804155506.htm		DBU_BOETS_2007_01				
Le corps, porte-parole de l’enfant et de l’adolescent									http://www.cairn.info/le-corps-porte-parole-de-l-enfant-et-de-l-adolesce--9782749214337.htm		ERES_BERGE_2011_01				
Corps, psychose et institution									http://www.cairn.info/corps-psychose-et-institution--2749200482.htm		ERES_DELIO_2007_02				
Couple conjugal, couple parental : vers de nouveaux modèles									http://www.cairn.info/couple-conjugal-couple-parental-vers-de-nouveaux--978274920806.htm		ERES_ROBIN_2007_01				
Les crèches dans un réseau de prévention précoce									http://www.cairn.info/les-creches-dans-un-reseau-de-prevention-precoce--9782749208527.htm		ERES_CADAR_2008_01				
Crises extrêmes									http://www.cairn.info/crises-extremes--9782707149800.htm		DEC_LEPAP_2006_01				
Cultiver									http://www.cairn.info/cultiver--9782865868285.htm		ERES_SALVA_2001_01				
Culture coloniale 1871-1931									http://www.cairn.info/culture-coloniale-1871-1931--9782746702998.htm		AUTRE_BLANC_2003_01				
La culture des surdoués ?									http://www.cairn.info/la-culture-des-surdoues--2749206677.htm		ERES_BERGE_2006_01				
Culture et bientraitance									http://www.cairn.info/culture-et-bientraitance--9782804148867.htm		DBU_DESME_2005_01				
Culture impériale 1931-1961									http://www.cairn.info/culture-imperiale--9782746704855.htm		AUTRE_BLANC_2004_01				
Culture post-coloniale 1961-2006									http://www.cairn.info/culture-post-coloniale-1961-2006--9782746708952.htm		AUTRE_BLANC_2006_01				
Les cultures des Juifs									http://www.cairn.info/les-cultures-des-juifs--9782841621125.htm		ECLA_BIALE_2005_01				
Les cultures politiques des Français									http://www.cairn.info/les-cultures-politiques-des-francais--9782724608021.htm		SCPO_BRECH_2000_01				
Curriculum, enseignement et pilotage									http://www.cairn.info/curriculum-enseignement-et-pilotage--9782804152284.htm		DBU_AUDIG_2006_01				
Dans la famille... Je demande le père									http://www.cairn.info/dans-la-famille-je-demande-le-pere--9782749203553.htm		ERES_HURET_2005_01				
Dans les coulisses du social									http://www.cairn.info/dans-les-coulisses-du-social--9782749212920.htm		ERES_CHATE_2010_01				
