publication_title	print_identifier	online_identifier	first_author	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
L'évaluation des politiques publiques	9782707154873	9782707166241	Bernard Perret	http://www.cairn.info/l-evaluation-des-politiques-publiques--9782707154873.htm	2010-11-03							DEC_PERRE_2008_01												
La gestion financière de l'entreprise	9782707142276	9782707161352	Christian Pierrat	http://www.cairn.info/la-gestion-financiere-de-l-entreprise--9782707142276.htm	2010-11-24							DEC_PIERR_2009_01												
La gestion financière de l'entreprise	9782707178183	9782707182272	Christian Pierrat	http://www.cairn.info/la-gestion-financiere-de-l-entreprise--9782707178183.htm	2014-04-21							DEC_PIERR_2014_01												
L'économie des inégalités	9782707156082	9782707162410	Thomas Piketty	http://www.cairn.info/l-economie-des-inegalites--9782707156082.htm	2010-11-05							DEC_PIKET_2008_01												
Sociologie de Paris	9782707156105	9782707163783	Michel Pinçon	http://www.cairn.info/sociologie-de-paris--9782707156105.htm	2010-11-17							DEC_PINCO_2008_01												
Sociologie de la bourgeoisie	9782707146823	9782707163653	Michel Pinçon	http://www.cairn.info/sociologie-de-la-bourgeoisie--9782707146823.htm	2010-11-18							DEC_PINCO_2009_01												
Le commerce international	9782707158406	9782707162021	Michel Rainelli	http://www.cairn.info/le-commerce-international--9782707158406.htm	2010-11-24							DEC_RAINE_2009_01												
Les ONG	9782707157270	9782707166029	Philippe Ryfman	http://www.cairn.info/les-ong--9782707157270.htm	2010-11-17							DEC_RYFMA_2009_01												
Le coaching	9782130594833	9782130622437	Pierre Angel	http://www.cairn.info/le-coaching--9782130594833.htm	2012-07-09							PUF_ANGEL_2012_01												
La versification	9782130590903	9782130605904	Michèle Aquien	http://www.cairn.info/la-versification--9782130590903.htm	2011-09-27							PUF_AQUIE_2011_01												
Les 100 mots du surréalisme	9782130582205	9782130604204	Paul Aron	http://www.cairn.info/les-100-mots-du-surrealisme--9782130582205.htm	2010-09-27							PUF_ARON_2010_01												
La cybersécurité	9782130579724	9782130603733	Nicolas Arpagian	http://www.cairn.info/la-cybersecurite--9782130579724.htm	2010-09-09							PUF_ARPAG_2010_01												
Introduction au droit	9782130562559	9782130600121	Jean-Luc Aubert	http://www.cairn.info/introduction-au-droit--9782130562559.htm	2010-03-03							PUF_AUBER_2007_01												
La littérature espagnole	9782130531722	9782130599241	Charles-Vincent Aubrun	http://www.cairn.info/la-litterature-espagnole--9782130531722.htm	2010-03-15							PUF_AUBRU_2004_01												
Lexique de droit constitutionnel	9782130592068	9782130622000	Pierre Avril	http://www.cairn.info/lexique-de-droit-constitutionnel--9782130592068.htm	2012-01-29							PUF_AVRIL_2012_01												
Les médias	9782130595144	9782130622567	Francis Balle	http://www.cairn.info/les-medias--9782130595144.htm	2012-09-19							PUF_BALLE_2012_01												
Histoire de la laïcité en France	9782130581253	9782130604013	Jean Baubérot	http://www.cairn.info/histoire-de-la-laicite-en-france--9782130581253.htm	2010-06-16							PUF_BAUBE_2010_01												
Les laïcités dans le monde	9782130586159	9782130605201	Jean Baubérot	http://www.cairn.info/les-laicites-dans-le-monde--9782130586159.htm	2011-02-10							PUF_BAUBE_2010_02												
Les Vikings	9782130541271	9782130596530	Pierre Bauduin	http://www.cairn.info/les-vikings--9782130541271.htm	2010-02-25							PUF_BAUDU_2004_01												
La négociation	9782130591412	9782130605997	Lionel Bellenger	http://www.cairn.info/la-negociation--9782130591412.htm	2011-12-06							PUF_BELLE_2011_01												
Les théories de la connaissance	9782130590217	9782130605805	Jean-Michel Besnier	http://www.cairn.info/les-theories-de-la-connaissance--9782130590217.htm	2011-09-27							PUF_BESNI_2011_01												
Les enfants intellectuellement précoces	9782130539254	9782130596820	Gérard Bléandonu	http://www.cairn.info/les-enfants-intellectuellement-precoces--9782130539254.htm	2010-03-04							PUF_BLEAN_2004_01												
Le web marketing	9782130586067	9782130605140	Stéphane Bodier	http://www.cairn.info/le-web-marketing--9782130586067.htm	2011-04-18							PUF_BODIE_2011_01												
Histoire de l'Inde	9782130586494	9782130605263	Michel Boivin	http://www.cairn.info/histoire-de-l-inde--9782130586494.htm	2011-04-19							PUF_BOIVI_2011_01												
Les perversions sexuelles	9782130588412	9782130605560	Gérard Bonnet	http://www.cairn.info/les-perversions-sexuelles--9782130588412.htm	2011-08-09							PUF_BONNE_2011_01												
Les méthodes en pédagogie	9782130595021	9782130622512	Marc Bru	http://www.cairn.info/les-methodes-en-pedagogie--9782130595021.htm	2012-07-08							PUF_BRU_2012_01												
Le Nouveau Testament	9782130541288	9782130597957	Régis Burnet	http://www.cairn.info/le-nouveau-testament--9782130541288.htm	2010-03-04							PUF_BURNE_2004_01												
Histoire du droit	9782130585169	9782130604983	Jean-Marie Carbasse	http://www.cairn.info/histoire-du-droit--9782130585169.htm	2010-09-29							PUF_CARBA_2010_01												
L'historiographie	9782130531289	9782130598879	Charles-Olivier Carbonell	http://www.cairn.info/l-historiographie--9782130531289.htm	2010-03-09							PUF_CARBO_2002_02												
Les politiques de la ville	9782130591504	9782130606055	Claude Chaline	http://www.cairn.info/les-politiques-de-la-ville--9782130591504.htm	2011-10-02							PUF_CHALI_2011_01												
Histoire du judaïsme	9782130525745	9782130597681	André Chouraqui	http://www.cairn.info/histoire-du-judaisme--9782130525745.htm	2010-03-06							PUF_CHOUR_2002_01												
La précarité	9782130589334	9782130605690	Patrick Cingolani	http://www.cairn.info/la-precarite--9782130589334.htm	2011-05-22							PUF_CINGO_2011_01												
Les 100 mythes de la culture générale	9782130580843	9782130603894	Éric Cobast	http://www.cairn.info/les 100-mythes-de-la-culture-generale--9782130580843.htm	2010-10-26							PUF_COBAS_2010_01												
L'ethnométhodologie	9782130523468	9782130599944	Alain Coulon	http://www.cairn.info/l-ethnomethodologie--9782130523468.htm	2010-03-07							PUF_COULO_2007_01												
Histoire de la franc-maçonnerie française	9782130589174	9782130605621	Roger Dachez	http://www.cairn.info/histoire-de-la-franc-maconnerie-francaise--9782130589174.htm	2011-04-11							PUF_DACHE_2011_01												
La publicité	9782130539100	9782130598947	Armand Dayan	http://www.cairn.info/la-publicite--9782130539100.htm	2010-03-04							PUF_DAYAN_2003_01												
La géopolitique	9782130592167	9782130622055	Alexandre Defay	http://www.cairn.info/la-geopolitique--9782130592167.htm	2012-04-18							PUF_DEFAY_2012_01												
La philosophie médiévale	9782130515807	9782130599906		http://www.cairn.info/la-philosophie-medievale--9782130515807.htm	2010-03-07							PUF_DELIB_2001_01												
Le Coran	9782130576785	9782130603146	François Déroche	http://www.cairn.info/le-coran--9782130576785.htm	2010-03-29							PUF_DEROC_2009_01												
Le narcissisme	9782130564119	9782130600770	Pierre Dessuant	http://www.cairn.info/le-narcissisme--9782130564119.htm	2010-03-08							PUF_DESSU_2007_01												
Internet	9782130554714	9782130596691	Arnaud Dufour	http://www.cairn.info/internet--9782130554714.htm	2010-03-12							PUF_DUFOU_2006_01												
Le droit international	9782130517016	9782130599883	René-Jean Dupuy	http://www.cairn.info/le-droit-international--9782130517016.htm	2010-03-08							PUF_DUPUY_2001_01												
Sociologie du sport	9782130592495	9782130622161	Pascal Duret	http://www.cairn.info/sociologie-du-sport--9782130592495.htm	2012-04-12							PUF_DURET_2012_01												
Les états limites	9782130591542	9782130606062	Vincent Estellon	http://www.cairn.info/les-etats-limites--9782130591542.htm	2012-01-17							PUF_ESTEL_2011_02												
L'inconscient	9782130575283	9782130602675	Jean-Claude Filloux	http://www.cairn.info/l-inconscient--9782130575283.htm	2010-02-23							PUF_FILLO_2009_01												
Les 100 mots de la géopolitique	9782130581925	9782130604143	Pascal Gauchon	http://www.cairn.info/les-100-mots-de-la-geopolitique--9782130581925.htm	2010-04-01							PUF_GAUCH_2010_01												
Les 100 lieux de la géopolitique	9782130590736	9782130605850	Pascal Gauchon	http://www.cairn.info/les-100-lieux-de-la-geopolitique--9782130590736.htm	2011-05-25							PUF_GAUCH_2011_01												
Le modèle français depuis 1945	9782130588405	9782130605553	Pascal Gauchon	http://www.cairn.info/le-modele-francais-depuis-1945--9782130588405.htm	2011-06-27							PUF_GAUCH_2011_02												
John Maynard Keynes	9782130577294	9782130603269	Bernard Gazier	http://www.cairn.info/john-maynard-keynes--9782130577294.htm	2010-03-30							PUF_GAZIE_2009_02												
Les Mayas	9782130548379	9782130597117	Paul Gendrop	http://www.cairn.info/les-mayas--9782130548379.htm	2010-03-07							PUF_GENDR_2008_01												
Le contrôle de gestion	9782130557760	9782130595724	Sylvie Gerbaix	http://www.cairn.info/le-controle-de-gestion--9782130557760.htm	2010-03-15							PUF_GERBA_2006_01												
Les maladies mentales de l'adulte	9782130584513	9782130604815	Michel Godfryd	http://www.cairn.info/les-maladies-mentales-de-l-adulte--9782130584513.htm	2011-03-17							PUF_GODFR_2011_01												
Vocabulaire psychologique et psychiatrique	9782130588382	9782130605539	Michel Godfryd	http://www.cairn.info/vocabulaire-psychologique-et-psychiatrique--9782130588382.htm	2011-04-11							PUF_GODFR_2011_02												
Le stoïcisme	9782130590910	9782130605911	Jean-Baptiste Gourinat	http://www.cairn.info/le-stoicisme--9782130590910.htm	2011-06-28							PUF_GOURI_2011_01												
La Grande Loge de France	9782130584490	9782130604792	Alain Graesel	http://www.cairn.info/la-grande-loge-de-france--9782130584490.htm	2010-12-07							PUF_GRAES_2010_01												
La médiation	9782130590699	9782130621898	Michèle Guillaume-Hofnung	http://www.cairn.info/la-mediation--9782130590699.htm	2012-01-29							PUF_GUILL_2012_01												
Les personnes handicapées	9782130556404	9782130597278	Claude Hamonet	http://www.cairn.info/les-personnes-handicapes--9782130556404.htm	2010-03-16							PUF_HAMON_2006_01												
La marque	9782130578970	9782130603566	Benoît Heilbrunn	http://www.cairn.info/la-marque--9782130578970.htm	2010-06-11							PUF_HEILB_2010_01												
Le blues	9782130570837	9782130601951	Gérard Herzhaft	http://www.cairn.info/le-blues--9782130570837.htm	2010-02-07							PUF_HERZH_2008_01												
Histoire de la psychiatrie	9782130625209	9782130629993	Jacques Hochmann	http://www.cairn.info/histoire-de-la-psychiatrie--9782130625209.htm	2013-09-26							PUF_HOCHM_2013_01												
La psychologie de l'enfant	9782130624615	9782130629979	Olivier Houdé	http://www.cairn.info/la-psychologie-de-l-enfant--9782130624615.htm	2013-09-26							PUF_HOUDE_2013_01												
La folie	9782130540892	9782130596288	Roland Jaccard	http://www.cairn.info/la-folie--9782130540892.htm	2010-03-04							PUF_JACCA_2004_01												
L'éthique animale	9782130584452	9782130604778		http://www.cairn.info/l-ethique-animale--9782130584452.htm	2011-03-16							PUF_JEANG_2011_01												
Les théories psychanalytiques du groupe	9782130590248	9782130605829	René Kaës	http://www.cairn.info/les-theories-psychanalytiques-du-groupe--9782130590248.htm	2011-06-27							PUF_KAES_2011_01												
L'acquisition du langage	9782130594581	9782130622345	Michèle Kail	http://www.cairn.info/l-acquisition-du-langage--9782130594581.htm	2012-09-09							PUF_KAIL_2012_01												
Hegel et l'hégélianisme	9782130534051	9782130598206	Jean-François Kervégan	http://www.cairn.info/hegel-et-l-hegelianisme--9782130534051.htm	2010-03-01							PUF_KERVE_2005_01												
L'art-thérapie	9782130607731	9782130622871	Jean-Pierre Klein	http://www.cairn.info/l-art-therapie--9782130607731.htm	2012-09-09							PUF_KLEIN_2012_01												
Histoire du Luxembourg	9782130583578	9782130604624	Jean-Marie Kreins	http://www.cairn.info/histoire-du-luxembourg--9782130583578.htm	2010-09-02							PUF_KREIN_2010_01												
Georges Canguilhem	9782130538615	9782130597902	Dominique Lecourt	http://www.cairn.info/georges-canguilhem--9782130538615.htm	2010-03-01							PUF_LECOU_2008_01												
La philosophie des sciences	9782130580539	9782130603788	Dominique Lecourt	http://www.cairn.info/la-philosophie-des-sciences--9782130580539.htm	2010-03-30							PUF_LECOU_2010_01												
Les risques psychosociaux	9782130591276	9782130621942	Sylvain Leduc	http://www.cairn.info/les-risques-psychosociaux--9782130591276.htm	2012-07-08							PUF_LEDUC_2012_01												
L'anxiété et l'angoisse	9782130521051	9782130599371	André Le Gall	http://www.cairn.info/l-anxiete-et-l-angoisse--9782130521051.htm	2010-03-08							PUF_LEGAL_2001_01												
La gestion des ressources humaines	9782130586593	9782130605355	Jean-Marc Le Gall	http://www.cairn.info/la-gestion-des-ressources-humaines--9782130586593.htm	2011-08-10							PUF_LEGAL_2011_01												
Les Mérovingiens	9782130585176	9782130604990	Régine Le Jan	http://www.cairn.info/les-merovingiens--9782130585176.htm	2011-03-21							PUF_LEJAN_2011_01												
Histoire du peuple hébreu	9782130575450	9782130602736	André Lemaire	http://www.cairn.info/histoire-du-peuple-hebreu--9782130575450.htm	2010-03-25							PUF_LEMAI_2009_01												
L'Empire romain	9782130571766	9782130602101	Patrick Le Roux	http://www.cairn.info/l-empire-romain--9782130571766.htm	2010-04-28							PUF_LEROU_2010_02												
Handicap et maladie mentale	9782130590187	9782130605775	Romain Liberman	http://www.cairn.info/handicap-et-maladie-mentale--9782130590187.htm	2011-05-22							PUF_LIBER_2011_01												
Les violences scolaires	9782130539261	9782130598374	Jean-Louis Lorrain	http://www.cairn.info/les-violences-scolaires--9782130539261.htm	2010-02-26							PUF_LORRA_2003_01												
La didactique des langues étrangères	9782130565536	9782130601104	Pierre Martinez	http://www.cairn.info/la-didactique-des-langues-etrangeres--9782130565536.htm	2010-03-17							PUF_MARTI_2008_01												
La logistique	9782130571261	9782130601982	Hervé Mathe	http://www.cairn.info/la-logistique--9782130571261.htm	2010-03-31							PUF_MATHE_2010_01												
Gestion comptable et financiere	9782130584391	9782130604747	Alain Mikol	http://www.cairn.info/gestion-comptable-et-financiere--9782130584391.htm	2010-09-28							PUF_MIKOL_2010_01												
La psychogériatrie	9782130590743	9782130605867	Jean-Claude Monfort	http://www.cairn.info/la-psychogeriatrie--9782130590743.htm	2011-09-28							PUF_MONFO_2011_01												
Le droit de l'environnement	9782130583646	9782130604648	Jacqueline Morand-Deviller	http://www.cairn.info/le-droit-de-l-environnement--9782130583646.htm	2010-09-03							PUF_MORAN_2010_01												
Spinoza et le spinozisme	9782130575481	9782130602767	Pierre-François Moreau	http://www.cairn.info/spinoza-et-le-spinozisme--9782130575481.htm	2010-03-11							PUF_MOREA_2009_01												
La santé publique	9782130570943	9782130600510	Aquilino Morelle	http://www.cairn.info/la-sante-publique--9782130570943.htm	2010-07-13							PUF_MOREL_2010_01												
Histoire des relations internationales, de 1815 à nos jours	9782130607786	9782130622888	François-Charles Mougel	http://www.cairn.info/histoire-des-relations-internationales-de-1815-a-n--9782130607786.htm	2012-09-23							PUF_MOUGE_2012_01												
L'écriture journalistique	9782130588344	9782130605492	Jacques Mouriquand	http://www.cairn.info/l-ecriture-journalistique--9782130588344.htm	2011-05-25							PUF_MOURI_2011_01												
La franc-maçonnerie	9782130524892	9782130599876	Paul Naudon	http://www.cairn.info/la-franc-maconnerie--9782130524892.htm	2010-03-29							PUF_NAUDO_2002_01												
La traduction	9782130594802	9782130622413	Michael Oustinoff	http://www.cairn.info/la-traduction--9782130594802.htm	2012-02-01							PUF_OUSTI_2012_01												
La réforme des systèmes de santé	9782130580904	9782130603931	Bruno Palier	http://www.cairn.info/la-reforme-des-systemes-de-sante--9782130580904.htm	2010-07-15							PUF_PALIE_2010_02												
La réforme des retraites	9782130595489	9782130622611	Bruno Palier	http://www.cairn.info/la-reforme-des-retraites--9782130595489.htm	2012-09-06							PUF_PALIE_2012_01												
Les bibliothèques	9782130570646	9782130601906	Denis Pallier	http://www.cairn.info/les-bibliotheques--9782130570646.htm	2010-09-01							PUF_PALLI_2010_01												
Histoire de la psychanalyse	9782130575016	9782130602583	Roger Perron	http://www.cairn.info/histoire-de-la-psychanalyse--9782130575016.htm	2010-03-09							PUF_PERRO_2009_01												
La guerre d'Algérie (1954-1962)	9782130592471	9782130622147	Guy Pervillé	http://www.cairn.info/la-guerre-d-algerie-1954-1962--9782130592471.htm	2012-04-12							PUF_PERVI_2012_01												
Techniques du cinéma	9782130595120	9782130622550	Vincent Pinel	http://www.cairn.info/techniques-du-cinema--9782130595120.htm	2012-07-05							PUF_PINEL_2012_01												
Les 100 mots de l'éducation	9782130582601	9782130604273	Patrick Rayou	http://www.cairn.info/les-100-mots-de-l-education--9782130582601.htm	2011-09-27							PUF_RAYOU_2011_01												
Histoire des Etats-Unis	9782130533580	9782130599302	René Rémond	http://www.cairn.info/histoire-des-etats-unis--9782130533580.htm	2010-03-03							PUF_REMON_2007_01												
Les pédagogies nouvelles	9782130586579	9782130605331	Jean-Paul Resweber	http://www.cairn.info/les-pedagogies-nouvelles--9782130586579.htm	2011-08-15							PUF_RESWE_2011_01												
Les 100 mots de la gestion	9782130591467	9782130606017	Dominique Roux	http://www.cairn.info/les-100-mots-de-la-gestion--9782130591467.htm	2011-10-02							PUF_ROUX_2011_01												
Les addictions	9782130580553	9782130603801	Mathilde Saïet	http://www.cairn.info/les-addictions--9782130580553.htm	2011-04-19							PUF_SAIET_2011_01												
Les musées de France	9782130567677	9782130601548	Jacques Sallois	http://www.cairn.info/les-musees-de-france--9782130567677.htm	2010-02-26							PUF_SALLO_2008_01												
L'éthique médicale et la bioéthique	9782130619710	9782130623267	Didier Sicard	http://www.cairn.info/l-ethique-medicale-et-la-bioethique--9782130619710.htm	2013-04-18							PUF_SICAR_2013_01												
Vocabulaire de l'islam	9782130532163	9782130595922	Dominique Sourdel	http://www.cairn.info/vocabulaire-de-l-islam--9782130532163.htm	2010-03-03							PUF_SOURD_2002_01												
La sociologie urbaine	9782130592129	9782130606154	Jean-Marc Stébé	http://www.cairn.info/la-sociologie-urbaine--9782130592129.htm	2011-12-05							PUF_STEBE_2011_02												
La fonction publique hospitalière	9782130569800	9782130601708	Didier Stingre	http://www.cairn.info/la-fonction-publique-hospitaliere--9782130569800.htm	2010-03-19							PUF_STING_2008_01												
Le droit du travail	9782130590200	9782130605799	Alain Supiot	http://www.cairn.info/le-droit-du-travail--9782130590200.htm	2011-05-25							PUF_SUPIO_2011_01												
L'Europe de la Renaissance	9782130557456	9782130597315	Alain Tallon	http://www.cairn.info/l-europe-de-la-renaissance--9782130557456.htm	2010-03-15							PUF_TALLO_2006_01												
La résilience	9782130586609	9782130605362	Serge Tisseron	http://www.cairn.info/la-resilience--9782130586609.htm	2011-11-08							PUF_TISSE_2011_01												
Darwin et le darwinisme	9782130590101	9782130605720	Patrick Tort	http://www.cairn.info/darwin-et-le-darwinisme--9782130590101.htm	2011-06-27							PUF_TORT_2011_01												
L'économie des médias	9782130586111	9782130605164	Nadine Toussaint Desmoulins	http://www.cairn.info/l-economie-des-medias--9782130586111.htm	2011-03-22							PUF_TOUSS_2011_01												
Histoire du système éducatif	9782130606598	9782130622710	Vincent Troger	http://www.cairn.info/histoire-du-systeme-educatif--9782130606598.htm	2012-09-19							PUF_TROGE_2012_01												
La phonétique	9782130586500	9782130605270	Jacqueline Vaissière	http://www.cairn.info/la-phonetique--9782130586500.htm	2011-08-16							PUF_VAISS_2011_01												
Les politiques d'éducation	9782130585183	9782130605003	Agnès van Zanten	http://www.cairn.info/les-politiques-d-education--9782130585183.htm	2011-04-18							PUF_VANZA_2011_01												
Les erreurs judiciaires	9782130532224	9782130596738	Jacques Vergès	http://www.cairn.info/les-erreurs-judiciaires--9782130532224.htm	2010-03-22							PUF_VERGE_2002_01												
Histoire du théâtre	9782130595441	9782130622604	Alain Viala	http://www.cairn.info/histoire-du-theatre--9782130595441.htm	2012-07-08							PUF_VIALA_2012_01												
Histoire du Japon des origines à Meiji	9782130574033	9782130602392	Michel Vié	http://www.cairn.info/histoire-du-japon-des-origines-a-meiji--9782130574033.htm	2010-03-09							PUF_VIE_2009_01												
La logique	9782130584568	9782130604860	Pierre Wagner	http://www.cairn.info/la-logique--9782130584568.htm	2011-04-11							PUF_WAGNE_2011_01												
