publication_title	print_identifier	online_identifier	first_author	title_url	publisher_name	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Regards décalés sur des patrimoines silencieux	9791031200323	9791031200330		http://www.cairn.info/regards-decales-sur-des-patrimoines-silencieux--97910310200323.htm	Ateliers Henry Dougier	2015-10-02							AHD_HATZF_2015_01											
Rebelles et révoltées, mineures derrière les grilles	9791031200675	9791031200682		http://www.cairn.info/rebelles-et-revoltees-mineures-derriere-les-grille--9791031200675.htm	Ateliers Henry Dougier	2016-07-05							AHD_MATHI_2015_01											
Réinventer une utopie, le Off d’Avignon	9791031201665	9791031201672		http://www.cairn.info/reinventer-une-utopie-le-off-d-avignon--9791031201665.htm	Ateliers Henry Dougier	2016-07-05							AHD_RUMEL_2016_01											
Rêver les cinémas, demain	9791093594743	9791093594767		http://www.cairn.info/rever-les-cinemas-demain--9791093594743.htm	Ateliers Henry Dougier	2015-10-02							AHD_SALS_2015_01											
Résurrection de <i>L’Hermione</i>, la folle équipée !	9791093594903	9791093594910		http://www.cairn.info/resurrection-de-l-hermione-la-folle-equipee--9791093594903.htm	Ateliers Henry Dougier	2015-10-03							AHD_VALLA_2015_01											
Réveil du sport citoyen, des valeurs en partage	9791031201375	9791031201382		http://www.cairn.info/reveil-du-sport-citoyen-des-valeurs-en-partage--9791031201375.htm	Ateliers Henry Dougier	2016-07-05							AHD_VILLE_2016_01											
La Source du bonheur	9782226115935			http://www.cairn.info/la-source-du-bonheur--9782226115935.htm	Albin Michel (programme ReLIRE)	2016-03-15							ALBMI_BOIRO_2000_01											
Naissance des Pays-Bas	9782226018656	9782226355577		http://www.cairn.info/naissance-des-pays-bas--9782226018656.htm	Albin Michel (programme ReLIRE)	2016-10-04							ALBMI_CAZAU_1983_01											
Judaïsme français et sionisme	9782226002617			http://www.cairn.info/judaisme-francais-et-sionisme--9782226002617.htm	Albin Michel (programme ReLIRE)	2016-03-15							ALBMI_KAPLA_1976_01											
L'anorexique, le médecin et le psychanalyste	9782951671119			http://www.cairn.info/l-anorexique-le-medecin-et-le-psychanalyste--9782951671119.htm	Association Psychanalyse et Médecine	2013-10-01							APM_GUILY_2010_01											
L'acte entre transfert et savoir	9782951671126	9782951671126		http://www.cairn.info/l-acte-entre-transfert-et-savoir--9782951671133.htm	Association Psychanalyse et Médecine	2013-10-01							APM_GUILY_2011_01											
La livre de chair	9782951671133			http://www.cairn.info/la-livre-de-chair--9782951671133.htm	Association Psychanalyse et Médecine	2013-10-01							APM_GUILY_2012_01											
Qu'est ce que le corps dans la psychanalyse ?	9782951671140			http://www.cairn.info/qu-est-ce-que-le-corps-dans-la-psychanalyse--9782951671140.htm	Association Psychanalyse et Médecine	2014-05-12							APM_GUILY_2013_01											
Anthropologie des savoirs	9782200270360	9782200274061		http://www.cairn.info/anthropologie-des-savoirs--9782200270360.htm	Armand Colin	2016-03-09							ARCO_ADEL_2011_01											
Géographie de la végétation terrestre	9782200270384	9782200273811		http://www.cairn.info/geographie-de-la-vegetation-terrestre--9782200270384.htm	Armand Colin	2016-03-09							ARCO_ALEXA_2012_01											
Les partis politiques en Grande-Bretagne	9782200275983	9782200289034		http://www.cairn.info/les-partis-politiques-en-grande-bretagne--9782200275983.htm	Armand Colin	2016-03-09							ARCO_ALEXA_2013_01											
L'Afrique du 20e siècle à nos jours	9782200285074	9782200288938		http://www.cairn.info/l-afrique-du-20-e-siecle-a-nos-jours--9782200285074.htm	Armand Colin	2016-03-09							ARCO_ALMEI_2013_01											
Le savant, le militant et l’aymara	9782200277246	9782200282035		http://www.cairn.info/le-savant-le-militant-et-l-aymara--9782200277246.htm	Armand Colin	2016-03-09							ARCO_ALVIZ_2012_01											
Dynamique des communications dans les groupes	9782200278670	9782200281939		http://www.cairn.info/dynamique-des-communications-dans-les-groupes--9782200278670.htm	Armand Colin	2016-03-09							ARCO_AMADO_2012_01											
Les potiers d’Étrurie et leur monde	9782200287696	9782200291006		http://www.cairn.info/les-potiers-d-etrurie-et-leur-monde--9782200287696.htm	Armand Colin	2016-03-08							ARCO_AMBRO_2014_01											
L'autosanté	9782200280512	9782200286774		http://www.cairn.info/l-autosante--9782200280512.htm	Armand Colin	2016-03-09							ARCO_ANDRI_2012_01											
Archives personnelles	9782200255138	9782200274122		http://www.cairn.info/archives-personnelles--9782200255138.htm	Armand Colin	2016-03-09							ARCO_ARTIE_2011_01											
Les consistoires israélites d'Algérie au XIXe siècle	9782200277239	9782200281793		http://www.cairn.info/les-consistoires-israelites-d-algerie-au-XIX--9782200277239.htm	Armand Colin	2016-03-09							ARCO_ASSA_2012_01											
Histoire de l'Italie depuis 1943 à nos jours	9782200262150	9782200242565		http://www.cairn.info/histoire-de-l-italie-depuis-1943-a-nos-jours--9782200262150.htm	Armand Colin	2016-03-09							ARCO_ATTA_2004_01											
Révoltes et répressions dans la France moderne	9782200274900	9782200602222		http://www.cairn.info/revoltes-et-repressions-dans-la-france-moderne--9782200274900.htm	Armand Colin	2016-03-09							ARCO_AUBER_2015_01											
Les démocraties scandinaves	9782200346539	9782200290870		http://www.cairn.info/les-democraties-scandinaves--9782200346539.htm	Armand Colin	2016-03-09							ARCO_AUCAN_2013_01											
Écrivains et diplomates	9782200275426	9782200284954		http://www.cairn.info/ecrivains-et-diplomates--9782200275426.htm	Armand Colin	2016-03-09							ARCO_BADEL_2012_01											
L’individu sujet de lui-même	9782200285395	9782200287023		http://www.cairn.info/l-individu-sujet-de-lui-meme--9782200285395.htm	Armand Colin	2016-03-09							ARCO_BAJOIT_2013_01											
Croisades et Orient latin : XIe-XIVe siècle	9782200264987	9782200271244		http://www.cairn.info/croisades-et-orient-latin--9782200264987.htm	Armand Colin	2016-03-09							ARCO_BALAR_2010_01											
Manuel d’analyse du web en Sciences Humaines et Sociales	9782200286279	9782200286842		http://www.cairn.info/manuel-d analyse-du-web-en-sciences-humaines--9782200286279.htm	Armand Colin	2016-03-09							ARCO_BARAT_2013_01											
Histoire du livre en Occident	9782200277512	9782200281540		http://www.cairn.info/histoire-du-livre-en-occident--9782200277512.htm	Armand Colin	2016-03-09							ARCO_BARBI_2012_01											
Histoire des bibliothèques	9782200274405	9782200290337		http://www.cairn.info/histoire-des-bibliotheques--9782200274405.htm	Armand Colin	2016-03-09							ARCO_BARBI_2013_01											
La souffrance au travail : quelle responsabilité de l’entreprise ?	9782200275938	9782200276881		http://www.cairn.info/la-souffrance-au-travail-quelle-responsabilite--9782200275938.htm	Armand Colin	2016-03-09							ARCO_BARDE_2012_01											
Langue allemande, identité croate	9782200277260	9782200283773		http://www.cairn.info/langue-allemande-identite-croate--9782200277260.htm	Armand Colin	2016-03-09							ARCO_BARIC_2013_01											
Morny et l'invention de Deauville	9782200249724	9782200271206		http://www.cairn.info/morny-et-l-invention-de-deauville--9782200249724.htm	Armand Colin	2016-03-09							ARCO_BARJ_2010_01											
Les sociétés en guerre	9782200265649	9782200242633		http://www.cairn.info/les-societes-en-guerre--9782200265649.htm	Armand Colin	2016-03-09							ARCO_BARTO_2003_01											
Histoire de la globalisation financière	9782200355388	9782200256098		http://www.cairn.info/histoire-de-la-globalisation-financiere--9782200355388.htm	Armand Colin	2016-03-09							ARCO_BASTI_2010_01											
Faire parler les montagnes	9782200275907	9782200276225		http://www.cairn.info/faire-parler-les-montagnes--9782200275907.htm	Armand Colin	2016-03-09							ARCO_BAUD_2011_01											
La géographie	9782200243517	9782100557691		http://www.cairn.info/la-geographie--9782200243517.htm	Armand Colin	2016-01-04							ARCO_BAVOU_2009_01											
La Turquie	9782200275976	9782200282769		http://www.cairn.info/la-turquie--9782200275976.htm	Armand Colin	2016-02-01							ARCO_BAZIN_2012_01											
Migrations africaines : le codéveloppement en questions	9782200277369	9782200290788		http://www.cairn.info/migrations-africaines-le-codeveloppement--9782200277369.htm	Armand Colin	2016-03-09							ARCO_BEAUC_2013_01											
Économie, sociologie et histoire du monde contemporain	9782200277895	9782200290276		http://www.cairn.info/economie-sociologie-et-histoire-du-monde--9782200277895.htm	Armand Colin	2016-03-09							ARCO_BEITO_2013_01											
Tous républicains !	9782200272821	9782200273989		http://www.cairn.info/tous-republicains--9782200272821.htm	Armand Colin	2016-03-09							ARCO_BELO_2011_01											
Les climats	9782200272616	9782200272982		http://www.cairn.info/les-climats--9782200272616.htm	Armand Colin	2016-03-09							ARCO_BELTR_2011_01											
Sport, corps et sociétés de masse	9782200277338	9782200283551		http://www.cairn.info/sport-corps-et-societes-de-masse--9782200277338.htm	Armand Colin	2016-03-09							ARCO_BENSOU_2012_01											
L'Empire austro-hongrois	9782200248888	9782200273064		http://www.cairn.info/l-empire-austro-hongrois--9782200248888.htm	Armand Colin	2016-03-09							ARCO_BEREN_2011_01											
Histoire politique de la Ve République	9782200346935	9782200242367		http://www.cairn.info/histoire-politique-de-la-v-e-republique--9782200346935.htm	Armand Colin	2016-03-09							ARCO_BERNA_2008_01											
L'Allemagne de 1870 à nos jours	9782200285050	9782200292454		http://www.cairn.info/l-allemagne-de-1870-a-nos-jours--9782200285050.htm	Armand Colin	2016-03-09							ARCO_BERST_2014_01											
La Révolution française	9782200354541	9782200256555		http://www.cairn.info/la-revolution-francaise--9782200354541.htm	Armand Colin	2016-03-09							ARCO_BIARD_2008_01											
1792 Entrer en République	9782200287719	9782200290368		http://www.cairn.info/mille-sept-cent-quatre-vingt-douze--9782200287719.htm	Armand Colin	2016-03-09							ARCO_BIARD_2013_01											
Film et histoire	9782200345570	9782200242404		http://www.cairn.info/film-et-histoire--9782200345570.htm	Armand Colin	2016-03-09							ARCO_BIMBE_2007_01											
Quand la Recherche était une République	9782200275570	9782200276416		http://www.cairn.info/quand-la-recherche-etait-une-republique--9782200275570.htm	Armand Colin	2016-03-09							ARCO_BLAY_2011_01											
Les ordres du Chef	9782200277284	9782200284053		http://www.cairn.info/les-ordres-du-chef--9782200277284.htm	Armand Colin	2016-03-09							ARCO_BLAY_2012_01											
Les conduites à risque	9782200278632	9782200290894		http://www.cairn.info/les-conduites-a-risque--9782200278632.htm	Armand Colin	2016-03-09							ARCO_BONNE_2013_01											
La France et la construction de l'unité européenne	9782200256340	9782200282004		http://www.cairn.info/la-france-et-la-construction-de-l-unite-europeenne--9782200256340.htm	Armand Colin	2016-03-09							ARCO_BOSSU_2012_01											
La France et l'Europe de Napoléon	9782200265335	9782200242497		http://www.cairn.info/la-france-et-l-europe-de-napoleon--9782200265335.htm	Armand Colin	2016-03-09							ARCO_BOUDO_2006_01											
Durkheim fut-il durkheimien ?	9782200274344	9782200273934		http://www.cairn.info/durkheim-fut-il-durkheimien--9782200274344.htm	Armand Colin	2016-03-09							ARCO_BOUDO_2011_01											
Citoyenneté, République et Démocratie en France	9782200294045	9782200600457		http://www.cairn.info/citoyennete-republique-et-democratie-en-france--9782200294045.htm	Armand Colin	2016-03-09							ARCO_BOUDO_2014_01											
L'écrivain éponyme	9782200277307	9782200281915		http://www.cairn.info/l-ecrivain-eponyme--9782200277307.htm	Armand Colin	2016-03-09							ARCO_BOUDR_2012_01											
Cadres, classes moyennes : vers l’éclatement	9782200255909	9782200257835		http://www.cairn.info/cadres-classes-moyennes-vers-l-eclatement--9782200255909.htm	Armand Colin	2016-03-09							ARCO_BOUFF_2011_01											
Géopolitique des médias	9782200284992	9782200295172		http://www.cairn.info/geopolitique-des-medias--9782200284992.htm	Armand Colin	2016-03-09							ARCO_BOULA_2014_01											
Géographie militaire et géostratégie	9782200600822	9782200603380		http://www.cairn.info/geographie-militaire-et-geostrategie--9782200600822.htm	Armand Colin	2016-03-09							ARCO_BOULA_2015_01											
La France. Les 26 régions	9782200355739	9782200246631		http://www.cairn.info/la-france-les-26-regions--9782200355739.htm	Armand Colin	2016-03-09							ARCO_BOYER_2009_01											
Petite histoire des faits économiques et sociaux	9782200285081	9782200602581		http://www.cairn.info/petite-histoire-des-faits-economiques-et-sociaux--9782200285081.htm	Armand Colin	2016-03-09							ARCO_BRASS_2013_01											
Les décolonisations au XX<sup>e</sup> siècle	9782200249458	9782200282028		http://www.cairn.info/les-decolonisations-au-xxe-siecle--9782200249458.htm	Armand Colin	2016-03-09							ARCO_BROCH_2012_01											
Étudier une commune	9782200249182	9782200271152		http://www.cairn.info/etudier-une-commune--9782200249182.htm	Armand Colin	2016-02-01							ARCO_BROWA_2011_01											
Histoire de l'idée européenne au second XX<sup>e</sup> siècle à travers les textes	9782200353094	9782200242350		http://www.cairn.info/histoire-de-l-idee-europeenne-au-second-xxe-siecle--9782200353094.htm	Armand Colin	2016-03-09							ARCO_BRUNE_2008_01											
Les totalitarismes	9782200284176	9782200292430		http://www.cairn.info/les-totalitarismes--9782200284176.htm	Armand Colin	2016-03-09							ARCO_BRUNE_2014_01											
Impérialisme et démocratie à Athènes	9782200269289	9782200242510		http://www.cairn.info/imperialisme-et-democratie-a-athenes--9782200269289.htm	Armand Colin	2016-03-09							ARCO_BRUN_2005_01											
Le monde grec à l'époque classique	9782200246525	9782200258290		http://www.cairn.info/le-monde-grec-a-l-epoque-classique--9782200246525.htm	Armand Colin	2016-03-09							ARCO_BRUN_2010_01											
Manuel d'archéologie médiévale et moderne	9782200281397	9782200283711		http://www.cairn.info/manuel-d-archeologie-medievale-et-moderne--9782200281397.htm	Armand Colin	2016-03-09							ARCO_BURNO_2012_01											
La France, une géographie urbaine	9782200255794	9782200270957		http://www.cairn.info/la-france-une-geographie-urbaine--9782200255794.htm	Armand Colin	2016-02-01							ARCO_CAILL_2010_01											
Femmes médiatrices et ambivalentes	9782200272814	9782200281656		http://www.cairn.info/femmes-mediatrices-et-ambivalentes--9782200272814.htm	Armand Colin	2016-03-09							ARCO_CAIOZ_2012_01											
Histoire de l'Espagne contemporaine	9782200285098	9782200601119		http://www.cairn.info/histoire-de-l-espagne-contemporaine--9782200285098.htm	Armand Colin	2016-03-09							ARCO_CANAL_2014_01											
Le regard de travers	9782200282233	9782200288754		http://www.cairn.info/le-regard-de-travers--9782200282233.htm	Armand Colin	2016-03-09							ARCO_CANON_2014_01											
L'Asie centrale	9782200601140	9782200602567		http://www.cairn.info/l-asie-centrale--9782200601140.htm	Armand Colin	2016-03-09							ARCO_CARIO_2015_01											
L'Europe au 19<sup>e</sup> siècle	9782200600068	9782200603410		http://www.cairn.info/l-europe-au-19e-siecle--9782200600068.htm	Armand Colin	2016-03-09							ARCO_CARON_2015_01											
Sociologie de la santé	9782200262297	9782200255237		http://www.cairn.info/sociologie-de-la-sante--9782200262297.htm	Armand Colin	2016-03-09							ARCO_CARRI_2004_01											
La France : les mutations des systèmes productifs	9782200287962	9782200290450		http://www.cairn.info/la-france-les mutations-des-systemes-productifs--9782200287962.htm	Armand Colin	2016-03-09							ARCO_CARRO_2013_01											
La planète financière	9782200601294	9782200602147		http://www.cairn.info/la-planete-financiere--9782200601294.htm	Armand Colin	2016-03-09							ARCO_CARRO_2015_01											
Des toits sur la grève	9782200280611	9782200286989		http://www.cairn.info/des-toits-sur-la-greve--9782200280611.htm	Armand Colin	2016-03-09							ARCO_CARU_2013_01											
Rome. Paysage urbain et idéologie	9782200263843	9782200243562		http://www.cairn.info/rome-paysage-urbain-et-ideologie--9782200263843.htm	Armand Colin	2016-03-09							ARCO_CHAI_2003_01											
Les économies émergentes d’Asie	9782200288518	9782200601034		http://www.cairn.info/les-economies-emergentes-d-asie--9782200288518.htm	Armand Colin	2016-03-09							ARCO_CHAPO_2014_01											
Sociologie de la naissance	9782200254513	9782200290474		http://www.cairn.info/sociologie-de-la-naissance--9782200254513.htm	Armand Colin	2016-03-09							ARCO_CHARR_2013_01											
Géographie humaine	9782200249243	9782200272951		http://www.cairn.info/geographie-humaine--9782200249243.htm	Armand Colin	2016-03-09							ARCO_CHARV_2011_01											
La Grande-Bretagne et le monde	9782200244576	9782200245986		http://www.cairn.info/la-grande-bretagne-et-le-monde--9782200244576.htm	Armand Colin	2016-03-09							ARCO_CHASS_2009_01											
Les années 1970	9782200249038	9782200276256		http://www.cairn.info/les-annees-1970--9782200249038.htm	Armand Colin	2016-03-09							ARCO_CHASS_2012_01											
Organiser les marchés agricoles	9782200281434	9782200283513		http://www.cairn.info/organiser-les-marches-agricoles--9782200281434.htm	Armand Colin	2016-03-09							ARCO_CHATR_2012_01											
Histoire des relations culturelles dans le monde contemporain	9782200254551	9782200273941		http://www.cairn.info/histoire-des-relations-culturelles-dans-le-monde--9782200254551.htm	Armand Colin	2016-03-09							ARCO_CHAUB_2011_01											
La médiation culturelle	9782200276584	9782200289126		http://www.cairn.info/la-mediation-culturelle--9782200276584.htm	Armand Colin	2016-03-09							ARCO_CHAUM_2013_01											
Sparte	9782200265205	9782200242428		http://www.cairn.info/sparte--9782200265205.htm	Armand Colin	2016-03-09							ARCO_CHRIS_2007_01											
Introduction à l’analyse de l’espace	9782200278564	9782200281823		http://www.cairn.info/introduction-a-l-analyse-de-l-espace--9782200278564.htm	Armand Colin	2016-03-09							ARCO_CICER_2012_01											
Sociologie de la mort	9782200355432	9782200246839		http://www.cairn.info/sociologie-de-la-mort--9782200355432.htm	Armand Colin	2016-03-09							ARCO_CLAVA_2009_01											
Les espaces de la politique	9782200345273	9782200257149		http://www.cairn.info/les-espaces-de-la-politique--9782200345273.htm	Armand Colin	2016-03-09							ARCO_CLAVA_2010_01											
Géographie culturelle	9782200277567	9782200281557		http://www.cairn.info/geographie-culturelle--9782200277567.htm	Armand Colin	2016-03-09							ARCO_CLAVA_2012_01											
Rome et le monde provincial	9782200249526	9782200283322		http://www.cairn.info/rome-et-le-monde-provincial--9782200249526.htm	Armand Colin	2016-03-09							ARCO_CLEME_2012_01											
Descartes, des principes aux phénomènes	9782200274894	9782200278823		http://www.cairn.info/descartes-des-principes-aux-phenomenes--9782200274894.htm	Armand Colin	2016-03-09							ARCO_CLERO_2012_01											
Les gauches européennes	9782200272753	9782200282790		http://www.cairn.info/les-gauches-europeennes--9782200272753.htm	Armand Colin	2016-03-09							ARCO_CONOR_2012_01											
Les circulations transnationales	9782200244606	9782200246846		http://www.cairn.info/les-circulations-transnationales--9782200244606.htm	Armand Colin	2016-03-09							ARCO_CORTE_2009_01											
Hydrologie continentale	9782200246174	9782200281564		http://www.cairn.info/hydrologie-continentale--9782200246174.htm	Armand Colin	2016-03-09							ARCO_COSAN_2012_01											
L'armée romaine	9782200276539	9782200284558		http://www.cairn.info/l-armee-romaine--9782200276539.htm	Armand Colin	2016-03-09							ARCO_COSM_2012_01											
Élites et crises du XVIe au XXIe siècle	9782200289249	9782200292546		http://www.cairn.info/elites-et-crises-du-xvie-au-xxie-siecle--9782200289249.htm	Armand Colin	2016-03-09							ARCO_COST_2014_01											
Relire Mayotte Capécia	9782200277123	9782200281908		http://www.cairn.info/relire-mayotte-capecia--9782200277123.htm	Armand Colin	2016-03-09							ARCO_COTTI_2012_01											
La politique scientifique de Pierre Mendès France	9782200280543	9782200286682		http://www.cairn.info/la-politique-scientifique-de-pierre-mendes-france--9782200280543.htm	Armand Colin	2016-03-09							ARCO_CREMI_2012_01											
Du point de vue de l’ethnicité	9782200275389	9782200276461		http://www.cairn.info/du-point-de-vue-de-l-ethnicite--9782200275389.htm	Armand Colin	2016-03-09							ARCO_CRENN_2012_01											
Les salles de cinéma	9782200287580	9782200290115		http://www.cairn.info/les-salles-de-cinema--9782200287580.htm	Armand Colin	2016-03-09							ARCO_CRET_2013_01											
L'Amérique latine à l'époque contemporaine	9782200248970	9782200254117		http://www.cairn.info/l-amerique-latine-a-l-epoque-contemporaine--9782200248970.htm	Armand Colin	2016-03-09							ARCO_DABEN_2011_01											
Le partage du secret	9782200277208	9782200289089		http://www.cairn.info/le-partage-du-secret--9782200277208.htm	Armand Colin	2016-03-09							ARCO_DARB_2013_01											
Sociologie des opinions	9782200261856	9782200275785		http://www.cairn.info/sociologie-des-opinions--9782200261856.htm	Armand Colin	2016-03-09							ARCO_DARGE_2011_01											
Risques et catastrophes	9782200278427	9782200288778		http://www.cairn.info/risques-et-catastrophes--9782200278427.htm	Armand Colin	2016-03-09							ARCO_DAUPH_2013_01											
Les pays émergents	9782200293840	9782200600990		http://www.cairn.info/les-pays-emergents--9782200293840.htm	Armand Colin	2016-03-09							ARCO_DAZIA_2014_01											
Histoire des pensées sociologiques	9782200601454	9782200603335		http://www.cairn.info/histoire-des-pensees-sociologiques--9782200601454.htm	Armand Colin	2016-03-09							ARCO_DELAS_2015_01											
Sociologie du droit et de la justice	9782200246457	9782200284657		http://www.cairn.info/sociologie-du-droit-et-de-la-justice--9782200246457.htm	Armand Colin	2016-03-09							ARCO_DELPE_2014_01											
