publication_title	print_identifier	publisher_name	date_first_issue_online	num_first_vol_online	date_last_issue_online	num_last_vol_online	title_url	title_id
臺灣文學學報	1608-1692	政治大學	200512	7	202106	38	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000070	70
廣播與電視(政大)	1021-0776	政治大學	200207	19	202106	41	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000071	71
選舉研究	1025-7551	政治大學	200505	12:1	202011	27:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000072	72
廣告學研究	1025-5230	政治大學	200507	24	201207	38	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000073	73
韓國語文研究		政治大學	200107	1	200407	2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000074	74
漢學研究集刊	1819-4427	國立雲林科技大學漢學資料整理研究所	200512	1	202106	32	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000075	75
漢學論壇	1810-1062	國立雲林科技大學漢學資料整理研究所	200206	1	200312	3	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000076	76
高醫通識教育學報	1991-1904	高雄醫學大學通識教育中心	200607	1	202012	15	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000083	83
高醫人		高雄醫學大學	200512	17	202001	62	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000084	84
致遠管理學院學報	1990-2662	致遠管理學院	200608	1	200809	3 管理科學	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000086	86
電腦與通訊	1019-391X	財團法人工業技術研究院 資訊與通訊研究所	200709	121	202109	187	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000087	87
中護學報	無	國立臺中護理專科學校	200208	1	201111	10	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000088	88
台灣鞋訊		財團法人鞋類暨運動休閒科技研發中心	200702	26	202111	203	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000089	89
BestMotion		財團法人鞋類暨運動休閒科技研發中心	200703	2	201411	48	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000090	90
立德學報	1812-7150	立德管理學院	200312	1:1	201012	7:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000091	91
亞洲家庭暴力與性侵害期刊	1994-5779	台灣家庭暴力暨性犯罪處遇協會	200512	1:1	201912	15:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000092	92
嘉大體育健康休閒	1815-7319	國立嘉義大學體育系	200112	1	201212	11:3	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000096	96
經濟前瞻	1019-0376	中華經濟研究院	198601	1	202111	198	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000097	97
國教之友		國立臺南大學國教之友社,財團法人國立臺南大學校務發展文教基金會	200711	59:1=586	201007	61:1=594、595	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000098	98
哲學與文化	1015-8383	哲學與文化月刊雜誌社	200712	34:12=403	202111	48:11=570	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000100	100
長榮運動休閒學刊	2073-3208	長榮大學運動競技學系	200706	1	202106	15	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000102	102
嘉義大學通識學報		國立嘉義大學通識教育中心	200412	2	201511	12	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000104	104
臺灣社會學刊	1011-2219	台灣社會學會	200206	27	202106	69	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000106	106
臺大管理論叢	1018-1601	國立臺灣大學管理學院	199005	1:1	202112	31:3	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000107	107
大仁學報	1021-3708	大仁科技大學	200803	32	202012	54	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000112	112
語文學報		國立新竹教育大學中國語文學系	200412	11	201112	17	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000114	114
新竹教育大學教育學系碩士班論文集		國立新竹教育大學教育學系	200604	11	200804	13	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000116	116
特教論壇	1994-1935	國立新竹教育大學	200612	1	201612	21	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000118	118
新竹教育大學教育學報	1819-7310	國立新竹教育大學	200706	24:1	201612	33:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000120	120
管理與教育研究學報	1815-655X	國立新竹教育大學	200309	1	200706	7	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000121	121
教育研究學報	1990-4428	國立臺南大學	200604	40:1	202104	55:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000122	122
人文研究學報	1990-441X	國立臺南大學	200604	40:1	200810	42:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000123	123
理工研究學報	1990-4401	國立臺南大學	200604	40:1	201010	44:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000124	124
美和技術學院學報		美和科技大學	200609	25:2	201003	29:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000125	125
幼兒保育學刊	1728-6492	美和科技大學	200308	1	201508	12	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000126	126
臺灣急診醫學會醫誌	1562-3386	臺灣急診醫學會	200209	4:3	201103	13:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000127	127
臺灣語言與語文教育		國立新竹教育大學	200112	3	200512	6	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000129	129
科儀新知	1019-5440	財團法人國家實驗研究院 / 儀器科技研究中心	200502	26:4=144	202109	228	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000130	130
儀科中心簡訊	1029-497x	財團法人國家實驗研究院 / 儀器科技研究中心	200504	68	201810	149	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000131	131
蘭陽學報		蘭陽技術學院	200806	7	201707	16	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000132	132
中華推拿與現代康復科學雜誌	1812-7282	中華推拿科學學會	200410	1:1	201212	9:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000133	133
人文社會科學研究	1996-7985	國立屏東科技大學人文暨社會科學院	200706	1:1	201509	9:3	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000134	134
旅遊健康學刊	1726-3123	國立臺北護理健康大學休閒產業與健康促進系	200712	6:1	202012	19:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000135	135
圖書資訊學刊	1606-7509	國立臺灣大學圖書資訊學系	200212	17	202112	19:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000136	136
志為護理:慈濟護理雜誌	1683-1624	慈濟護理雜誌社	200603	5:1	200712	6:6	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000137	137
Tzu Chi Nursing Journal		慈濟護理雜誌社	200705	1	201505	9	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000138	138
儀科中心年報		財團法人國家實驗研究院 / 儀器科技研究中心	200512	94	202104	109	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000139	139
Issues and Studies	1013-2511	政治大學	200101	37:1	202103	57:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000140	140
問題與研究	0591-2539	政治大學	200704	46:2	202109	60:3	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000141	141
