print_identifier	online_identifier	publication_title	publisher_name	title_url	title_id	langage
2-8027-3774-0	2-8027-3878-X	Le partenariat Europe-Afrique et les intégrations régionales	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/PAEUAFINRE	PAEUAFINRE	eng
2-8027-3982-4	2-8027-4083-0	Moving Beyond the Crisis : Reclaiming and Reaffirming our Common Administrative Space	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/MOBECRISMB	MOBECRISMB	eng
2-8027-3788-0	2-8027-3899-2	La responsabilité du producteur du fait des déchets	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/RESPRODEC	RESPRODEC	eng
2-8044-5179-8	2-8044-5621-8	Organisation et management de la fonction juridique en entreprise : Méthodologies, outils et bonnes pratiques	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/SEJUREN	SEJUREN	eng
2-8027-3538-1	2-8027-3900-X	Objectifs et compétences dans l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/OBCOMUE	OBCOMUE	eng
2-8027-3598-5	2-8027-3885-2	L'investissement et la nouvelle économie mondiale : Trajectoires nationales, réseaux mondiaux et normes internationales	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/INVESECOMO	INVESECOMO	eng
2-8027-4079-2	2-8027-4149-7	Les obligations de vigilance des États parties à la Convention européenne des droits de l'homme	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/OBLIVIGI	OBLIVIGI	eng
2-8044-5429-0	2-8044-5762-1	Des nanotechnologies aux technologies émergentes : La régulation en perspectives	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/NANOTECEM	NANOTECEM	eng
2-8044-5336-7	2-8044-5658-7	Vers une théorie de l'économie sociale et solidaire	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/FONECOSOC	FONECOSOC	eng
2-8044-5728-1	2-8044-5729-X	L'entreprise dans la société du 21e siècle	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ENSO21	ENSO21	eng
2-8044-5188-7	2-8044-5619-6	L'Union européenne et les Etats-Unis / The European Union and the United States : Processus, politiques et projets / Processes, Policies, and Projects	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/UEUSA	UEUSA	eng
2-8027-3737-6	2-8027-4057-1	L'emploi de la force en mer	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/EMPFORMER	EMPFORMER	eng
2-8027-4124-1	2-8027-4184-5	Actualités en droit international privé	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ACDROINPRIMB	ACDROINPRIMB	eng
2-8027-3959-X	2-8027-4183-7	Antitrust between EU law and national law / Antitrust fra diritto nazionale e diritto dell'Unione Europea : Xe conference	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ANBEEUMB	ANBEEUMB	eng
2-8027-3846-1	2-8027-3916-6	Le droit international social : Droits économiques, sociaux et culturels	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DROINTSOC	DROINTSOC	eng
2-8027-4061-X	2-8027-4191-8	Europe et sécurité après le Traité de Lisbonne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/EUSECTRALIS	EUSECTRALIS	eng
2-8027-3978-6	2-8027-4203-5	La dimension extérieure de l'espace de liberté, de sécurité et de justice de l'Union européenne après le Traité de Lisbonne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ESPLIB	ESPLIB	eng
2-8044-6060-6	2-8044-6268-4	DE LA PREVENTION A LA RESOLUTION DES CONFLITS EN COPROPRIETE	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/PRECONCOP	PRECONCOP	eng
2-8027-4121-7	2-8027-4188-8	Le statut de combattant dans les conflits armés non internationaux	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/STATCOMB	STATCOMB	eng
2-8044-6054-1	2-8044-6269-2	L'eau en droit international : Convergences et divergences dans les approches juridiques	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/EAUDRINT	EAUDRINT	eng
2-8044-5537-8	2-8044-5763-X	Le renvoi préjudiciel à la Cour de justice de l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/BROBERG	BROBERG	eng
2-8027-4087-3	2-8027-4216-7	Coopération entre juges nationaux et Cour de justice de l'UE : Le renvoi préjudiciel	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/COOPJUNACOURJU	COOPJUNACOURJU	eng
2-8027-4104-7	2-8027-4228-0	L'adaptation des traités dans le temps	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ADTRATE	ADTRATE	eng
2-8027-4082-2	2-8027-4190-X	Contribution à l'étude du fonctionnement des organisations internationales pendant la guerre	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/FONORINTMB	FONORINTMB	eng
2-8044-5355-3	2-8044-6339-7	Build, Operate and Transfer : Modalité de partenariat public-privé – Approche Law and Economics	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/BUOPTRA	BUOPTRA	eng
2-8027-4099-7	2-8027-4263-9	Sécurité alimentaire : Nouveau enjeux et perspectives	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/SECUALI	SECUALI	eng
2-8044-5349-9	2-8044-5662-5	Le contrôle parlementaire du principe de subsidiarité : Droit belge, néerlandais et luxembourgeois	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/COTPARSUB	COTPARSUB	eng
2-8044-5398-7	2-8044-5669-2	La titrisation des actifs intellectuels : Au prisme du droit luxembourgeois	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/TIACIN	TIACIN	eng
2-8027-4259-0	2-8027-4303-1	La lutte contre le blanchiment en droit belge, suisse, français et italien : Incrimination et confiscation, prévention, entraide judiciaire	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/BLANCHI	BLANCHI	eng
2-8027-4139-X	2-8027-4262-0	Le contrôle des fonds européens de cohésion : Evolutions, enjeux et perspectives	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/COFONEU	COFONEU	eng
2-8044-6055-X	2-8044-6338-9	Le support en droit d'auteur	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/SUPDRAUT	SUPDRAUT	eng
2-8044-5527-0	2-8044-6341-9	International Regulations of Space Communications : Current Issues. : Collection de la Faculte de Droit, D'economie et de Finance de L'universite du Luxembourg	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/SPACOM	SPACOM	eng
2-8027-3712-0	2-8027-4044-X	Renvoi préjudiciel en droit européen	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/PROCPRE	PROCPRE	eng
2-8027-4091-1	2-8027-4264-7	Entreprise responsable et environnement : Recherche d'une systématisation en droit français et américain	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ENRESENVI	ENRESENVI	eng
2-8027-3607-8	2-8027-3901-8	Les modèles sociaux en Europe : Quel avenir face à la crise?	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/CRIAVMOSO	CRIAVMOSO	eng
2-8027-4100-4	2-8027-4329-5	La société européenne : Droit et limites aux stratégies internationales de développement des entreprises	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/SOCEUROMB	SOCEUROMB	eng
2-8027-4095-4	2-8027-4260-4	L'accès des ressortissants des pays tiers au territoire des États membres de l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/RESSORTEU	RESSORTEU	eng
2-8027-4140-3	2-8027-4265-5	Théorie et pratique de la reconnaissance d'État : Une approche épistémologique du droit international	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/THEOPRETA	THEOPRETA	eng
2-8027-3820-8	2-8027-3954-9	La standardisation et le droit international : Contours d'une théorie dialectique de la formation du droit	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/STADRIN	STADRIN	eng
2-8027-3873-9	2-8027-3874-7	Théories critiques et droit international	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/THECRIDRINT	THECRIDRINT	eng
2-8027-4053-9	2-8027-4074-1	De Rome à Lisbonne: les juridictions de l'Union européenne à la croisée des chemins	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/MELPAMEN	MELPAMEN	eng
2-8027-4090-3	2-8027-4261-2	Le droit des relations extérieures de l'Union européenne après le traité de Lisbonne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DRRELEXUELISBO	DRRELEXUELISBO	eng
2-8027-4098-9	2-8027-4096-2	Le rôle du juge national dans l'espace judiciaire européen, du marché intérieur à la coopération civile	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ROJUNAT	ROJUNAT	eng
2-8027-4117-9	2-8027-4266-3	Les frontières de l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/FRONTUE	FRONTUE	eng
2-8027-3545-4	2-8027-4267-1	L'élément factuel dans le contentieux international	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ELFACONINT	ELFACONINT	eng
2-8027-4223-X	2-8027-4341-4	Quel gouvernement économique pour l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/GOUECUE	GOUECUE	eng
2-8044-6291-9	2-8044-6646-9	Le Tribunal international du droit de la mer : Organisation, compétence et procédure	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/TRINME	TRINME	eng
2-8027-4159-4	2-8027-4323-6	Quel service public de la justice en Afrique francophone ?	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/JUSAFRMB	JUSAFRMB	eng
2-8027-3781-3	2-8027-3904-2	Religion et ordre juridique de l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/MCCREA	MCCREA	eng
2-8027-4062-8	2-8027-4063-6	Droit international humanitaire : un régime spécial de droit international ?	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/INTHUMREGSPE	INTHUMREGSPE	eng
2-8044-5362-6	2-8044-5361-8	Le droit dans les mondes virtuels	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DROMOVI	DROMOVI	eng
2-8027-3805-4	2-8027-3927-1	L'Homme dans la Société Internationale : Mélanges en hommage au Professeur Paul Tavernier	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/MELTAMB	MELTAMB	eng
2-8027-4209-4	2-8027-4375-9	Droit social et travailleurs pauvres	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DRSOCTRAVPAU	DRSOCTRAVPAU	eng
2-8027-4335-X	2-8027-4350-3	Training for Leadership	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/TRALEA	TRALEA	eng
2-8027-3806-2	2-8027-3943-3	Droit, morale et marché	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ESSAIS	ESSAIS	eng
2-8044-6212-9	2-8044-6732-5	L'analyse d'impact des règlementations dans le droit de l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ANIMREUE	ANIMREUE	eng
2-8044-6278-1	2-8044-6709-0	Nouveaux écrans, nouvelle régulation ?	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/NOECNORE	NOECNORE	eng
2-8044-6324-9	2-8044-6664-7	Institutions économiques internationales : Elément de droit international économiques	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/INSECOINT	INSECOINT	eng
2-8027-3968-9	2-8027-4330-9	Net Neutrality in Europe – La neutralité de l'Internet en Europe	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/NETNEUT	NETNEUT	eng
2-8027-4295-7	2-8027-4296-5	Le droit des obligations dans les jurisprudences française et belge	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DROOBLI	DROOBLI	eng
2-8027-4248-5	2-8027-4438-0	La régulation financière face à la crise	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/REFICR	REFICR	eng
2-8027-3561-6	2-8027-3887-9	La preuve dans le droit de l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/PREUDREU	PREUDREU	eng
2-8027-4204-3	2-8027-4268-X	Valeurs non marchandes et droit de l'OMC	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/VALOMC	VALOMC	eng
2-8044-4353-1	2-8044-5732-X	Les accords commerciaux préférentiels	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DROECOINT	DROECOINT	eng
2-8027-4179-9	2-8027-4382-1	L'Unité des libertés de circulation	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/UNLIBCIRUE	UNLIBCIRUE	eng
2-8027-4220-5	2-8027-4384-8	Protection des victimes de traite des êtres humains	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/PROTVIC	PROTVIC	eng
2-8044-4273-X	2-8044-6663-9	Stratégies d'instrumentalisation juridique et concurrence	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/STINDROCO	STINDROCO	eng
2-8027-4255-8	2-8027-4439-9	La responsabilité de protéger	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/RESPROT	RESPROT	eng
2-8027-4251-5	2-8027-4436-4	Droit européen de la concurrence : Ententes et abus de position dominante	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/MADROCON	MADROCON	eng
2-8027-4211-6	2-8027-4274-4	Politiques climatiques de l'Union européenne et droits de l'Homme	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/CHACLI	CHACLI	eng
2-8027-4109-8	2-8027-4527-1	New Frontiers of Antitrust 2013 : Concurrences	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/NEWFRONANT13	NEWFRONANT13	eng
2-8044-6058-4	2-8044-5743-5	Droit chinois des affaires	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DROCHAF	DROCHAF	eng
2-8044-6267-6	2-8044-6899-2	Legal Dictionary of Food Security in the World : Dictionnaires Larcier	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/FOODSECU	FOODSECU	eng
2-8027-3623-X	2-8027-3930-1	Permanence et mutation du droit des conflits armés	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/PERMUDROCOARM	PERMUDROCOARM	eng
2-8027-4069-5	2-8027-4071-7	Unitas multiplex : Unités et fragmentations en droit international	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/UNIPLEX	UNIPLEX	eng
2-87974-345-1	2-87974-588-8	Socialisation politique au Parlement européen : L'exemple des eurodéputés polonais	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/SOPOPOMP	SOPOPOMP	eng
2-8027-3810-0	2-8027-4167-5	EU Public Contract Law : Public Procurement and Beyond	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/EUPUBCONTMB	EUPUBCONTMB	eng
2-87974-274-9;2-87974-258-7	2-87974-284-6	Droit fiscal international	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DROFISINTMP	DROFISINTMP	eng
2-8027-3452-0	2-8027-3926-3	Traité de droit administratif européen	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DROADEUMB	DROADEUMB	eng
2-8027-4447-X	2-8027-4448-8	1992-2012 : 20 ans de marché intérieur: le marché intérieur entre réalité et utopie	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/MARINTE	MARINTE	eng
2-8044-4055-9	2-8044-5711-7	Droit humanitaire pénal	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DROPENHU	DROPENHU	eng
2-8027-3813-5	2-8027-3942-5	Le patrimoine culturel, cible des conflits armés : De la guerre civil espagnole aux guerres du 21è siècle	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/PACICO	PACICO	eng
2-87974-582-9	2-87974-590-X	La construction du parlement du Mercosur : Régionalisme et démocratie en Amérique du Sud	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/PARMER	PARMER	eng
2-8027-4064-4	2-8027-4065-2	Crimes internationaux : Entre internationalisation du droit pénal et pénalisation du droit international	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/CRIMINT	CRIMINT	eng
2-8044-6280-3	2-8044-6354-0	The role of the Court in Collective Redress Litigation : Comparative Report	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/CORELI	CORELI	eng
2-8044-6800-3	2-8044-7070-9	Contentieux de l'Union européenne : Questions choisies	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/CONUE	CONUE	eng
2-8027-4243-4	2-8027-4618-9	L'action normative de l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ACNOUE	ACNOUE	eng
2-8027-4206-X	2-8027-4632-4	DAY-TO-DAY COMPETITION LAW. A PRACTICAL GUIDE FOR BUSINESSES	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DAYTODAYMB	DAYTODAYMB	eng
2-8027-3965-4	2-8027-4630-8	L'Etat tiers en droit de l'Union européenne	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/ETATIERDRUE	ETATIERDRUE	eng
2-8027-3990-5	2-8027-4421-6	Natura 2000 et le juge/Natura 2000 and the judge : Aperçu en Belgique et dans l'Union européenne/Situation in Belgium and in the EU	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/NATURA2000	NATURA2000	eng
2-8027-4092-X	2-8027-4656-1	L'obligation de renvoi préjudiciel à la Cour de justice : Une obligation sanctionnée ?	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/OBLIRENPRE	OBLIRENPRE	eng
2-8027-4567-0	2-8027-4690-1	Droit international et argumentation	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/DRINAR	DRINAR	eng
2-8027-4245-0	2-8027-4280-9	Juger et juger encore les crimes internationaux : Étude du principe ne bis in idem	Stradalex	https://www.stradalex.eu/DBPro/fr/Search/html/breadcrumb/se_mono/NEBISIDEM	NEBISIDEM	eng
