publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
Thérapie	0040-5957	1958-5578	2003-01-01	58	1	2015-12-31	70	6	http://www.journal-therapie.org/		www.journal-therapie.org		fulltext	transfer out (2016): Elsevier		serial										0040-5957	1958-5578				
BFPP. Bulletin Français de la Pêche et de la Protection des Milieux Aquatiques	1961-9499		1996-01-01	1996	340	2007-12-31	2007	387	http://www.kmae-journal.org/		www.kmae-journal.org		fulltext	Open Access; now: Knowledge and Management of Aquatic Ecosystems 2008- ; previously: BFPP. Bulletin Français de la Pêche et de la Protection des Milieux Aquatiques 1996-2007; Bulletin Français de la Pêche et de la Pisciculture 1985-1995; Bulletin Francais de Pisciculture 1928-1984		serial								F		1961-9499					
Annales de Limnologie - International Journal of Limnology	0003-4088	2100-000X	1965-01-01	1	1				http://www.limnology-journal.org/		www.limnology-journal.org		fulltext	transfer in (2015): Cambridge University Press		serial										0003-4088	2100-000X				
MATEC Web of Conferences		2261-236X	2012-01-01	1					http://www.matec-conferences.org/		www.matec-conferences.org		fulltext	Open Access		serial								F			2261-236X				
Matériaux & Techniques	0032-6895	1778-3771	2004-01-01	92	1				http://www.mattech-journal.org/		www.mattech-journal.org		fulltext			serial										0032-6895	1778-3771				
MBCB. Médecine Buccale Chirurgie Buccale	1273-2761	2105-1011	2001-01-01	7	1				http://www.mbcb-journal.org/		www.mbcb-journal.org		fulltext	Open Access		serial								F		1273-2761	2105-1011				
Mécanique & Industries	1296-2139	1765-2960	2004-01-01	5	1	2011-12-31	12	6	http://www.mechanics-industry.org/		www.mechanics-industry.org		fulltext	transfer in (2015): Cambridge University Press. now: Mechanics & Industry 2012-		serial										1296-2139	1765-2960				
Médecine et Nutrition	0398-7604	2110-5405	2005-07-01	41	5				http://www.medecine-nutrition.org/		www.medecine-nutrition.org		fulltext			serial										0398-7604	2110-5405				
MS. Médecine Sciences	0767-0974	1958-5381	2001-11-01	17	11				http://www.medecinesciences.org/		www.medecinesciences.org		fulltext			serial										0767-0974	1958-5381				
Revue de Métallurgie - International Journal of Metallurgy	0035-1563	1156-3141	2000-10-01	97	10	2013-12-31	110	6	http://www.metallurgical-research.org/		www.metallurgical-research.org		fulltext	transfer in (2015): Cambridge University Press. now: Metallurgical Research & Technology 2014		serial										0035-1563	1156-3141				
International Journal of Metrology and Quality Engineering	2107-6839	2107-6847	2010-01-01	1	1				http://www.metrology-journal.org/		www.metrology-journal.org		fulltext	transfer in (2015): Cambridge University Press		serial										2107-6839	2107-6847				
Mathematical Modelling of Natural Phenomena	0973-5348	1760-6101	2006-01-01	1	1				http://www.mmnp-journal.org/		www.mmnp-journal.org		fulltext	transfer in (2015): Cambridge University Press		serial										0973-5348	1760-6101				
Movement & Sports Science	2118-5735	2118-5743	2012-01-01		75				http://www.mov-sport-sciences.org/		www.mov-sport-sciences.org		fulltext	previously: Science & Motricité 2002-2011		serial										2118-5735	2118-5743				
Natures Sciences Sociétés	1240-1307	1765-2979	2004-01-01	12	1				http://www.nss-journal.org/		www.nss-journal.org		fulltext			serial										1240-1307	1765-2979				
OCL - Oilseeds and Fats, Crops and Lipids	2272-6977	2257-6614	2013-01-01	20	1				http://www.ocl-journal.org/		www.ocl-journal.org		fulltext	Open Access; previously: Oléagineux Corps Gras Lipides 1997-2012		serial								F		2272-6977	2257-6614				
L'Orthodontie Française	1966-5202		2000-01-01	71	1				http://www.orthodfr.org/		www.orthodfr.org		fulltext			serial										1966-5202					
Parasite	1252-607X	1776-1042	2002-03-01	9	1				http://www.parasite-journal.org/		www.parasite-journal.org		fulltext	Open Access		serial								F		1252-607X	1776-1042				
Pédagogie Médicale	1625-6484	1627-4784	2000-10-01	1	1				http://www.pedagogie-medicale.org/		www.pedagogie-medicale.org		fulltext			serial										1625-6484	1627-4784				
Perspectives Psy	0031-6032	2118-4038	2004-01-01	43	1				http://www.perspectives-psy.org/		www.perspectives-psy.org		fulltext			serial										0031-6032	2118-4038				
psychologie clinique	1145-1882	2118-4224	2009-01-01	2009	27				http://www.psycho-clinique.org/		www.psycho-clinique.org		fulltext			serial										1145-1882	2118-4224				
Quadrature	1142-2785	1760-4826	2002-09-01		46				http://www.quadrature-journal.org/		www.quadrature-journal.org		fulltext			serial										1142-2785	1760-4826				
Radioprotection	0033-8451	1769-700X	1990-01-01	25	1				http://www.radioprotection.org/		www.radioprotection.org		fulltext	transfer in (2015): Cambridge University Press		serial										0033-8451	1769-700X				
RAIRO - Theoretical Informatics and Applications	0988-3754	1290-385X	1999-01-01	33	1				http://www.rairo-ita.org/		www.rairo-ita.org		fulltext	transfer in (2015): Cambridge University Press		serial										0988-3754	1290-385X				
RAIRO - Operations Research	0399-0559	1290-3868	1999-01-01	33	1				http://www.rairo-ro.org/		www.rairo-ro.org		fulltext	transfer in (2015): Cambridge University Press		serial										0399-0559	1290-3868				
Droit et Médecine Bucco-Dentaire	2116-1321	2116-133X	2011-01-01	1	1				http://www.rdmbd.org/		www.rdmbd.org		fulltext			serial										2116-1321	2116-133X				
Bulletin de la Société Française de Physique	0037-9360	2259-5295	1993-05-01		89	2006-08-31		155	http://www.refletsdelaphysique.fr/		www.refletsdelaphysique.fr		fulltext	now: Reflets de la Physique 2006-		serial										0037-9360	2259-5295				
Regenerative Medicine Research		2050-490X							http://www.regenmedres-journal.org/		www.regenmedres-journal.org		fulltext	transfer in (2016): BioMed. Open Access. New for 2016 - content not yet available		serial								F			2050-490X				
Revue d'Orthodontie Clinique	2118-5654		2011-01-01		1				http://www.roc-journal.org/		www.roc-journal.org		fulltext			serial										2118-5654					
La Houille Blanche	0018-6368	1958-5551	1902-01-01	1					http://www.shf-lhb.org/		www.shf-lhb.org		fulltext			serial										0018-6368	1958-5551				
SHS Web of Conferences		2261-2424	2012-01-01	1					http://www.shs-conferences.org/		www.shs-conferences.org		fulltext	Open Access		serial								F			2261-2424				
