publication_title	online_identifier	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Anthony - Therapy Online: A Practical Guide	9781446279939	http://knowledge.sagepub.com/view/therapy-online/SAGE.xml	Anthony	therapy-online				SAGE Publications Ltd	Monograph	4/12/2009	20/12/2013						F
"Daniels - Therapy with Children: Children's Rights, Confidentiality and the Law (Second Edition)"	9781446251737	http://knowledge.sagepub.com/view/therapy-with-children-2e/SAGE.xml	Daniels	therapy-with-children-2e				SAGE Publications Ltd	Monograph	15/10/2010	19/06/2012		Second Edition			205839	F
Palmer - Thinking about Management: Implications of Organizational Debates for Practice	9781446217641	http://knowledge.sagepub.com/view/thinking-about-management/SAGE.xml	Palmer	thinking-about-management				SAGE Publications Ltd	Monograph	10/11/1999	19/06/2012						F
Hope - Thinking and Learning Through Drawing: In Primary Classrooms	9781446220641	http://knowledge.sagepub.com/view/thinking-and-learning-through-drawing/SAGE.xml	Hope	thinking-and-learning-through-drawing				SAGE Publications Ltd	Monograph	12/09/2008	19/06/2012						F
Balaram - Thinking Design	9788132112112	http://knowledge.sagepub.com/view/thinking-design/SAGE.xml	Balaram	thinking-design				SAGE India	Monograph	1/12/2010	20/12/2013						F
"Kasarda - Third World Cities: Problems, Policies and Prospects"	9781483325293	http://knowledge.sagepub.com/view/third-world-cities/SAGE.xml		third-world-cities				"SAGE Publications, Inc"	Monograph	10/11/1992	20/12/2013	148		Kasarda			F
Bell - This Book Is Not Required: An Emotional and Intellectual Survival Manual for Students (Fourth Edition)	9781483387345	http://knowledge.sagepub.com/view/this-book-is-not-required/SAGE.xml	Bell	this-book-is-not-required				"SAGE Publications, Inc"	Monograph	24/08/2010	19/12/2014		Fourth Edition			227304	F
Mestrovic - Thorstein Veblen on Culture and Society	9781446279113	http://knowledge.sagepub.com/view/thorstein-veblen-on-culture-and-society/SAGE.xml		thorstein-veblen-on-culture-and-society				SAGE Publications Ltd	Monograph	18/03/2003	20/12/2013			Mestrovic			F
Hunley - Tier 3 of the RTI Model: Problem Solving Through a Case Study Approach	9781452219028	http://knowledge.sagepub.com/view/tier-3-of-the-rti-model/SAGE.xml		tier-3-of-the-rti-model				Corwin	Monograph	7/10/2009	19/06/2012			Hunley			F
Feltham - Time-Limited Counselling	9781446222034	http://knowledge.sagepub.com/view/time-limited-counselling/SAGE.xml	Feltham	time-limited-counselling				SAGE Publications Ltd	Monograph	11/12/1996	19/06/2012						F
Hudson-Allez - Time-Limited Therapy in a General Practice Setting: How to Help within Six Sessions	9781446217863	http://knowledge.sagepub.com/view/time-limited-therapy-in-a-general-practice-setting/SAGE.xml	Hudson-Allez	time-limited-therapy-in-a-general-practice-setting				SAGE Publications Ltd	Monograph	15/10/1997	19/06/2012						F
Wolf - To Your Health: Achieving Well-Being During Medical School	9781452232744	http://knowledge.sagepub.com/view/to-your-health/SAGE.xml	Wolf	to-your-health				"SAGE Publications, Inc"	Monograph	18/08/2000	19/06/2012						F
Heath - Today's Public Relations: An Introduction	9781452233055	http://knowledge.sagepub.com/view/todays-public-relations/SAGE.xml	Heath	todays-public-relations				"SAGE Publications, Inc"	Monograph	19/10/2005	19/06/2012						F
Hammond - Tolerance and Empathy in Today's Classroom: Building Positive Relationships within the Citizenship Curriculum for 9 to 14 Year Olds	9781446212813	http://knowledge.sagepub.com/view/tolerance-and-empathy-in-todays-classroom/SAGE.xml	Hammond	tolerance-and-empathy-in-todays-classroom				SAGE Publications Ltd	Monograph	18/07/2005	19/06/2012						F
Sejnost - Tools for Teaching in the Block	9781452219097	http://knowledge.sagepub.com/view/tools-for-teaching-in-the-block/SAGE.xml		tools-for-teaching-in-the-block				Corwin	Monograph	7/04/2009	19/06/2012			Sejnost			F
Dye - Top Down Policymaking	9781483330150	http://knowledge.sagepub.com/view/top-down-policymaking/SAGE.xml	Dye	top-down-policymaking				CQ Press	Monograph	15/09/2000	20/12/2013						F
Martin - Total Quality Management in Human Service Organizations	9781483326597	http://knowledge.sagepub.com/view/total-quality-management-in-human-service-organizations/SAGE.xml	Martin	total-quality-management-in-human-service-organizations				"SAGE Publications, Inc"	Monograph	10/09/1993	20/12/2013	67					F
Hudson - Tourism and Hospitality Marketing: A Global Perspective	9781446280140	http://knowledge.sagepub.com/view/tourism-and-hospitality-marketing/SAGE.xml	Hudson	tourism-and-hospitality-marketing				SAGE Publications Ltd	Monograph	18/02/2008	20/12/2013						F
Shaw - Tourism and Tourism Spaces	9781446220528	http://knowledge.sagepub.com/view/tourism-and-tourism-spaces/SAGE.xml	Shaw	tourism-and-tourism-spaces				SAGE Publications Ltd	Monograph	18/03/2004	19/06/2012						F
"Babu - Tourism Development Revisited: Concepts, Issues and Paradigms"	9788132111900	http://knowledge.sagepub.com/view/tourism-development-revisited/SAGE.xml		tourism-development-revisited				SAGE India	Monograph	23/05/2008	20/12/2013			Babu			F
Franklin - Tourism: An Introduction	9781446220108	http://knowledge.sagepub.com/view/tourism/SAGE.xml	Franklin	tourism				SAGE Publications Ltd	Monograph	18/03/2003	19/06/2012						F
"Wearing - Tourist Cultures: Identity, Place and the Traveller"	9781446269138	http://knowledge.sagepub.com/view/tourist-cultures/SAGE.xml	Wearing	tourist-cultures				SAGE Publications Ltd	Monograph	26/09/2009	18/01/2013						F
Thornton - Toward a Geopolitics of Hope	9788132114031	http://knowledge.sagepub.com/view/toward-a-geopolitics-of-hope/SAGE.xml	Thornton	toward-a-geopolitics-of-hope				SAGE India	Monograph	27/08/2012	26/12/2013						F
De Haan - Towards a New Poverty Agenda in Asia: Social Policies and Economic Transformation	9788132112273	http://knowledge.sagepub.com/view/towards-a-new-poverty-agenda-in-asia/SAGE.xml	De Haan	towards-a-new-poverty-agenda-in-asia				SAGE India	Monograph	18/08/2010	20/12/2013						F
Verma - Towards the Next Orbit: Corporate Odyssey	9788132112259	http://knowledge.sagepub.com/view/towards-the-next-orbit/SAGE.xml		towards-the-next-orbit				SAGE India	Monograph	25/11/2010	20/12/2013			Verma			F
"Raghuram - Tracing an Indian Diaspora: Contexts, Memories, Representations"	9788132112419	http://knowledge.sagepub.com/view/tracing-an-indian-diaspora/SAGE.xml		tracing-an-indian-diaspora				SAGE India	Monograph	1/08/2008	20/12/2013			Raghuram			F
Lee - Trafficking and Global Crime Control	9781446269152	http://knowledge.sagepub.com/view/trafficking-and-global-crime-control/SAGE.xml	Lee	trafficking-and-global-crime-control				SAGE Publications Ltd	Monograph	17/11/2010	18/01/2013						F
"Holloway - Training Counselling Supervisors: Strategies, Methods and Techniques"	9781446218044	http://knowledge.sagepub.com/view/training-counselling-supervisors/SAGE.xml		training-counselling-supervisors				SAGE Publications Ltd	Monograph	19/05/1999	19/06/2012	2		Holloway			F
Tudor - Transactional Analysis Approaches to Brief Therapy: What do you say between saying hello and goodbye?	9781446217917	http://knowledge.sagepub.com/view/transactional-analysis-approaches-to-brief-therapy/SAGE.xml	Tudor	transactional-analysis-approaches-to-brief-therapy				SAGE Publications Ltd	Monograph	28/11/2001	19/06/2012						F
d'Ardenne - Transcultural Counselling in Action (Second Edition)	9781446219027	http://knowledge.sagepub.com/view/transcultural-counselling-in-action-2e/SAGE.xml	d'Ardenne	transcultural-counselling-in-action-2e				SAGE Publications Ltd	Monograph	5/08/1999	19/06/2012		Second Edition			202179	F
Milhouse - Transcultural Realities: Interdisciplinary Perspectives on Cross-Cultural Relations	9781452229430	http://knowledge.sagepub.com/view/transcultural-realities/SAGE.xml	Milhouse	transcultural-realities				"SAGE Publications, Inc"	Monograph	24/07/2001	19/06/2012						F
Pollert - Transformation at Work: In the New Market Economies of Central Eastern Europe	9781446217160	http://knowledge.sagepub.com/view/transformation-at-work/SAGE.xml	Pollert	transformation-at-work				SAGE Publications Ltd	Monograph	13/01/2000	19/06/2012						F
Ginsberg - Transformative Professional Learning: A System to Enhance Teacher and Student Motivation	9781483387376	http://knowledge.sagepub.com/view/transformative-professional-learning/SAGE.xml	Ginsberg	transformative-professional-learning				Corwin	Monograph	12/07/2011	19/12/2014						F
Collier - Transforming Communication About Culture: Critical New Directions	9781452233208	http://knowledge.sagepub.com/view/transforming-communication-about-culture/SAGE.xml		transforming-communication-about-culture				"SAGE Publications, Inc"	Monograph	24/10/2001	19/06/2012			Collier			F
Derezotes - Transforming Historical Trauma through Dialogue	9781483387536	http://knowledge.sagepub.com/view/transforming-historical-trauma-through-dialogue/SAGE.xml	Derezotes	transforming-historical-trauma-through-dialogue				"SAGE Publications, Inc"	Monograph	11/04/2013	23/12/2014						F
Clampitt - Transforming Leaders Into Progress Makers: Leadership for the 21st Century	9781452275246	http://knowledge.sagepub.com/view/transforming-leaders-into-progress-makers/SAGE.xml	Clampitt	transforming-leaders-into-progress-makers				"SAGE Publications, Inc"	Monograph	28/07/2010	18/01/2013						F
MacGilchrist - Transforming Learning and Teaching: We can if...	9781446211441	http://knowledge.sagepub.com/view/transforming-learning-and-teaching/SAGE.xml	MacGilchrist	transforming-learning-and-teaching				SAGE Publications Ltd	Monograph	4/11/2004	19/06/2012						F
Moss - Transforming Nursery Education	9781446252055	http://knowledge.sagepub.com/view/transforming-nursery-education/SAGE.xml	Moss	transforming-nursery-education				SAGE Publications Ltd	Monograph	28/03/1996	19/06/2012						F
