publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
Brill Research Perspectives in International Water Law	2352-9350	2352-9369	2016-01-01	1	1				https://brill.com/view/journals/rpwl/rpwl-overview.xml		rpwl		fulltext			serial									New for 2016		2352-9350	2352-9369			2016-06-01		Current	
Brill Research Perspectives in Jesuit Studies	2589-7446	2589-7454	2019-10-01	1	1				https://brill.com/view/journals/rpjs/rpjs-overview.xml		rpjs		fulltext			serial									new (2019)		2589-7446	2589-7454					Current	
Brill Research Perspectives in Law and Religion	2468-2985	2468-2993	2017-01-01	1	1				https://brill.com/view/journals/rplr/rplr-overview.xml		rplr		fulltext			serial									New for 2017		2468-2985	2468-2993			2017-02-01		Current	
Brill Research Perspectives in Map History	2589-3955	2589-3963	2019-01-01	1	1				https://brill.com/view/journals/rpmh/rpmh-overview.xml		rpmh		fulltext			serial									new (2019)		2589-3955	2589-3963			2019-06-01		Current	
Brill Research Perspectives in Multilingualism and Second Language Acquisition	2352-8761	2352-877X	2016-01-01	1	1	2016-01-01	1	2	https://brill.com/view/journals/rpms/rpms-overview.xml		rpms		fulltext			serial									New for 2016		2352-8761	2352-877X			2016-06-01		Current	
Brill Research Perspectives in Popular Culture	2589-4420	2589-4439	2019-01-01	1	1				https://brill.com/view/journals/rppc/rppc-overview.xml		rppc		fulltext			serial									new (2019)		2589-4420	2589-4439			2019-01-01		Current	
Brill Research Perspectives in Quaker Studies	2542-4971	2542-498X	2018-01-01	1	1				https://brill.com/view/journals/rpqs/rpqs-overview.xml		rpqs		fulltext			serial									New for 2018		2542-4971	2542-498X			2018-01-01		Current	
Brill Research Perspectives in Religion and Education	2589-529X	2589-5303							https://brill.com/view/journals/rpre/rpre-overview.xml		rpre		fulltext			serial									new (2019); content not yet available		2589-529X	2589-5303			2020-01-01		Current	
Brill Research Perspectives in Religion and Politics	2589-5842	2589-5850	2019-01-01	1	1				https://brill.com/view/journals/rprp/rprp-overview.xml		rprp		fulltext			serial									new (2019)		2589-5842	2589-5850			2019-07-01		Current	
Brill Research Perspectives in Religion and Psychology	2589-711X	2589-7128	2019-01-01	1	1				https://brill.com/view/journals/rpsy/rpsy-overview.xml		rpsy		fulltext			serial									new (2019)		2589-711X	2589-7128			2019-06-01		Current	
Brill Research Perspectives in Religion and the Arts	2468-886X	2468-8878	2017-01-01	1	1				https://brill.com/view/journals/rpra/rpra-overview.xml		rpra		fulltext			serial											2468-886X	2468-8878					Current	
Brill Research Perspectives in Sociocybernetics and Complexity	2590-0579	2590-0587	2020-01-01	1	1				https://brill.com/view/journals/rpsc/rpsc-overview.xml		rpsc		fulltext			serial									New ( 2020)		2590-0579	2590-0587			2020-01-01		Current	
Brill Research Perspectives in Southeast European History	2468-5550	2468-5569	2017-01-01	1	1				https://brill.com/view/journals/rpsr/rpsr-overview.xml		rpsr		fulltext			serial									New for 2017		2468-5550	2468-5569			2018-01-01		Current	
Brill Research Perspectives in Theological Traditions	2589-8795	2589-8809							https://brill.com/view/journals/rptt/rptt-overview.xml		rptt		fulltext			serial									new (2019); content not yet available		2589-8795	2589-8809			2020-01-01		Current	
Brill Research Perspectives in Theology	2468-3485	2468-3493	2017-01-01	1	1				https://brill.com/view/journals/rpth/rpth-overview.xml		rpth		fulltext			serial									New for 2017		2468-3485	2468-3493			2017-10-01		Current	
Brill Research Perspectives in Transnational Crime	2468-0923	2468-0931	2017-01-01	1	1				https://brill.com/view/journals/rptc/rptc-overview.xml		rptc		fulltext			serial									New for 2017		2468-0923	2468-0931			2017-02-01		Current	
Brill Research Perspectives in the Law of the Sea	2451-9340	2451-9359	2017-01-01	1	1				https://brill.com/view/journals/rpls/rpls-overview.xml		rpls		fulltext			serial									New for 2017		2451-9340	2451-9359			2017-02-01		Current	
Brill's Annual of Afroasiatic Languages and Linguistics	1876-6633	1877-6930	2009-11-01	1	1				https://brill.com/view/journals/aall/aall-overview.xml		aall		fulltext			serial									now known as: Brill's Journal of Afroasiatic Languages and Linguistics (2018)		1876-6633	1877-6930					Current	
Bustan: The Middle East Book Review	1878-5301	1878-5328	2010-06-01	1	1	2014-12-31	5	2	https://brill.com/view/journals/bcl/bcl-overview.xml		bcl		fulltext			serial									Transfer out (2014):Penn State University Press		1878-5301	1878-5328					Current	
Cahiers de Linguistique Asie Orientale / Oriental Languages and Linguistics	0153-3320	1960-6028	1977-01-01	1	1				https://brill.com/view/journals/clao/clao-overview.xml		clao		fulltext			serial											0153-3320	1960-6028					Current	
Canadian-American Slavic Studies	0090-8290	2210-2396	1969-01-01	3	1				https://brill.com/view/journals/css/css-overview.xml		css		fulltext			serial											0090-8290	2210-2396					Current	
Central Asian Affairs	2214-2282	2214-2290	2014-01-01	1	1				https://brill.com/view/journals/caa/caa-overview.xml		caa		fulltext			serial											2214-2282	2214-2290					Current	
China Law and Society Review	2542-7458	2542-7466	2016-01-01	1	1-2				https://brill.com/view/journals/clsr/clsr-overview.xml		clsr		fulltext			serial											2542-7458	2542-7466					Current	
