"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"
"Marges"	"1767-7114"	"2416-8742"	"2003"	"1"	""	"2018"	"26"	""	"http://journals.openedition.org/marges"	""	"marges"	""	"fulltext"	""	"Presses universitaires de Vincennes"	"serial"	""	""	""	""	""	""	""	"F"
"Mathématiques et sciences humaines"	"0987-6936"	"1950-6821"	"1995"	"132"	""	""	""	""	"http://journals.openedition.org/msh"	""	"msh"	""	"fulltext"	""	"Centre d’analyse et de mathématique sociales de l’EHESS"	"serial"	""	""	""	""	""	""	""	"F"
"Medievalista online"	""	"1646-740X"	"2010"	"8"	""	""	""	""	"http://journals.openedition.org/medievalista"	""	"medievalista"	""	"fulltext"	""	"Instituto de Estudos Medievais - FCSH-UNL"	"serial"	""	""	""	""	""	""	""	"F"
"Memini"	"1484-2254"	"1929-221X"	"2007"	"11"	""	""	""	""	"http://journals.openedition.org/memini"	""	"memini"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Société des études médiévales du Québec"	"serial"	""	""	""	""	""	""	""	"F"
"Methodos"	"1626-0600"	"1769-7379"	"2001"	"1"	""	""	""	""	"http://journals.openedition.org/methodos"	""	"methodos"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Savoirs textes langage - UMR 8163"	"serial"	""	""	""	""	""	""	""	"F"
"Midéo"	"0575-1330"	"1783-1628"	"2015"	"31"	""	""	""	""	"http://journals.openedition.org/mideo"	""	"mideo"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"IDEO - Institut dominicain d'études orientales, IFAO - Institut français d’archéologie orientale"	"serial"	""	""	""	""	""	""	""	"F"
"Mimesis Journal"	""	"2279-7203"	"2012"	"1"	"1"	""	""	""	"http://journals.openedition.org/mimesis"	""	"mimesis"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Accademia University Press"	"serial"	""	""	""	""	""	""	""	"F"
"Miranda"	""	"2108-6559"	"2010"	"1"	""	""	""	""	"http://journals.openedition.org/miranda"	""	"miranda"	""	"fulltext"	""	"Université Toulouse - Jean Jaurès"	"serial"	""	""	""	""	""	""	""	"F"
"Mise au point"	""	"2261-9623"	"2009"	"1"	""	""	""	""	"http://journals.openedition.org/map"	""	"map"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Association française des enseignants et chercheurs en cinéma et audiovisuel"	"serial"	""	""	""	""	""	""	""	"F"
"Modèles linguistiques"	"0249-6267"	"2274-0511"	"1999"	"40"	""	""	""	""	"http://journals.openedition.org/ml"	""	"ml"	""	"fulltext"	"suppl. H.S. 2, 2010 – 3, 2010 | abs. 44–52 ; 55 ; 67–70"	"Association Modèles linguistiques"	"serial"	""	""	""	""	""	""	""	"F"
"Mondes du tourisme"	"2109-5671"	"2492-7503"	"2010"	"1"	""	""	""	""	"http://journals.openedition.org/tourisme"	""	"tourisme"	""	"fulltext"	"suppl. H.S. 2016"	"Éditions touristiques européennes"	"serial"	""	""	""	""	""	""	""	"F"
"Mots. Les langages du politique"	"0243-6450"	"1960-6001"	"2002"	"68"	""	"2018"	"118"	""	"http://journals.openedition.org/mots"	""	"mots"	""	"fulltext"	""	"ENS Éditions"	"serial"	""	""	""	""	""	""	""	"F"
"Moussons"	"1620-3224"	"2262-8363"	"2000"	"2"	""	""	""	""	"http://journals.openedition.org/moussons"	""	"moussons"	""	"fulltext"	"abs. 3, 2001 | Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Presses Universitaires de Provence"	"serial"	""	""	""	""	""	""	""	"F"
"Mulemba"	"2182-6471"	"2520-0305"	"2014"	"4"	"8"	""	""	""	"http://journals.openedition.org/mulemba"	""	"mulemba"	""	"fulltext"	""	"Edições Pedago"	"serial"	""	""	""	""	""	""	""	"F"
"Multilinguales"	"2335-1535"	"2335-1853"	"2013"	"1"	""	""	""	""	"http://journals.openedition.org/multilinguales"	""	"multilinguales"	""	"fulltext"	""	"Université Abderrahmane Mira - Bejaia"	"serial"	""	""	""	""	""	""	""	"F"
"Mythos"	"1972-2516"	"2037-7746"	"2016"	"10"	""	""	""	""	"http://journals.openedition.org/mythos"	""	"mythos"	""	"fulltext"	""	"Salvatore Sciascia Editore"	"serial"	""	""	""	""	""	""	""	"F"
"Méditerranée"	"0025-8296"	"1760-8538"	"2005"	"104"	""	""	""	""	"http://journals.openedition.org/mediterranee"	""	"mediterranee"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Presses Universitaires de Provence"	"serial"	""	""	""	""	""	""	""	"F"
"Médiévales"	"0751-2708"	"1777-5892"	"2003"	"44"	""	"2019"	"76"	""	"http://journals.openedition.org/medievales"	""	"medievales"	""	"fulltext"	""	"Presses universitaires de Vincennes"	"serial"	""	""	""	""	""	""	""	"F"
