publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	Subject(s)	Collection(s)	Year Started at OUP	MARC Control Number	Title History
Brain	0006-8950	1460-2156	1996-02	119	1				https://academic.oup.com/brain		brain		fulltext		Oxford University Press	Serial								P	"Life Sciences, Medicine"	"Life Sciences, Medicine, STM"	1878	EDZ0001545805	
Briefings in Bioinformatics	1467-5463	1477-4054	2000	1	1				https://academic.oup.com/bib		bib		fulltext		Oxford University Press	Serial								P	"Life Sciences, Mathematics and Physics"	"Life Sciences, Mathematics & Physical Sciences, STM"	1889	EDZ0001562041	
Briefings in Functional Genomics	2041-2649	2041-2657	2010-01	9	1				https://academic.oup.com/bfg		bfg		fulltext		Oxford University Press	Serial								P	Life Sciences	"Life Sciences, STM"	1893	EDZ0001541575	Title change: Formerly (until 2010): Briefings in Functional Genomics & Proteomics (United Kingdom) (1473-9550)Formerly (until 2010): Briefings in Functional Genomics and Proteomics (Online) (United Kingdom) (1477-4062); Briefings in Functional Genomics from 2010-01 on
Briefings in Functional Genomics & Proteomics	1473-9550	1477-4062	2002	1	1	2009-11	8	6	https://academic.oup.com/bfg		bfg		fulltext		Oxford University Press	Serial								P	Life Sciences	"Life Sciences, STM"	1893	EDZ0001541575	Title change: Formerly (until 2010): Briefings in Functional Genomics & Proteomics (United Kingdom) (1473-9550)Formerly (until 2010): Briefings in Functional Genomics and Proteomics (Online) (United Kingdom) (1477-4062); Briefings in Functional Genomics from 2010-01 on
British Medical Bulletin	0007-1420	1471-8391	1996-01	52	1				https://academic.oup.com/bmb		bmb		fulltext		Oxford University Press	Serial								P	Medicine	"Medicine, STM"	1943	EDZ0001561988	
Cambridge Journal of Economics	0309-166X	1464-3545	1996-01	20	1				https://academic.oup.com/cje		cje		fulltext		Oxford University Press	Serial								P	Social Sciences	"Economics and Finance, HSS, Social Sciences, "	1977	EDZ0001561328	
"Cambridge Journal of Regions, Economy and Society"	1752-1378	1752-1386	2008-04	1	1				https://academic.oup.com/cjres		cjres		fulltext		Oxford University Press	Serial								P	Social Sciences	"Economics and Finance, HSS, Policy, Social Sciences"	1901	EDZ0001565849	
Capital Markets Law Journal	1750-7219	1750-7227	2006-07	1	1				https://academic.oup.com/cmlj		cmlj		fulltext		Oxford University Press	Serial								P	Law	"Economics and Finance, HSS, Law"	1901	EDZ0001565824	
Carcinogenesis	0143-3334	1460-2180	1996-01	17	1				https://academic.oup.com/carcin		carcin		fulltext		Oxford University Press	Serial								P	"Life Sciences, Medicine"	"Life Sciences, Medicine, STM"	1980	EDZ0001545806	
Cardiovascular Research	0008-6363	1755-3245	1996-01	31	1				https://academic.oup.com/cardiovascres		cardiovascres		fulltext		Oxford University Press	Serial								P	Medicine	"Medicine, STM"	1967	EDZ0001565870	
Cerebral Cortex	1047-3211	1460-2199	1996-01	6	1				https://academic.oup.com/cercor		cercor		fulltext		Oxford University Press	Serial								P	"Life Sciences, Medicine"	"Life Sciences, Medicine, STM"	1991	EDZ0001545807	
CESifo Economic Studies	1610-241X	1612-7501	2003	49	1				https://academic.oup.com/cesifo		cesifo		fulltext		Oxford University Press	Serial								P	Social Sciences	"Economics and Finance, HSS, Policy, Social Sciences"	1903	EDZ0001562495	
Chemical Senses	0379-864X	1464-3553	1996-02	21	1				https://academic.oup.com/chemse		chemse		fulltext		Oxford University Press	Serial								P	"Life Sciences, Medicine"	"Life Sciences, Medicine, STM"	1974	EDZ0001561329	
Children & Schools	1532-8759	1545-682X	2000-10	22	4				https://academic.oup.com/cs		cs		fulltext		Oxford University Press	Serial								P	"Medicine, Social Sciences"	"HSS, Medicine, Social Sciences, STM"	1978	EDZ0001562487	Title change: Formerly (through July 2000): Social Work in Education (United States) (0162-7961); Children & Schools from 2000-10 on
Chinese Journal of International Law	1540-1650	1746-9937	2002	1	1				https://academic.oup.com/chinesejil		chinesejil		fulltext		Oxford University Press	Serial								P	Law	"HSS, Law, Policy"	1905	EDZ0001565776	
Christian Bioethics	1380-3603	1744-4195	1996-03	2	1				https://academic.oup.com/cb		cb		fulltext		Oxford University Press	Serial								P	"Humanities, Medicine"	"HSS, Humanities, Medicine, Religion & Philosophy, STM"	1995	EDZ0001562432	
