publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
book	Gray's Surgical Anatomy	9780702073861		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160023768	Vivas	3-s2.0-C20160023768		fulltext		Elsevier
book	Gray’s Surface Anatomy and Ultrasound	9780702070181		2018						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150022213	Smith	3-s2.0-C20150022213		fulltext		Elsevier
book	Guyton and Hall Textbook of Medical Physiology	9780443111013		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220008424	Hall	3-s2.0-C20220008424		fulltext		Elsevier
book	Hacker & Moore's Essentials of Obstetrics and Gynecology	9781455775583		2016						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20120069153	Hobel	3-s2.0-C20120069153		fulltext		Elsevier
book	Handbook of Surgical Technique	9780323462013		2018						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2014004806X	Hartman	3-s2.0-C2014004806X		fulltext		Elsevier
book	Harriet Lane Handbook, The	9780323876988		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210008063	Companiony Hopkins	3-s2.0-C20210008063		fulltext		Elsevier
book	Health System Science Review	9780323653701		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170039009	Agrwal	3-s2.0-C20170039009		fulltext		Elsevier
book	Health Systems Science	9780323694629		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180012372	Lomis	3-s2.0-C20180012372		fulltext		Elsevier
book	Hematology: A Pathophysiologic Approach	9780323595834		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160042857	Hudnall	3-s2.0-C20160042857		fulltext		Elsevier
book	Histology and Cell Biology: An Introduction to Pathology	9780443284885		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20230515721	Kierszenbaum	3-s2.0-C20230515721		fulltext		Elsevier
book	Human Embryology and Developmental Biology	9780323881685		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210013092	Carlson	3-s2.0-C20210013092		fulltext		Elsevier
book	Hypertension Secrets	9780323758529		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180053256	Farrell	3-s2.0-C20180053256		fulltext		Elsevier
book	Integrated Physiology and Pathophysiology	9780323597326		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160054116	Seifter	3-s2.0-C20160054116		fulltext		Elsevier
book	Introduction to Evidence-Based Medicine	9780323760331		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190022108	Chang	3-s2.0-C20190022108		fulltext		Elsevier
book	Jekel's Epidemiology, Biostatistics, Preventive Medicine, and Public Health	9780323642019		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170006468	Flores	3-s2.0-C20170006468		fulltext		Elsevier
book	Larsen's Human Embryology	9780323696043		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180032296	Schoenwolf	3-s2.0-C20180032296		fulltext		Elsevier
book	Learning Interventional Radiology	9780323478793		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150064206	DePietro	3-s2.0-C20150064206		fulltext		Elsevier
book	Learning Radiology	9780323878173		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2021000941X	Kowal	3-s2.0-C2021000941X		fulltext		Elsevier
book	Medical Biochemistry	9780323834506		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200021304	Church	3-s2.0-C20200021304		fulltext		Elsevier
book	Medical Genetics	9780323597371		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170009679	Jorde	3-s2.0-C20170009679		fulltext		Elsevier
book	Medical Interview, The	9780323052214		2014						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20090431829	Cole	3-s2.0-C20090431829		fulltext		Elsevier
book	Medical Microbiology and Immunology Flash Cards	9780323462242		2017						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20110062075	Rosenthal	3-s2.0-C20110062075		fulltext		Elsevier
book	Medical Microbiology	9780443261336		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20230012894	Murray	3-s2.0-C20230012894		fulltext		Elsevier
book	Medical Physiology	9781455743773		2017						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20110061677	Boulpaep	3-s2.0-C20110061677		fulltext		Elsevier
book	Medical Secrets	9780323478724		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150066990	Webb	3-s2.0-C20150066990		fulltext		Elsevier
book	Medicine Morning Report Subspecialties	9780323831369		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190014975	Wu	3-s2.0-C20190014975		fulltext		Elsevier
book	Medicine Morning Report	9780323831192		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190016809	Fung	3-s2.0-C20190016809		fulltext		Elsevier
book	Mims' Medical Microbiology and Immunology	9780323937252		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210027991	Goering	3-s2.0-C20210027991		fulltext		Elsevier
book	Mistake-Based Learning in Cardiology	9780323931571		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210020034	Chang	3-s2.0-C20210020034		fulltext		Elsevier
book	Mont Reid Surgical Handbook, The	9780323529808		2018						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2010066202X	Huebner	3-s2.0-C2010066202X		fulltext		Elsevier
book	Murray's Basic Medical Microbiology	9780323878104		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210009330	Murray	3-s2.0-C20210009330		fulltext		Elsevier
