publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Baculovirus Expression Protocols	978-0-89603-272-9	978-1-59259-526-6							http://link.springer.com/10.1385/0896032728		10.1385/0896032728		fulltext		Humana Press	Monograph	1995		39		Richardson	7651	
Basic Cell Culture Protocols	978-0-89603-441-9	978-1-59259-561-7							http://link.springer.com/10.1385/0896034410		10.1385/0896034410		fulltext		Humana Press	Monograph	1997		75	Second Edition	Pollard	7651	
Basic DNA and RNA Protocols	978-0-89603-402-0	978-1-59259-251-7							http://link.springer.com/10.1385/089603402X		10.1385/089603402X		fulltext		Humana Press	Monograph	1996		58		Harwood	7651	
Basic Protein and Peptide Protocols	978-0-89603-268-2	978-1-59259-519-8							http://link.springer.com/10.1385/089603268X		10.1385/089603268X		fulltext		Humana Press	Monograph	1994		32		Walker	7651	
Bioconjugation Protocols	978-1-58829-098-4	978-1-59259-813-7							http://link.springer.com/10.1385/1592598137		10.1385/1592598137		fulltext		Humana Press	Monograph	2004		283		Niemeyer	7651	
Bioinformatics Methods and Protocols	978-0-89603-732-8	978-1-59259-192-3							http://link.springer.com/10.1385/1592591922		10.1385/1592591922		fulltext		Humana Press	Monograph	1999		132		Misener	7651	
Bioluminescence Methods and Protocols	978-0-89603-520-1	978-1-59259-577-8							http://link.springer.com/10.1385/0896035204		10.1385/0896035204		fulltext		Humana Press	Monograph	1998		102		LaRossa	7651	
Biomembrane Protocols	978-0-89603-236-1	978-1-59259-506-8							http://link.springer.com/10.1385/0896032361		10.1385/0896032361		fulltext		Humana Press	Monograph	1993		19		Graham	7651	
Biomembrane Protocols	978-0-89603-250-7	978-1-59259-514-3							http://link.springer.com/10.1385/0896032507	Graham	10.1385/0896032507		fulltext		Springer New York	Monograph	1994		27			7651	
Biopesticides: Use and Delivery	978-0-89603-515-7	978-1-59259-483-2							http://link.springer.com/10.1385/0896035158		10.1385/0896035158		fulltext		Humana Press	Monograph	1999		5		Hall	7650	
Biopolymer Methods in Tissue Engineering	978-0-89603-967-4	978-1-59259-428-3							http://link.springer.com/10.1385/159259428X		10.1385/159259428X		fulltext		Humana Press	Monograph	2004		238		Hollander	7651	
Bioremediation Protocols	978-0-89603-437-2	978-1-59259-482-5							http://link.springer.com/10.1385/0896034372		10.1385/0896034372		fulltext		Humana Press	Monograph	1997		2		Sheehan	7650	
Biostatistical Methods	978-0-89603-951-3	978-1-59259-242-5							http://link.springer.com/10.1385/1592592422		10.1385/1592592422		fulltext		Humana Press	Monograph	2002		184		Looney	7651	
Bone Research Protocols	978-1-58829-044-1	978-1-59259-366-8							http://link.springer.com/10.1385/1592593666		10.1385/1592593666		fulltext		Humana Press	Monograph	2003		80		Helfrich	7652	
Calcium Signaling Protocols	978-0-89603-597-3	978-1-59259-250-0							http://link.springer.com/10.1385/1592592503		10.1385/1592592503		fulltext		Humana Press	Monograph	1999		114		Lambert	7651	
Calcium-Binding Protein Protocols	978-0-89603-688-8	978-1-59259-183-1							http://link.springer.com/10.1385/1592591833		10.1385/1592591833		fulltext		Humana Press	Monograph	2002		172		Vogel	7651	
Calcium-Binding Protein Protocols: Volume 2: Methods and Techniques	978-0-89603-689-5	978-1-59259-184-8							http://link.springer.com/10.1385/1592591841		10.1385/1592591841		fulltext		Springer New York	Monograph	2002		173		Vogel	7651	
Calpain Methods and Protocols	978-0-89603-632-1	978-1-59259-050-6							http://link.springer.com/10.1385/1592590500		10.1385/1592590500		fulltext		Humana Press	Monograph	2000		144		Elce	7651	
Cancer Cell Culture	978-1-58829-079-3	978-1-59259-406-1							http://link.springer.com/10.1385/1592594069		10.1385/1592594069		fulltext		Humana Press	Monograph	2004		88		Langdon	7652	
Cancer Cell Signaling	978-1-58829-075-5	978-1-59259-356-9							http://link.springer.com/10.1385/1592593569		10.1385/1592593569		fulltext		Humana Press	Monograph	2003		218		Terrian	7651	
Cancer Cytogenetics	978-1-58829-080-9	978-1-59259-363-7							http://link.springer.com/10.1385/1592593631		10.1385/1592593631		fulltext		Humana Press	Monograph	2003		220		Swansbury	7651	
Capillary Electrophoresis Guidebook	978-0-89603-315-3	978-1-59259-539-6							http://link.springer.com/10.1385/0896033155		10.1385/0896033155		fulltext		Humana Press	Monograph	1996		52		Altria	7651	
Capillary Electrophoresis of Carbohydrates	978-0-89603-826-4	978-1-59259-294-4							http://link.springer.com/10.1385/1592592945		10.1385/1592592945		fulltext		Humana Press	Monograph	2003		213		Thibault	7651	
Capillary Electrophoresis of Nucleic Acids	978-0-89603-765-6	978-1-59259-116-9							http://link.springer.com/10.1385/1592591167		10.1385/1592591167		fulltext		Humana Press	Monograph	2001		163		Mitchelson	7651	
Capillary Electrophoresis of Nucleic Acids	978-0-89603-779-3	978-1-59259-055-1							http://link.springer.com/10.1385/1592590551		10.1385/1592590551		fulltext		Humana Press	Monograph	2001		162		Mitchelson	7651	
Capillary Electrophoresis of Proteins and Peptides	978-1-58829-017-5	978-1-59259-798-7							http://link.springer.com/10.1385/159259798X		10.1385/159259798X		fulltext		Humana Press	Monograph	2004		276		Strege	7651	
Carbohydrate Biotechnology Protocols	978-0-89603-563-8	978-1-59259-261-6							http://link.springer.com/10.1007/978-1-59259-261-6		10.1007/978-1-59259-261-6		fulltext		Humana Press	Monograph	1999		10		Bucke	7650	
Carbohydrates and Energy Metabolism	978-0-89603-143-2	978-1-59259-616-4							http://link.springer.com/10.1385/0896031438		10.1385/0896031438		fulltext		Humana Press	Monograph	1989		11		Boulton	7657	
Cardiac Cell and Gene Transfer	978-0-89603-994-0	978-1-59259-350-7							http://link.springer.com/10.1385/159259350X		10.1385/159259350X		fulltext		Springer New York	Monograph	2003		219		Metzger	7651	
Cardiac Drug Development Guide	978-1-58829-097-7	978-1-59259-404-7							http://link.springer.com/10.1385/1592594042		10.1385/1592594042		fulltext		Humana Press	Monograph	2003				Pugsley	7653	
Cartilage and Osteoarthritis	978-1-58829-247-6	978-1-59259-810-6							http://link.springer.com/10.1385/1592598102		10.1385/1592598102		fulltext		Humana Press	Monograph	2004		100		Sabatini	7652	
Cartilage and Osteoarthritis	978-1-58829-505-7	978-1-59259-821-2							http://link.springer.com/10.1385/1592598218		10.1385/1592598218		fulltext		Humana Press	Monograph	2004		101		Ceuninck	7652	
Celiac Disease	978-0-89603-650-5	978-1-59259-082-7							http://link.springer.com/10.1385/1592590829		10.1385/1592590829		fulltext		Humana Press	Monograph	2000		41		Marsh	7652	
Cell Cycle Checkpoint Control Protocols	978-1-58829-115-8	978-1-59259-646-1							http://link.springer.com/10.1385/1592596460		10.1385/1592596460		fulltext		Humana Press	Monograph	2004		241		Lieberman	7651	
Cell Cycle Control and Dysregulation Protocols	978-0-89603-949-0	978-1-59259-822-9							http://link.springer.com/10.1385/1592598226		10.1385/1592598226		fulltext		Humana Press	Monograph	2004		285		Giordano	7651	
Cell Migration in Inflammation and Immunity	978-1-58829-102-8	978-1-59259-435-1							http://link.springer.com/10.1385/1592594352		10.1385/1592594352		fulltext		Humana Press	Monograph	2003		239		D’Ambrosio	7651	
Cell Neurobiology Techniques	978-0-89603-510-2	978-1-59259-638-6							http://link.springer.com/10.1385/0896035107	Boulton	10.1385/0896035107		fulltext		Humana Press	Monograph	1999		33			7657	
Chaperonin Protocols	978-0-89603-739-7	978-1-59259-061-2							http://link.springer.com/10.1385/1592590616		10.1385/1592590616		fulltext		Springer New York	Monograph	2000		140		Schneider	7651	
Characterization of Proteins	978-0-89603-109-8	978-1-59259-437-5							http://link.springer.com/10.1007/978-1-59259-437-5		10.1007/978-1-59259-437-5		fulltext		Humana Press	Monograph	1988				Franks		
Checkpoint Controls and Cancer	978-1-58829-214-8	978-1-59259-788-8							http://link.springer.com/10.1385/1592597882		10.1385/1592597882		fulltext		Humana Press	Monograph	2004		280		Schönthal	7651	
Checkpoint Controls and Cancer	978-1-58829-500-2	978-1-59259-811-3							http://link.springer.com/10.1385/1592598110		10.1385/1592598110		fulltext		Humana Press	Monograph	2004		281		Schönthal	7651	
Chemoinformatics	978-1-58829-261-2	978-1-59259-802-1							http://link.springer.com/10.1385/1592598021		10.1385/1592598021		fulltext		Humana Press	Monograph	2004		275		Bajorath	7651	
Chemokine Protocols	978-0-89603-722-9	978-1-59259-058-2							http://link.springer.com/10.1385/1592590586		10.1385/1592590586		fulltext		Humana Press	Monograph	2000		138		Proudfoot	7651	
Chiral Separations	978-1-58829-150-9	978-1-59259-648-5							http://link.springer.com/10.1385/1592596487		10.1385/1592596487		fulltext		Humana Press	Monograph	2004		243		Gübitz	7651	
Chromatin Protocols	978-0-89603-665-9	978-1-59259-681-2							http://link.springer.com/10.1385/1592596819		10.1385/1592596819		fulltext		Humana Press	Monograph	1999		119		Becker	7651	
Chromosome Analysis Protocols	978-0-89603-289-7	978-1-59259-516-7							http://link.springer.com/10.1385/0896032892		10.1385/0896032892		fulltext		Humana Press	Monograph	1994		29		Gosden	7651	
Clinical Applications of Capillary Electrophoresis	978-0-89603-639-0	978-1-59259-689-8							http://link.springer.com/10.1385/1592596894		10.1385/1592596894		fulltext		Humana Press	Monograph	1999		27		Palfrey	7652	
Clinical Applications of PCR	978-0-89603-499-0	978-1-59259-600-3							http://link.springer.com/10.1385/0896034992		10.1385/0896034992		fulltext		Humana Press	Monograph	1998		16		Lo	7652	
Colorectal Cancer	978-0-89603-767-0	978-1-59259-084-1							http://link.springer.com/10.1385/1592590845		10.1385/1592590845		fulltext		Humana Press	Monograph	2001		50		M.	7652	
Combinatorial Library	978-0-89603-980-3	978-1-59259-285-2							http://link.springer.com/10.1385/1592592856		10.1385/1592592856		fulltext		Springer New York	Monograph	2002		201		English	7651	
Combinatorial Peptide Library Protocols	978-0-89603-392-4	978-1-59259-571-6							http://link.springer.com/10.1385/0896033929		10.1385/0896033929		fulltext		Humana Press	Monograph	1998		87		Cabilly	7651	
Complement Methods and Protocols	978-0-89603-654-3	978-1-59259-056-8							http://link.springer.com/10.1385/159259056X		10.1385/159259056X		fulltext		Humana Press	Monograph	2000		150		Morgan	7651	
Computer Analysis of Sequence Data	978-0-89603-246-0	978-1-59259-511-2							http://link.springer.com/10.1385/0896032469		10.1385/0896032469		fulltext		Humana Press	Monograph	1994		24		Griffin	7651	
Computer Analysis of Sequence Data	978-0-89603-276-7	978-1-59259-512-9							http://link.springer.com/10.1385/0896032760	Griffin	10.1385/0896032760		fulltext		Springer New York	Monograph	1994		25			7651	
Confocal Microscopy Methods and Protocols	978-0-89603-526-3	978-1-59259-722-2							http://link.springer.com/10.1385/159259722X		10.1385/159259722X		fulltext		Humana Press	Monograph	1999		122		Paddock	7651	
Connexin Methods and Protocols	978-0-89603-658-1	978-1-59259-043-8							http://link.springer.com/10.1385/1592590438		10.1385/1592590438		fulltext		Humana Press	Monograph	2001		154		Bruzzone	7651	
Cryopreservation and Freeze-Drying Protocols	978-0-89603-296-5	978-1-59259-525-9							http://link.springer.com/10.1385/0896032965		10.1385/0896032965		fulltext		Humana Press	Monograph	1995		38		Day	7651	
Crystallographic Methods and Protocols	978-0-89603-259-0	978-1-59259-543-3							http://link.springer.com/10.1385/0896032590		10.1385/0896032590		fulltext		Humana Press	Monograph	1996		56		Jones	7651	
Cystic Fibrosis Methods and Protocols	978-0-89603-897-4	978-1-59259-187-9							http://link.springer.com/10.1385/1592591876		10.1385/1592591876		fulltext		Humana Press	Monograph	2002		70		Skach	7652	
Cytochrome P450 Protocols	978-0-89603-519-5	978-1-59259-580-8							http://link.springer.com/10.1385/0896035190		10.1385/0896035190		fulltext		Humana Press	Monograph	1998		107		Phillips	7651	
Cytokine Protocols	978-0-89603-948-3	978-1-59259-667-6							http://link.springer.com/10.1385/1592596673		10.1385/1592596673		fulltext		Humana Press	Monograph	2004		249		Ley	7651	
Cytokines and Colony Stimulating Factors	978-1-58829-035-9	978-1-59259-345-3							http://link.springer.com/10.1385/1592593453		10.1385/1592593453		fulltext		Humana Press	Monograph	2003		215		Körholz	7651	
Cytomegalovirus Protocols	978-0-89603-749-6	978-1-59259-244-9							http://link.springer.com/10.1385/1592592449		10.1385/1592592449		fulltext		Humana Press	Monograph	2000		33		Sinclair	7652	
Cytoskeleton Methods and Protocols	978-0-89603-771-7	978-1-59259-051-3							http://link.springer.com/10.1385/1592590519		10.1385/1592590519		fulltext		Humana Press	Monograph	2001		161		Gavin	7651	
Cytotoxic Drug Resistance Mechanisms	978-0-89603-603-1	978-1-59259-687-4							http://link.springer.com/10.1385/1592596878		10.1385/1592596878		fulltext		Humana Press	Monograph	1999		28		Brown	7652	
DNA Arrays	978-0-89603-822-6	978-1-59259-234-0							http://link.springer.com/10.1385/1592592341		10.1385/1592592341		fulltext		Humana Press	Monograph	2001		170		Rampal	7651	
DNA Methylation Protocols	978-0-89603-618-5	978-1-59259-182-4							http://link.springer.com/10.1385/1592591825		10.1385/1592591825		fulltext		Springer New York	Monograph	2002		200		Mills	7651	
DNA Repair Protocols	978-0-89603-643-7	978-1-59259-068-1							http://link.springer.com/10.1385/1592590683		10.1385/1592590683		fulltext		Humana Press	Monograph	2000		152		Vaughan	7651	
DNA Repair Protocols	978-0-89603-802-8	978-1-59259-675-1							http://link.springer.com/10.1385/1592596754		10.1385/1592596754		fulltext		Humana Press	Monograph	1999		113		Henderson	7651	
DNA Sequencing Protocols	978-0-89603-248-4	978-1-59259-510-5							http://link.springer.com/10.1385/0896032485		10.1385/0896032485		fulltext		Humana Press	Monograph	1993		23		Griffin	7651	
DNA Sequencing Protocols	978-0-89603-716-8	978-1-59259-113-8							http://link.springer.com/10.1385/1592591132		10.1385/1592591132		fulltext		Humana Press	Monograph	2001		167	Second Edition	Graham	7651	
DNA Topoisomerase Protocols	978-0-89603-444-0	978-1-59259-259-3							http://link.springer.com/10.1385/1592592597		10.1385/1592592597		fulltext		Humana Press	Monograph	1999		94		Bjornsti	7651	
DNA Topoisomerase Protocols	978-0-89603-512-6	978-1-59259-057-5							http://link.springer.com/10.1385/1592590578		10.1385/1592590578		fulltext		Humana Press	Monograph	2001		95		Osheroff	7651	
DNA Vaccines	978-0-89603-580-5	978-1-59259-688-1							http://link.springer.com/10.1385/1592596886		10.1385/1592596886		fulltext		Humana Press	Monograph	2000		29		Lowrie	7652	
DNA-Protein Interactions	978-0-89603-256-9	978-1-59259-517-4							http://link.springer.com/10.1385/0896032566		10.1385/0896032566		fulltext		Humana Press	Monograph	1994		30		Geoff Kneale	7651	
DNA-Protein Interactions	978-0-89603-625-3	978-1-59259-208-1							http://link.springer.com/10.1385/1592592082		10.1385/1592592082		fulltext		Humana Press	Monograph	2001		148	Second Edition	Moss	7651	
Dendritic Cell Protocols	978-0-89603-584-3	978-1-59259-150-3							http://link.springer.com/10.1385/1592591507		10.1385/1592591507		fulltext		Humana Press	Monograph	2001		64		Robinson	7652	
Developmental Biology Protocols	978-0-89603-852-3	978-1-59259-685-0							http://link.springer.com/10.1385/1592596851		10.1385/1592596851		fulltext		Humana Press	Monograph	2000		135		Walker	7651	
Developmental Biology Protocols	978-0-89603-854-7	978-1-59259-066-7							http://link.springer.com/10.1385/1592590667		10.1385/1592590667		fulltext		Humana Press	Monograph	2000		137		Tuan	7651	
Developmental Biology Protocols: Volume II	978-0-89603-853-0	978-1-59259-065-0							http://link.springer.com/10.1385/1592590659		10.1385/1592590659		fulltext		Humana Press	Monograph	2000		136		Tuan	7651	
Diabetes Mellitus	978-1-58829-148-6	978-1-59259-377-4							http://link.springer.com/10.1385/1592593771		10.1385/1592593771		fulltext		Humana Press	Monograph	2003		83		Özcan	7652	
Diagnostic Bacteriology Protocols	978-0-89603-297-2	978-1-59259-533-4							http://link.springer.com/10.1385/0896032973		10.1385/0896032973		fulltext		Humana Press	Monograph	1995		46		Howard	7651	
Diagnostic Virology Protocols	978-0-89603-479-2	978-1-59259-596-9							http://link.springer.com/10.1385/0896034798		10.1385/0896034798		fulltext		Springer New York	Monograph	1998		12		Stephenson	7652	
Diagnostic and Therapeutic Antibodies	978-0-89603-798-4	978-1-59259-076-6							http://link.springer.com/10.1385/1592590764		10.1385/1592590764		fulltext		Humana Press	Monograph	2000		40		George	7652	
Differential Display Methods and Protocols	978-0-89603-489-1	978-1-59259-569-3							http://link.springer.com/10.1385/0896034895		10.1385/0896034895		fulltext		Humana Press	Monograph	1997		85		Liang	7651	
Directed Enzyme Evolution	978-1-58829-286-5	978-1-59259-396-5							http://link.springer.com/10.1385/1592593968		10.1385/1592593968		fulltext		Humana Press	Monograph	2003		230		Arnold	7651	
Directed Evolution Library Creation	978-1-58829-285-8	978-1-59259-395-8							http://link.springer.com/10.1385/159259395X		10.1385/159259395X		fulltext		Humana Press	Monograph	2003		231		Arnold	7651	
Downstream Processing of Proteins	978-0-89603-564-5	978-1-59259-027-8							http://link.springer.com/10.1007/978-1-59259-027-8		10.1007/978-1-59259-027-8		fulltext		Humana Press	Monograph	2000		9		Desai	7650	
Drosophila Cytogenetics Protocols	978-1-58829-050-2	978-1-59259-665-2							http://link.springer.com/10.1385/1592596657		10.1385/1592596657		fulltext		Humana Press	Monograph	2004		247		Henderson	7651	
Drug Targeting	978-0-89603-531-7	978-1-59259-075-9							http://link.springer.com/10.1385/1592590756		10.1385/1592590756		fulltext		Humana Press	Monograph	2000		25		Francis	7652	
Drug-DNA Interaction Protocols	978-0-89603-447-1	978-1-59259-574-7							http://link.springer.com/10.1385/089603447X		10.1385/089603447X		fulltext		Humana Press	Monograph	1997		90		Fox	7651	
Drugs as Tools in Neurotransmitter Research	978-0-89603-122-7	978-1-59259-617-1							http://link.springer.com/10.1385/0896031225		10.1385/0896031225		fulltext		Humana Press	Monograph	1989		12		Boulton	7657	
Drugs of Abuse	978-1-58829-057-1	978-1-59259-358-3							http://link.springer.com/10.1385/1592593585		10.1385/1592593585		fulltext		Humana Press	Monograph	2003		79		Wang	7652	
E. coli	978-0-89603-939-1	978-1-59259-316-3							http://link.springer.com/10.1385/159259316X		10.1385/159259316X		fulltext		Humana Press	Monograph	2003		73		Philpott	7652	
E. coli Plasmid Vectors	978-1-58829-151-6	978-1-59259-409-2							http://link.springer.com/10.1385/1592594093		10.1385/1592594093		fulltext		Humana Press	Monograph	2003		235		Casali	7651	
