publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Ecosystems	1432-9840	1435-0629	1998-01	1	1	2015-12	18	8	http://link.springer.com/journal/10021		10021		fulltext		Springer US	Serial							
Educational Research for Policy and Practice	1570-2081	1573-1723	2002-08	1	1	2015-12	14	3	http://link.springer.com/journal/10671		10671		fulltext		Springer Netherlands	Serial							
Electrocatalysis	1868-2529	1868-5994	2010-05	1	1	2015-12	6	6	http://link.springer.com/journal/12678		12678		fulltext		Springer US	Serial							
Electronic Commerce Research	1389-5753	1572-9362	2001-02	1	1	2015-12	15	4	http://link.springer.com/journal/10660		10660		fulltext		Springer US	Serial							
Electronic Markets	1019-6781	1422-8890	2009-03	19	1	2015-12	25	4	http://link.springer.com/journal/12525		12525		fulltext		Springer Berlin Heidelberg	Serial							
Electronic Materials Letters	1738-8090	2093-6788	2009-03	5	1	2015-11	11	6	http://link.springer.com/journal/13391		13391		fulltext		The Korean Institute of Metals and Materials	Serial							
Elemente der Mathematik	0013-6018	1420-8962	1997-02	52	1	2004-11	59	4	http://link.springer.com/journal/17		17		fulltext		Birkhäuser-Verlag	Serial							
Emerging Themes in Epidemiology		1742-7622	2004-10	1	1	2015-12	12	1	http://link.springer.com/journal/12982		12982		fulltext		BioMed Central	Serial							
Emission Control Science and Technology	2199-3629	2199-3637	2014-11	1	1	2015-12	1	4	http://link.springer.com/journal/40825		40825		fulltext		Springer International Publishing	Serial							
Empirical Research in Vocational Education and Training		1877-6345	2013-07	5	1	2015-12	7	1	http://link.springer.com/journal/40461		40461		fulltext		Springer International Publishing	Serial							
Energy Efficiency	1570-646X	1570-6478	2008-02	1	1	2015-12	8	6	http://link.springer.com/journal/12053		12053		fulltext		Springer Netherlands	Serial							
Energy Systems	1868-3967	1868-3975	2010-02	1	1	2015-12	6	4	http://link.springer.com/journal/12667		12667		fulltext		Springer Berlin Heidelberg	Serial							
Energy, Sustainability and Society		2192-0567	2011-11	1	1	2015-12	5	1	http://link.springer.com/journal/13705		13705		fulltext		Springer Berlin Heidelberg	Serial							
Entomological Review	0013-8738	1555-6689	2006-01	86	1	2015-10	95	7	http://link.springer.com/journal/11474		11474		fulltext		Pleiades Publishing	Serial							
