publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	onlineidentifier
Solid Fuel Chemistry	0361-5219								http://link.springer.com/journal/11985		11985														1934-8029
Steel in Translation	0967-0912								http://link.springer.com/journal/11986		11986														1935-0988
Surface Engineering and Applied Electrochemistry	1068-3755								http://link.springer.com/journal/11987		11987														1934-8002
Vestnik St. Petersburg University: Mathematics	1063-4541								http://link.springer.com/journal/11988		11988														1934-7855
Bulletin of the Crimean Astrophysical Observatory	0190-2717								http://link.springer.com/journal/11989		11989														1934-7863
Seismic Instruments	0747-9239								http://link.springer.com/journal/11990		11990														1934-7871
Journal of Coatings Technology and Research	1547-0091								http://link.springer.com/journal/11998		11998														1935-3804
Clinical Orthopaedics and Related Research®	0009-921X								http://link.springer.com/journal/11999		11999														1528-1132
Algebra universalis	0002-5240								http://link.springer.com/journal/12		12														1420-8911
Der Urologe	0340-2592								http://link.springer.com/journal/120		120														1433-0563
Journal of Machinery Manufacture and Reliability	1052-6188								http://link.springer.com/journal/12001		12001														1934-9394
Siberian Advances in Mathematics	1055-1344								http://link.springer.com/journal/12002		12002														1934-8126
International Journal of Self-Propagating High-Temperature Synthesis	1061-3862								http://link.springer.com/journal/12003		12003														1934-788X
Mathematical Methods of Statistics	1066-5307								http://link.springer.com/journal/12004		12004														1934-8045
Optical Memory and Neural Networks	1060-992X								http://link.springer.com/journal/12005		12005														1934-7898
International Journal on Interactive Design and Manufacturing (IJIDeM)	1955-2513								http://link.springer.com/journal/12008		12008														1955-2505
Annals of Ophthalmology	1530-4086								http://link.springer.com/journal/12009		12009														1558-9951
Applied Biochemistry and Biotechnology	0273-2289								http://link.springer.com/journal/12010		12010														1559-0291
Biological Trace Element Research	0163-4984								http://link.springer.com/journal/12011		12011														1559-0720
Cardiovascular Toxicology	1530-7905								http://link.springer.com/journal/12012		12012														1559-0259
Cell Biochemistry and Biophysics	1085-9195								http://link.springer.com/journal/12013		12013														1559-0283
Stem Cell Reviews and Reports	1550-8943								http://link.springer.com/journal/12015		12015														1558-6804
Clinical Reviews in Allergy & Immunology	1080-0549								http://link.springer.com/journal/12016		12016														1559-0267
NeuroMolecular Medicine	1535-1084								http://link.springer.com/journal/12017		12017														1559-1174
Clinical Reviews in Bone and Mineral Metabolism	1534-8644								http://link.springer.com/journal/12018		12018														1559-0119
Comprehensive Therapy	0098-8243								http://link.springer.com/journal/12019		12019														1559-1190
Endocrine	1355-008X								http://link.springer.com/journal/12020		12020														1559-0100
Neuroinformatics	1539-2791								http://link.springer.com/journal/12021		12021														1559-0089
Endocrine Pathology	1046-3976								http://link.springer.com/journal/12022		12022														1559-0097
Forensic Science, Medicine, and Pathology	1547-769X								http://link.springer.com/journal/12024		12024														1556-2891
Immunologic Research	0257-277X								http://link.springer.com/journal/12026		12026														1559-0755
ERA Forum	1612-3093								http://link.springer.com/journal/12027		12027														1863-9038
Neurocritical Care	1541-6933								http://link.springer.com/journal/12028		12028														1556-0961
Journal of Gastrointestinal Cancer	1941-6628								http://link.springer.com/journal/12029		12029														1941-6636
NanoBiotechnology	1551-1286								http://link.springer.com/journal/12030		12030														1551-1294
Journal of Molecular Neuroscience	0895-8696								http://link.springer.com/journal/12031		12031														1559-1166
Medical Oncology	1357-0560								http://link.springer.com/journal/12032		12032														1559-131X
Molecular Biotechnology	1073-6085								http://link.springer.com/journal/12033		12033														1559-0305
Bulletin of Materials Science	0250-4707								http://link.springer.com/journal/12034		12034														0973-7669
Molecular Neurobiology	0893-7648								http://link.springer.com/journal/12035		12035														1559-1182
Journal of Astrophysics and Astronomy	0250-6335								http://link.springer.com/journal/12036		12036														0973-7758
Journal of Biosciences	0250-5991								http://link.springer.com/journal/12038		12038														0973-7138
Journal of Chemical Sciences	0974-3626								http://link.springer.com/journal/12039		12039														0973-7103
Journal of Earth System Science	0253-4126								http://link.springer.com/journal/12040		12040														0973-774X
Journal of Genetics	0022-1333								http://link.springer.com/journal/12041		12041														0973-7731
Tropical Plant Biology	1935-9756								http://link.springer.com/journal/12042		12042														1935-9764
Pramana	0304-4289								http://link.springer.com/journal/12043		12043														0973-7111
Proceedings - Mathematical Sciences	0253-4142								http://link.springer.com/journal/12044		12044														0973-7685
Resonance	0971-8044								http://link.springer.com/journal/12045		12045														0973-712X
Sadhana	0256-2499								http://link.springer.com/journal/12046		12046														0973-7677
Evolution: Education and Outreach	1936-6426								http://link.springer.com/journal/12052		12052														1936-6434
Energy Efficiency	1570-646X								http://link.springer.com/journal/12053		12053														1570-6478
Sozial Extra	0931-279X								http://link.springer.com/journal/12054		12054														1863-8953
Indian Journal of Thoracic and Cardiovascular Surgery	0970-9134								http://link.springer.com/journal/12055		12055														0973-7723
Applied Spatial Analysis and Policy	1874-463X								http://link.springer.com/journal/12061		12061														1874-4621
Journal of Population Ageing	1874-7884								http://link.springer.com/journal/12062		12062														1874-7876
Operations Management Research	1936-9735								http://link.springer.com/journal/12063		12063														1936-9743
Theory in Biosciences	1431-7613								http://link.springer.com/journal/12064		12064														1611-7530
Evolutionary Intelligence	1864-5909								http://link.springer.com/journal/12065		12065														1864-5917
Indian Journal of Otolaryngology and Head & Neck Surgery	2231-3796								http://link.springer.com/journal/12070		12070														0973-7707
Hepatology International	1936-0533								http://link.springer.com/journal/12072		12072														1936-0541
Letters in Spatial and Resource Sciences	1864-4031								http://link.springer.com/journal/12076		12076														1864-404X
Chemosensory Perception	1936-5802								http://link.springer.com/journal/12078		12078														1936-5810
Journal of Cell Communication and Signaling	1873-9601								http://link.springer.com/journal/12079		12079														1873-961X
Theoretical Ecology	1874-1738								http://link.springer.com/journal/12080		12080														1874-1746
Ernährung - Wissenschaft und Praxis	1864-3825								http://link.springer.com/journal/12082		12082														1864-3914
Peer-to-Peer Networking and Applications	1936-6442								http://link.springer.com/journal/12083		12083														1936-6450
Journal of Business Market Management	1864-0753								http://link.springer.com/journal/12087		12087														1864-0761
Indian Journal of Microbiology	0046-8991								http://link.springer.com/journal/12088		12088														0973-7715
Clinical and Translational Oncology	1699-048X								http://link.springer.com/journal/12094		12094														1699-3055
Cryptography and Communications	1936-2447								http://link.springer.com/journal/12095		12095														1936-2455
The Indian Journal of Pediatrics	0019-5456								http://link.springer.com/journal/12098		12098														0973-7693
American Journal of Criminal Justice	1066-2316								http://link.springer.com/journal/12103		12103														1936-1351
Biomolecular NMR Assignments	1874-2718								http://link.springer.com/journal/12104		12104														1874-270X
Head and Neck Pathology	1936-055X								http://link.springer.com/journal/12105		12105														1936-0568
The American Sociologist	0003-1232								http://link.springer.com/journal/12108		12108														1936-4784
Publishing Research Quarterly	1053-8801								http://link.springer.com/journal/12109		12109														1936-4792
Human Nature	1045-6767								http://link.springer.com/journal/12110		12110														1936-4776
Journal of African American Studies	1559-1646								http://link.springer.com/journal/12111		12111														1936-4741
The Quarterly Journal of Austrian Economics	1098-3708								http://link.springer.com/journal/12113		12113														1936-4806
The Review of Black Political Economy	0034-6446								http://link.springer.com/journal/12114		12114														1936-4814
Society	0147-2011								http://link.springer.com/journal/12115		12115														1936-4725
Trends in Organized Crime	1084-4791								http://link.springer.com/journal/12117		12117														1936-4830
Sexuality & Culture	1095-5143								http://link.springer.com/journal/12119		12119														1936-4822
Journal of Labor Research	0195-3613								http://link.springer.com/journal/12122		12122														1936-4768
Integrative Psychological and Behavioral Science	1932-4502								http://link.springer.com/journal/12124		12124														1936-3567
Ageing International	0163-5158								http://link.springer.com/journal/12126		12126														1936-606X
International Journal for Ion Mobility Spectrometry	1435-6163								http://link.springer.com/journal/12127		12127														1865-4584
Academic Questions	0895-4852								http://link.springer.com/journal/12129		12129														1936-4709
Knowledge, Technology & Policy	0897-1986								http://link.springer.com/journal/12130		12130														1874-6314
Urban Forum	1015-3802								http://link.springer.com/journal/12132		12132														1874-6330
Metaphysica	1437-2053								http://link.springer.com/journal/12133		12133														1874-6373
Journal of International Migration and Integration	1488-3473								http://link.springer.com/journal/12134		12134														1874-6365
Acta Analytica	0353-5150								http://link.springer.com/journal/12136		12136														1874-6349
International Journal of the Classical Tradition	1073-0508								http://link.springer.com/journal/12138		12138														1874-6292
East Asia	1096-6838								http://link.springer.com/journal/12140		12140														1874-6284
Forum for Social Economics	0736-0932								http://link.springer.com/journal/12143		12143														1874-6381
Current Psychology	1046-1310								http://link.springer.com/journal/12144		12144														1936-4733
Earth Science Informatics	1865-0473								http://link.springer.com/journal/12145		12145														1865-0481
International Commerce Review	1864-5739								http://link.springer.com/journal/12146		12146														1864-5747
Gender Issues	1098-092X								http://link.springer.com/journal/12147		12147														1936-4717
Annals of Nuclear Medicine	0914-7187								http://link.springer.com/journal/12149		12149														1864-6433
focus neurogeriatrie	1864-1954								http://link.springer.com/journal/12151		12151														1864-1962
Neuroethics	1874-5490								http://link.springer.com/journal/12152		12152														1874-5504
Journal of Chemical Biology	1864-6158								http://link.springer.com/journal/12154		12154														1864-6166
BioEnergy Research	1939-1234								http://link.springer.com/journal/12155		12155														1939-1242
Oncology Reviews	1970-5557								http://link.springer.com/journal/12156		12156														1970-5565
Journal Africain d'Hépato-Gastroentérologie	1954-3204								http://link.springer.com/journal/12157		12157														1954-3212
Logistics Research	1865-035X								http://link.springer.com/journal/12159		12159														1865-0368
Annals of Behavioral Medicine	0883-6612								http://link.springer.com/journal/12160		12160														1532-4796
Food Analytical Methods	1936-9751								http://link.springer.com/journal/12161		12161														1936-976X
Journal of Coatings Technology	0361-8773								http://link.springer.com/journal/12166		12166														1935-3804
Surface Coatings International Part B: Coatings Transactions	1476-4865								http://link.springer.com/journal/12167		12167														
Current Cardiovascular Risk Reports	1932-9520								http://link.springer.com/journal/12170		12170														1932-9563
Current GERD Reports	1934-967X								http://link.springer.com/journal/12171		12171														1934-9661
Mathematica Slovaca	0139-9918								http://link.springer.com/journal/12175		12175														1337-2211
Controlling & Management Review	2195-8262								http://link.springer.com/journal/12176		12176														2195-8270
Journal of Ocular Biology, Diseases, and Informatics									http://link.springer.com/journal/12177		12177														1936-8445
Current Reviews in Musculoskeletal Medicine	1935-973X								http://link.springer.com/journal/12178		12178														1935-9748
Aegean Review of the Law of the Sea and Maritime Law	1864-9610								http://link.springer.com/journal/12180		12180														1864-9629
Der Kardiologe	1864-9718								http://link.springer.com/journal/12181		12181														1864-9726
Petroleum Science	1672-5107								http://link.springer.com/journal/12182		12182														1995-8226
International Journal of Hematology	0925-5710								http://link.springer.com/journal/12185		12185														1865-3774
Vocations and Learning	1874-785X								http://link.springer.com/journal/12186		12186														1874-7868
Child Indicators Research	1874-897X								http://link.springer.com/journal/12187		12187														1874-8988
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858								http://link.springer.com/journal/12188		12188														1865-8784
Journal of Applied Mathematics and Computing	1598-5865								http://link.springer.com/journal/12190		12190														1865-2085
Cell Stress and Chaperones	1355-8145								http://link.springer.com/journal/12192		12192														1466-1268
Journal on Multimodal User Interfaces	1783-7677								http://link.springer.com/journal/12193		12193														1783-8738
Radiological Physics and Technology	1865-0333								http://link.springer.com/journal/12194		12194														1865-0341
Cellular and Molecular Bioengineering	1865-5025								http://link.springer.com/journal/12195		12195														1865-5033
Journal of Economics and Finance	1055-0925								http://link.springer.com/journal/12197		12197														1938-9744
Journal of Transportation Security	1938-7741								http://link.springer.com/journal/12198		12198														1938-775X
Environmental Health and Preventive Medicine	1342-078X								http://link.springer.com/journal/12199		12199														1347-4715
Frontiers of Optoelectronics	2095-2759								http://link.springer.com/journal/12200		12200														2095-2767
Nanotechnologies in Russia	1995-0780								http://link.springer.com/journal/12201		12201														1995-0799
Lobachevskii Journal of Mathematics	1995-0802								http://link.springer.com/journal/12202		12202														1818-9962
Journal of Shanghai Jiaotong University (Science)	1007-1172								http://link.springer.com/journal/12204		12204														1995-8188
KSCE Journal of Civil Engineering	1226-7988								http://link.springer.com/journal/12205		12205														1976-3808
Journal of Mechanical Science and Technology	1738-494X								http://link.springer.com/journal/12206		12206														1976-3824
Psychological Injury and Law	1938-971X								http://link.springer.com/journal/12207		12207														1938-9728
International Review on Public and Nonprofit Marketing	1865-1984								http://link.springer.com/journal/12208		12208														1865-1992
Transactions of Tianjin University	1006-4982								http://link.springer.com/journal/12209		12209														1995-8196
Inland Water Biology	1995-0829								http://link.springer.com/journal/12212		12212														1995-0837
Journal of Micro-Bio Robotics	2194-6418								http://link.springer.com/journal/12213		12213														2194-6426
Rendiconti del Circolo Matematico di Palermo (1952 -)	0009-725X								http://link.springer.com/journal/12215		12215														1973-4409
Microgravity Science and Technology	0938-0108								http://link.springer.com/journal/12217		12217														1875-0494
The Journal of Geometric Analysis	1050-6926								http://link.springer.com/journal/12220		12220														1559-002X
Fibers and Polymers	1229-9197								http://link.springer.com/journal/12221		12221														1875-0052
Folia Microbiologica	0015-5632								http://link.springer.com/journal/12223		12223														1874-9356
Folia Geobotanica	1211-9520								http://link.springer.com/journal/12224		12224														1874-9348
Kew Bulletin	0075-5974								http://link.springer.com/journal/12225		12225														1874-933X
Brittonia	0007-196X								http://link.springer.com/journal/12228		12228														1938-436X
The Botanical Review	0006-8101								http://link.springer.com/journal/12229		12229														1874-9372
American Journal of Potato Research	1099-209X								http://link.springer.com/journal/12230		12230														1874-9380
Economic Botany	0013-0001								http://link.springer.com/journal/12231		12231														1874-9364
International Review of Economics	1865-1704								http://link.springer.com/journal/12232		12232														1863-4613
Estuaries and Coasts	1559-2723								http://link.springer.com/journal/12237		12237														1559-2731
International Journal of Automotive Technology	1229-9138								http://link.springer.com/journal/12239		12239														1976-3832
ArgoSpine News & Journal	1957-7729								http://link.springer.com/journal/12240		12240														1957-7737
Europäisches Journal für Minderheitenfragen	1865-1089								http://link.springer.com/journal/12241		12241														1865-1097
Acta Physica Hungarica	0231-4428								http://link.springer.com/journal/12242		12242														
annals of telecommunications - annales des télécommunications	0003-4347								http://link.springer.com/journal/12243		12243														1958-9395
International Journal of Emergency Medicine	1865-1372								http://link.springer.com/journal/12245		12245														1865-1380
Journal of Pharmaceutical Innovation	1872-5120								http://link.springer.com/journal/12247		12247														1939-8042
The AAPS Journal									http://link.springer.com/journal/12248		12248														1550-7416
AAPS PharmSciTech									http://link.springer.com/journal/12249		12249														1530-9932
Virologica Sinica	1674-0769								http://link.springer.com/journal/12250		12250														1995-820X
Pathology & Oncology Research	1219-4956								http://link.springer.com/journal/12253		12253														1532-2807
memo - Magazine of European Medical Oncology	1865-5041								http://link.springer.com/journal/12254		12254														1865-5076
Biotechnology and Bioprocess Engineering	1226-8372								http://link.springer.com/journal/12257		12257														1976-3816
Numerical Analysis and Applications	1995-4239								http://link.springer.com/journal/12258		12258														1995-4247
Contemporary Problems of Ecology	1995-4255								http://link.springer.com/journal/12259		12259														1995-4263
Polymer Science Series D	1995-4212								http://link.springer.com/journal/12260		12260														1995-4220
Indian Journal of Surgery	0972-2068								http://link.springer.com/journal/12262		12262														0973-9793
Genes & Nutrition	1555-8932								http://link.springer.com/journal/12263		12263														1865-3499
Neuroscience Bulletin	1673-7067								http://link.springer.com/journal/12264		12264														1995-8218
Journal of Cardiovascular Translational Research	1937-5387								http://link.springer.com/journal/12265		12265														1937-5395
Gravitation and Cosmology	0202-2893								http://link.springer.com/journal/12267		12267														1995-0721
BIOspektrum	0947-0867								http://link.springer.com/journal/12268		12268														1868-6249
Archives of Pharmacal Research	0253-6269								http://link.springer.com/journal/12272		12272														1976-3786
Building Simulation	1996-3599								http://link.springer.com/journal/12273		12273														1996-8744
Nano Research	1998-0124								http://link.springer.com/journal/12274		12274														1998-0000
Journal of Microbiology	1225-8873								http://link.springer.com/journal/12275		12275														1976-3794
Fortschrittsberichte über Kolloide und Polymere	0071-8017								http://link.springer.com/journal/12277		12277														
The Chemist’s Section of the Cotton Oil Press	0095-9774								http://link.springer.com/journal/12279		12279														
East Asian Science, Technology and Society: an International Journal	1875-2160								http://link.springer.com/journal/12280		12280														1875-2152
Current Fungal Infection Reports	1936-3761								http://link.springer.com/journal/12281		12281														1936-377X
Breast Cancer	1340-6868								http://link.springer.com/journal/12282		12282														1880-4233
Sports Engineering	1369-7072								http://link.springer.com/journal/12283		12283														1460-2687
Rice	1939-8425								http://link.springer.com/journal/12284		12284														1939-8433
Der MKG-Chirurg	1865-9659								http://link.springer.com/journal/12285		12285														1865-9667
Zeitschrift für Vergleichende Politikwissenschaft	1865-2646								http://link.springer.com/journal/12286		12286														1865-2654
Indian Journal of Hematology and Blood Transfusion	0971-4502								http://link.springer.com/journal/12288		12288														0974-0449
International Journal of Material Forming	1960-6206								http://link.springer.com/journal/12289		12289														1960-6214
European View	1781-6858								http://link.springer.com/journal/12290		12290														1865-5831
Indian Journal of Clinical Biochemistry	0970-1915								http://link.springer.com/journal/12291		12291														0974-0422
Zeitschrift für die gesamte Versicherungswissenschaft	0044-2585								http://link.springer.com/journal/12297		12297														1865-9748
Physiology and Molecular Biology of Plants	0971-5894								http://link.springer.com/journal/12298		12298														0974-0430
African Journal of Urology	1110-5704								http://link.springer.com/journal/12301		12301														1961-9987
Environmental Sciences Europe	2190-4707								http://link.springer.com/journal/12302		12302														2190-4715
Geosciences Journal	1226-4806								http://link.springer.com/journal/12303		12303														1598-7477
Biosemiotics	1875-1342								http://link.springer.com/journal/12304		12304														1875-1350
MUSCULOSKELETAL SURGERY	2035-5106								http://link.springer.com/journal/12306		12306														2035-5114
Cancer Microenvironment	1875-2292								http://link.springer.com/journal/12307		12307														1875-2284
Journal of Hematopathology	1868-9256								http://link.springer.com/journal/12308		12308														1865-5785
School Mental Health	1866-2625								http://link.springer.com/journal/12310		12310														1866-2633
The Cerebellum	1473-4222								http://link.springer.com/journal/12311		12311														1473-4230
Forum	0947-0255								http://link.springer.com/journal/12312		12312														2190-9784
Advances in Therapy	0741-238X								http://link.springer.com/journal/12325		12325														1865-8652
hautnah	1866-2250								http://link.springer.com/journal/12326		12326														2192-6484
Clinical Journal of Gastroenterology	1865-7257								http://link.springer.com/journal/12328		12328														1865-7265
Qualitative Theory of Dynamical Systems	1575-5460								http://link.springer.com/journal/12346		12346														1662-3592
Journal of Ophthalmic Inflammation and Infection									http://link.springer.com/journal/12348		12348														1869-5760
Mediterranean Journal of Nutrition and Metabolism	1973-798X								http://link.springer.com/journal/12349		12349														1973-7998
Journal of Nuclear Cardiology	1071-3581								http://link.springer.com/journal/12350		12350														1532-6551
Operational Research	1109-2858								http://link.springer.com/journal/12351		12351														1866-1505
Zeitschrift für Management	1861-4264								http://link.springer.com/journal/12354		12354														1865-9012
Sugar Tech	0972-1525								http://link.springer.com/journal/12355		12355														0974-0740
Annals of Solid and Structural Mechanics	1867-6936								http://link.springer.com/journal/12356		12356														1867-6944
Bulletin géodésique	0007-4632								http://link.springer.com/journal/12357		12357														1432-1394
Zeitschrift für die gesamte Neurologie und Psychiatrie	0303-4194								http://link.springer.com/journal/12359		12359														
Archiv für mikroskopische Anatomie	0176-7364								http://link.springer.com/journal/12361		12361														
Bulletin volcanologique	0366-483X								http://link.springer.com/journal/12362		12362														1432-0819
Mikrochemie	0026-3672								http://link.springer.com/journal/12363		12363														
The American Journal of Digestive Diseases	0002-9211								http://link.springer.com/journal/12364		12364														1573-2568
European Demographic Information Bulletin	0046-2756								http://link.springer.com/journal/12365		12365														
Bulletin on General Relativity and Gravitation									http://link.springer.com/journal/12366		12366														1662-5390
International Journal of Social Robotics	1875-4791								http://link.springer.com/journal/12369		12369														1875-4805
Geoheritage	1867-2477								http://link.springer.com/journal/12371		12371														1867-2485
Molecular and Chemical Neuropathology	1044-7393								http://link.springer.com/journal/12373		12373														
Journal of Plant Biology	1226-9239								http://link.springer.com/journal/12374		12374														1867-0725
Annalen der Philosophie und philosophischen Kritik	1866-6175								http://link.springer.com/journal/12375		12375														1866-6175
Medicine Studies	1876-4533								http://link.springer.com/journal/12376		12376														1876-4541
Annalen der Philosophie	0165-0106								http://link.springer.com/journal/12377		12377														1866-6167
Zeitschrift für Kristallographie, Mineralogie und Petrographie	0373-4218								http://link.springer.com/journal/12379		12379														1438-1168
Applied Scientific Research, Section B	0365-7140								http://link.springer.com/journal/12380		12380														
Zeitschrift für experimentelle Pathologie und Therapie	0372-8552								http://link.springer.com/journal/12383		12383														
Journal of instructional development	0162-2641								http://link.springer.com/journal/12384		12384														
Journal of Phase Equilibria	1054-9714								http://link.springer.com/journal/12385		12385														1054-9714
Journal of Materials for Energy Systems	0162-9719								http://link.springer.com/journal/12386		12386														
Journal of Applied Metalworking	0162-9700								http://link.springer.com/journal/12387		12387														
Proceedings: Plant Sciences	0370-0097								http://link.springer.com/journal/12388		12388														
Current Psychological Reviews	0144-3895								http://link.springer.com/journal/12391		12391														
Zeitschrift für Politikberatung	1865-4789								http://link.springer.com/journal/12392		12392														1865-4797
Identity in the Information Society									http://link.springer.com/journal/12394		12394														1876-0678
Chesapeake Science	0009-3262								http://link.springer.com/journal/12395		12395														
Contemporary Jewry	0147-1694								http://link.springer.com/journal/12397		12397														1876-5165
Zeitschrift für Energiewirtschaft	0343-5377								http://link.springer.com/journal/12398		12398														1866-2765
Zeitschrift für Außen- und Sicherheitspolitik	1866-2188								http://link.springer.com/journal/12399		12399														1866-2196
ADHD Attention Deficit and Hyperactivity Disorders	1866-6116								http://link.springer.com/journal/12402		12402														1866-6647
Water Quality, Exposure and Health	1876-1658								http://link.springer.com/journal/12403		12403														1876-1666
Journal of Coal Science and Engineering (China)	1006-9097								http://link.springer.com/journal/12404		12404														1866-6566
Current Cardiovascular Imaging Reports	1941-9066								http://link.springer.com/journal/12410		12410														1941-9074
Bijblijven	0168-9428								http://link.springer.com/journal/12414		12414														1876-4916
Bijzijn	1871-7268								http://link.springer.com/journal/12415		12415														1876-4924
Critical Care	1574-4280								http://link.springer.com/journal/12426		12426														1875-7081
Directieve therapie	0167-238X								http://link.springer.com/journal/12433		12433														1875-6824
Tijdschrift voor Gerontologie en Geriatrie	0167-9228								http://link.springer.com/journal/12439		12439														1875-6832
Huisarts en wetenschap	0018-7070								http://link.springer.com/journal/12445		12445														1876-5912
Jeugd en Co	1873-9164								http://link.springer.com/journal/12449		12449														1876-6080
Jeugd en Co Kennis	1873-9172								http://link.springer.com/journal/12450		12450														1876-6099
Jeugdbeleid	1873-9482								http://link.springer.com/journal/12451		12451														1876-6056
JGZ Tijdschrift voor jeugdgezondheidszorg	1567-8644								http://link.springer.com/journal/12452		12452														1876-598X
Kind & Adolescent	0167-2436								http://link.springer.com/journal/12453		12453														1876-5998
Kind & Adolescent Praktijk	1571-4136								http://link.springer.com/journal/12454		12454														1875-7065
Tijdschrift voor Kindergeneeskunde	0376-7442								http://link.springer.com/journal/12456		12456														1875-6840
Maatwerk	1567-6587								http://link.springer.com/journal/12459		12459														1876-6021
Medisch-Farmaceutische Mededelingen	0168-7670								http://link.springer.com/journal/12461		12461														1876-5971
Mednet	1568-7716								http://link.springer.com/journal/12462		12462														1876-5963
Mondhygienisten vademecum	1571-053X								http://link.springer.com/journal/12465		12465														1876-5947
Nederlands Tijdschrift voor Diabetologie	1567-2743								http://link.springer.com/journal/12467		12467														1876-6242
Nederlands Tijdschrift voor Evidence Based Practice	1572-2082								http://link.springer.com/journal/12468		12468														1876-8806
Public Transport	1866-749X								http://link.springer.com/journal/12469		12469														1613-7159
Netherlands Heart Journal	1568-5888								http://link.springer.com/journal/12471		12471														1876-6250
Netherlands Journal of Psychology	1872-552X								http://link.springer.com/journal/12472		12472														1876-8768
Neuropraxis	1387-5817								http://link.springer.com/journal/12474		12474														1876-5785
Onderwijs en gezondheidszorg	0920-8100								http://link.springer.com/journal/12477		12477														1876-5793
PodoPost	0922-4742								http://link.springer.com/journal/12480		12480														1876-5823
PodoSophia	0929-5380								http://link.springer.com/journal/12481		12481														1876-5815
Psychologie & gezondheid	1873-1791								http://link.springer.com/journal/12483		12483														1876-8741
Psychopraxis	1566-6166								http://link.springer.com/journal/12484		12484														1876-584X
Tijdschrift voor Psychotherapie	0165-1188								http://link.springer.com/journal/12485		12485														1876-5637
Standby	0922-310X								http://link.springer.com/journal/12490		12490														1876-5572
Stimulus	0929-0591								http://link.springer.com/journal/12491		12491														1876-5599
Supervisie en coaching	1572-0306								http://link.springer.com/journal/12492		12492														1876-5521
SynthesHis	1570-2693								http://link.springer.com/journal/12494		12494														1876-5548
Tandartspraktijk	0167-1685								http://link.springer.com/journal/12496		12496														1875-6808
TBV – Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde	0929-600X								http://link.springer.com/journal/12498		12498														1876-5858
Tijdschrift voor Ouderengeneeskunde	1386-1514								http://link.springer.com/journal/12500		12500														1875-6875
Verslaving	1574-1842								http://link.springer.com/journal/12501		12501														1875-7073
Tijdschrift voor Gezondheidsrecht	0165-0874								http://link.springer.com/journal/12502		12502														1875-6794
Tijdschrift voor praktijkondersteuning	1872-4078								http://link.springer.com/journal/12503		12503														1876-5416
Nederlands Tijdschrift voor Traumachirurgie	2214-8736								http://link.springer.com/journal/12506		12506														2214-8744
Tijdschrift voor Medisch Onderwijs	1389-6555								http://link.springer.com/journal/12507		12507														1876-5157
Tijdschrift voor gezondheidswetenschappen	1388-7491								http://link.springer.com/journal/12508		12508														1876-8776
Zorg en Financiering	1569-948X								http://link.springer.com/journal/12513		12513														1876-5122
Arabian Journal of Geosciences	1866-7511								http://link.springer.com/journal/12517		12517														1866-7538
Applied Geomatics	1866-9298								http://link.springer.com/journal/12518		12518														1866-928X
World Journal of Pediatrics	1708-8569								http://link.springer.com/journal/12519		12519														1867-0687
Archaeological and Anthropological Sciences	1866-9557								http://link.springer.com/journal/12520		12520														1866-9565
International Journal of Clinical Monitoring and Computing	0167-9945								http://link.springer.com/journal/12521		12521														
Reproductive Medicine and Biology	1445-5781								http://link.springer.com/journal/12522		12522														1447-0578
Zeitschrift für Bevölkerungswissenschaft	0340-2398								http://link.springer.com/journal/12523		12523														
Journal of the Indian Society of Remote Sensing	0255-660X								http://link.springer.com/journal/12524		12524														0974-3006
Electronic Markets	1019-6781								http://link.springer.com/journal/12525		12525														1422-8890
Marine Biodiversity	1867-1616								http://link.springer.com/journal/12526		12526														1867-1624
Journal of Computing in Higher Education	1042-1726								http://link.springer.com/journal/12528		12528														1867-1233
International Journal of Behavioral Medicine	1070-5503								http://link.springer.com/journal/12529		12529														1532-7558
Evolving Systems	1868-6478								http://link.springer.com/journal/12530		12530														1868-6486
Mathematical Programming Computation	1867-2949								http://link.springer.com/journal/12532		12532														1867-2957
Sport- und Präventivmedizin	1867-1977								http://link.springer.com/journal/12534		12534														1867-1985
Trabajos de Estadistica	0213-8190								http://link.springer.com/journal/12535		12535														
Trabajos de Estadistica Y de Investigacion Operativa	0041-0241								http://link.springer.com/journal/12536		12536														
Trabajos de Investigacion Operativa	0213-8204								http://link.springer.com/journal/12537		12537														
Interdisciplinary Sciences: Computational Life Sciences	1913-2751								http://link.springer.com/journal/12539		12539														1867-1462
Metals and Materials International	1598-9623								http://link.springer.com/journal/12540		12540														2005-4149
International Journal of Precision Engineering and Manufacturing	2234-7593								http://link.springer.com/journal/12541		12541														2005-4602
Paläontologische Zeitschrift	0031-0220								http://link.springer.com/journal/12542		12542														1867-6812
Fuzzy Information and Engineering	1616-8658								http://link.springer.com/journal/12543		12543														1616-8666
European Transport Research Review	1867-0717								http://link.springer.com/journal/12544		12544														1866-8887
international journal of stomatology & occlusion medicine	1867-2221								http://link.springer.com/journal/12548		12548														1867-223X
Palaeobiodiversity and Palaeoenvironments	1867-1594								http://link.springer.com/journal/12549		12549														1867-1608
