publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	onlineidentifier
Médecine et Chirurgie du Pied	0759-2280								http://link.springer.com/journal/10243		10243														1765-2855
Reviews of Physiology, Biochemistry and Pharmacology	0303-4240								http://link.springer.com/journal/10254		10254														1617-5786
Acta Mathematicae Applicatae Sinica, English Series	0168-9673								http://link.springer.com/journal/10255		10255														1618-3932
Information Systems and e-Business Management	1617-9846								http://link.springer.com/journal/10257		10257														1617-9854
Portuguese Economic Journal	1617-982X								http://link.springer.com/journal/10258		10258														1617-9838
Statistical Methods & Applications	1618-2510								http://link.springer.com/journal/10260		10260														1613-981X
Archivio di Ortopedia e Reumatologia	0390-7368								http://link.springer.com/journal/10261		10261														1592-7113
Journal of Plant Research	0918-9440								http://link.springer.com/journal/10265		10265														1618-0860
Odontology	1618-1247								http://link.springer.com/journal/10266		10266														1618-1255
Mycoscience	1340-3540								http://link.springer.com/journal/10267		10267														1618-2545
Oncologie	1292-3818								http://link.springer.com/journal/10269		10269														1765-2839
Software & Systems Modeling	1619-1366								http://link.springer.com/journal/10270		10270														1619-1374
Intereconomics	0020-5346								http://link.springer.com/journal/10272		10272														1613-964X
Wirtschaftsdienst	0043-6275								http://link.springer.com/journal/10273		10273														1613-978X
International Journal of Asian Management	1618-7504								http://link.springer.com/journal/10276		10276														1618-7512
Journal of Digital Imaging	0897-1889								http://link.springer.com/journal/10278		10278														1618-727X
Clinical Autonomic Research	0959-9851								http://link.springer.com/journal/10286		10286														1619-1560
Computational Management Science	1619-697X								http://link.springer.com/journal/10287		10287														1619-6988
4OR	1619-4500								http://link.springer.com/journal/10288		10288														1614-2411
Die Weltwirtschaft	0043-2652								http://link.springer.com/journal/10289		10289														1613-9828
Review of World Economics	1610-2878								http://link.springer.com/journal/10290		10290														1610-2886
GPS Solutions	1080-5370								http://link.springer.com/journal/10291		10291														1521-1886
Journal of Industrial Microbiology & Biotechnology	1367-5435								http://link.springer.com/journal/10295		10295														1476-5535
Journal of Optical and Fiber Communications Research	1867-3007								http://link.springer.com/journal/10297		10297														1619-8638
Phytothérapie	1624-8597								http://link.springer.com/journal/10298		10298														1765-2847
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz	1436-9990								http://link.springer.com/journal/103		103														1437-1588
Fuß & Sprunggelenk	1619-9987								http://link.springer.com/journal/10302		10302														1619-9995
Gynäkologische Endokrinologie	1610-2894								http://link.springer.com/journal/10304		10304														1610-2908
Asia Europe Journal	1610-2932								http://link.springer.com/journal/10308		10308														1612-1031
Zeitschrift für Epileptologie	1617-6782								http://link.springer.com/journal/10309		10309														1610-0646
Journal of Forest Research	1341-6979								http://link.springer.com/journal/10310		10310														1610-7403
Environmental Chemistry Letters	1610-3653								http://link.springer.com/journal/10311		10311														1610-3661
Journal of General Plant Pathology	1345-2630								http://link.springer.com/journal/10327		10327														1610-739X
Primates	0032-8332								http://link.springer.com/journal/10329		10329														1610-7365
The Chinese-German Journal of Clinical Oncology	1610-1979								http://link.springer.com/journal/10330		10330														1613-9089
Revue Francophone de Psycho-Oncologie	1760-4133								http://link.springer.com/journal/10332		10332														1765-2863
Paddy and Water Environment	1611-2490								http://link.springer.com/journal/10333		10333														1611-2504
Magnetic Resonance Materials in Physics, Biology and Medicine	0968-5243								http://link.springer.com/journal/10334		10334														1352-8661
Journal of Ornithology	2193-7192								http://link.springer.com/journal/10336		10336														2193-7206
Chromatographia	0009-5893								http://link.springer.com/journal/10337		10337														1612-1112
Cognitive Processing	1612-4782								http://link.springer.com/journal/10339		10339														1612-4790
Journal of Pest Science	1612-4758								http://link.springer.com/journal/10340		10340														1612-4766
Erwerbs-Obstbau	0014-0309								http://link.springer.com/journal/10341		10341														1439-0302
European Journal of Forest Research	1612-4669								http://link.springer.com/journal/10342		10342														1612-4677
Gesunde Pflanzen	0367-4223								http://link.springer.com/journal/10343		10343														1439-0345
European Journal of Wildlife Research	1612-4642								http://link.springer.com/journal/10344		10344														1439-0574
Landslides	1612-510X								http://link.springer.com/journal/10346		10346														1612-5118
Facies	0172-9179								http://link.springer.com/journal/10347		10347														1612-4820
Diseases of the Colon & Rectum	0012-3706								http://link.springer.com/journal/10350		10350														1530-0358
Aggiornamenti CIO	1970-6839								http://link.springer.com/journal/10351		10351														1970-6847
European Surgery	1682-8631								http://link.springer.com/journal/10353		10353														1682-4016
Wiener Medizinische Wochenschrift	0043-5341								http://link.springer.com/journal/10354		10354														1563-258X
Natur und Recht	0172-1631								http://link.springer.com/journal/10357		10357														1439-0515
International Economics and Economic Policy	1612-4804								http://link.springer.com/journal/10368		10368														1612-4812
Japanese Journal of Ophthalmology	0021-5155								http://link.springer.com/journal/10384		10384														1613-2246
Esophagus	1612-9059								http://link.springer.com/journal/10388		10388														1612-9067
Journal of Public Health	2198-1833								http://link.springer.com/journal/10389		10389														1613-2238
EcoHealth	1612-9202								http://link.springer.com/journal/10393		10393														1612-9210
Journal of Medical Ultrasonics	1346-4523								http://link.springer.com/journal/10396		10396														1613-2254
Gynecological Surgery	1613-2076								http://link.springer.com/journal/10397		10397														1613-2084
Der Chirurg	0009-4722								http://link.springer.com/journal/104		104														1433-0385
Microfluidics and Nanofluidics	1613-4982								http://link.springer.com/journal/10404		10404														1613-4990
Der Pneumologe	1613-5636								http://link.springer.com/journal/10405		10405														1613-6055
European Radiology Supplements	1613-3749								http://link.springer.com/journal/10406		10406														1613-3757
Acta Mechanica Sinica	0567-7718								http://link.springer.com/journal/10409		10409														1614-3116
Annals of Surgical Oncology	1068-9265								http://link.springer.com/journal/10434		10434														1534-4681
Annals of Finance	1614-2446								http://link.springer.com/journal/10436		10436														1614-2454
African Archaeological Review	0263-0338								http://link.springer.com/journal/10437		10437														1572-9842
Applied Biochemistry and Microbiology	0003-6838								http://link.springer.com/journal/10438		10438														1608-3024
Annals of Biomedical Engineering	0090-6964								http://link.springer.com/journal/10439		10439														1573-9686
Acta Applicandae Mathematicae	0167-8019								http://link.springer.com/journal/10440		10440														1572-9036
Acta Biotheoretica	0001-5342								http://link.springer.com/journal/10441		10441														1572-8358
Annals of Clinical Psychiatry	1040-1237								http://link.springer.com/journal/10442		10442														1573-3238
Applied Composite Materials	0929-189X								http://link.springer.com/journal/10443		10443														1573-4897
Advances in Computational Mathematics	1019-7168								http://link.springer.com/journal/10444		10444														1572-9044
Acta Linguistica Hungarica	1216-8076								http://link.springer.com/journal/10445		10445														1588-2624
Adsorption	0929-5607								http://link.springer.com/journal/10450		10450														1572-8757
Advances in Contraception	0267-4874								http://link.springer.com/journal/10451		10451														1573-7195
Annals of Global Analysis and Geometry	0232-704X								http://link.springer.com/journal/10455		10455														1572-9060
Angiogenesis	0969-6970								http://link.springer.com/journal/10456		10456														1573-7209
Agroforestry Systems	0167-4366								http://link.springer.com/journal/10457		10457														1572-9680
Autonomous Agents and Multi-Agent Systems	1387-2532								http://link.springer.com/journal/10458		10458														1573-7454
Advances in Health Sciences Education	1382-4996								http://link.springer.com/journal/10459		10459														1573-1677
Agriculture and Human Values	0889-048X								http://link.springer.com/journal/10460		10460														1572-8366
Artificial Intelligence Review	0269-2821								http://link.springer.com/journal/10462		10462														1573-7462
Annals of the Institute of Statistical Mathematics	0020-3157								http://link.springer.com/journal/10463		10463														1572-9052
American Journal of Community Psychology	0091-0562								http://link.springer.com/journal/10464		10464														1573-2770
American Journal of Dance Therapy	0146-3721								http://link.springer.com/journal/10465		10465														1573-3262
Acta Juridica Hungarica	1216-2574								http://link.springer.com/journal/10467		10467														1588-2616
Algebras and Representation Theory	1386-923X								http://link.springer.com/journal/10468		10468														1572-9079
Algebra and Logic	0002-5232								http://link.springer.com/journal/10469		10469														1573-8302
Analog Integrated Circuits and Signal Processing	0925-1030								http://link.springer.com/journal/10470		10470														1573-1979
Annals of Mathematics and Artificial Intelligence	1012-2443								http://link.springer.com/journal/10472		10472														1573-7470
Acta Mathematica Hungarica	0236-5294								http://link.springer.com/journal/10474		10474														1588-2632
Analysis Mathematica	0133-3852								http://link.springer.com/journal/10476		10476														1588-273X
Annals of Operations Research	0254-5330								http://link.springer.com/journal/10479		10479														1572-9338
Annals of Software Engineering	1022-7091								http://link.springer.com/journal/10480		10480														1573-7489
Antonie van Leeuwenhoek	0003-6072								http://link.springer.com/journal/10482		10482														1572-9699
Applied Mathematics and Mechanics	0253-4827								http://link.springer.com/journal/10483		10483														1573-2754
Applied Psychophysiology and Biofeedback	1090-0586								http://link.springer.com/journal/10484		10484														1573-3270
Applied Categorical Structures	0927-2852								http://link.springer.com/journal/10485		10485														1572-9095
Administration and Policy in Mental Health and Mental Health Services Research	0894-587X								http://link.springer.com/journal/10488		10488														1573-3289
Applied Intelligence	0924-669X								http://link.springer.com/journal/10489		10489														1573-7497
Asia Pacific Journal of Management	0217-4561								http://link.springer.com/journal/10490		10490														1572-9958
Advanced Performance Materials	0929-1881								http://link.springer.com/journal/10491		10491														1572-8765
Applications of Mathematics	0862-7940								http://link.springer.com/journal/10492		10492														1572-9109
Experimental and Applied Acarology	0168-8162								http://link.springer.com/journal/10493		10493														1572-9702
Flow, Turbulence and Combustion	1386-6184								http://link.springer.com/journal/10494		10494														1573-1987
Apoptosis	1360-8185								http://link.springer.com/journal/10495		10495														1573-675X
Analysis in Theory and Applications	1672-4070								http://link.springer.com/journal/10496		10496														1573-8175
