publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status		coverage_notes
Bulletin International des Sociétés de Secours aux Militaires Blessés	1816-9678		1869-10-01	1	1	1885-10-01	16	64	http://www.cambridge.org/core/product/6D6A0182E170CDEAB08D963C03D1BD1A		10322		fulltext	now: International Review of the Red Cross 2005- ;previously: Revue internationale de la Croix-Rouge (1999. Imprimé) 1999-2004; Revue internationale de la Croix-Rouge 1955-1998; Revue internationale de la Croix-Rouge et Bulletin international des Sociétés de la Croix-Rouge 1919-1955; Bulletin international des sociétés de la Croix-Rouge 1886-1918; Bulletin international des sociétés de secours aux militaires blessés 1869-1885		serial										1816-9678						Current		
Social Science History	0145-5532	1527-8034	0007-02-27	1	1				http://www.cambridge.org/core/product/D197AD4760030A61ECE3CE650C7097C5		1122		fulltext			serial										0145-5532	1527-8034					Current		
European Journal of Archaeology	1461-9571	1741-2722	1998-01-01	1	1				http://www.cambridge.org/core/product/8741BEBDCB9451080BB5565CAC157C45		1129		fulltext	transfer in (2017): T&F. Previously: Journal of European Archaeology (1993-1997)		serial										1461-9571	1741-2722			2017-01-01		Current		
Mycological Research	0953-7562		1997-01-01	101	1	2005-12-01	109	12	http://www.cambridge.org/core/product/9329E56FB22DA3747E18A506D11CA876		12477		fulltext	transfer out: Elsevier 2006		serial										0953-7562						Current		
Mycologist	0269-915X		2002-02-01	16	1	2005-11-01	19	4	http://www.cambridge.org/core/product/2AC37449BF2AF87B9916E2E77A9A66C4		12478		fulltext	transfer out: Elsevier 2006		serial										0269-915X						Current		
Quaternary Research	0033-5894		1970-01-01	1	1				http://www.cambridge.org/core/product/3FC035C050250C3C403A775CB23D4ADA		12847		fulltext	transfer in(2017):Elsevier		serial										0033-5894				2017-01-01		Current		
Thalamus & Related Systems	1472-9288		2001-03-01	1	1	2008-03-01	4	1	http://www.cambridge.org/core/product/4360377E03E939FA09B800EB8DD1C0D9		13204		fulltext	ceased: 2008		serial										1472-9288						Current		
The American Journal of International Law	0002-9300	2161-7953	2012-04-01	106	2				http://www.cambridge.org/core/product/3CCFB3BC2DB31CE79FBA01995D5B6028		13721		fulltext	transfer in(2017): American Society of International Law.		serial										0002-9300	2161-7953			2017-01-01		Current		
The Far Eastern Quarterly	0363-6917		1941-11-01	1	1	1956-09-01	15	5	http://www.cambridge.org/core/product/8F0EB58A422AA94AF5D30722E66935DA		13743		fulltext	now: The Journal of Asian Studies 1956-		serial										0363-6917						Current		
The Journal of Symbolic Logic	0022-4812	1943-5886	1936-06-01	1	1				http://www.cambridge.org/core/product/56ED3BA46977662562A26BC04DD604FD		13767		fulltext			serial										0022-4812	1943-5886					Current		
Government and Opposition	0017-257X	1477-7053	1965-10-01	1	1				http://www.cambridge.org/core/product/39EFCD4861CFEA75065FEEDD9AF22D26		1379		fulltext	New for 2013. Previously published by Wiley Blackwell. It was part of Wiley NESLI2 2012 Agreement		serial									10.1111/(ISSN)1477-7053	0017-257X	1477-7053					Current		
Proceedings of the American Political Science Association	1520-8605		1905-12-01	1		1914-12-01	10		http://www.cambridge.org/core/product/DEF6D9E6432F4E804AD2D9416C8C2165		13798		fulltext	absorbed into: American Political Science Review		serial										1520-8605						Current		
Albion: A Quarterly Journal Concerned with British Studies	0095-1390		1969-01-01	1	1	2005-01-31	36	4	http://www.cambridge.org/core/product/D40AD6B45455614542CE67D4C91B3F56		13827		fulltext	now: Journal of British Studies		serial										0095-1390						Current		
American Antiquity	0002-7316		1935-07-01	1	1				http://www.cambridge.org/core/product/39C024C90F1E1F43BC0F4648DEE586CB		13828		fulltext	transfer in(2017):Society for American Archaeology.		serial										0002-7316				2017-01-01		Current		
ASA Review of Books	0364-1686	2326-3075	1975-01-01	1		1980-01-31	6		http://www.cambridge.org/core/product/1424AFA96F80FB35023FB2287A13960B		13833		fulltext	ceased		serial										0364-1686	2326-3075					Current		
The Bulletin of Symbolic Logic	1079-8986		1995-03-01	1	1				http://www.cambridge.org/core/product/F7268973893D3981F1B17A2E10347229		13843		fulltext			serial										1079-8986						Current		
Bulletin of the School of Oriental Studies	1356-1898		1917-02-01	1	1	1939-02-01	9	4	http://www.cambridge.org/core/product/A221FD6CDA29B2D66BB2B58D6BE11571		13845		fulltext	now: Bulletin of the School of Oriental and African Studies 1940-		serial										1356-1898						Current		
Cambridge Historical Journal	1474-6913		1923-01-01	1	1	1957-01-01	13	2	http://www.cambridge.org/core/product/5EF59713DAB7D266F899034C53C2E0B9		13846		fulltext	now: Historical Journal		serial										1474-6913						Current		
The Canadian Journal of Economics and Political Science / Revue canadienne d'Economique et de Science politique	0315-4890	1920-7220	1935-02-01	1	1	1967-11-30	33	4	http://www.cambridge.org/core/product/FD937B7BA35BA3C7A015735AB1A3DB4B		13847		fulltext	now: Continued by Canadian Journal of Political Science/Revue canadienne de science politique		serial										0315-4890	1920-7220					Current		
History of Education Quarterly	0018-2680	1748-5959	2011-02-01	51	1				http://www.cambridge.org/core/product/67716BB2C104B0EAB16601FEB47447B6		1389		fulltext	transfer in (2017): Wiley.		serial									10.1111/(ISSN)1748-5959	0018-2680	1748-5959			2017-01-01		Current		
PS	0030-8269		1968-12-01	1	1	1987-12-01	20	4	http://www.cambridge.org/core/product/DACDE76A4E1D287359185FE191ACDEDC		13903		fulltext	now: PS: Political Science and Politics 1988-		serial										0030-8269						Current		
Slavic Review	0037-6779		2012-01-01	71	4				http://www.cambridge.org/core/product/BE028C241144CA93B60D30FFBA435841		13911		fulltext	transfer in(2017): The Association for Slavic, East European, & Eurasian Studies.		serial										0037-6779				2017-01-01		Current		
Architectural History	0066-622X	2059-5670	2013-01-01	56					http://www.cambridge.org/core/product/D1FEC648135382964A4CF47A6F5FE8D4		13932		fulltext	transfer in (2016). 1958 Vol. 1 published.		serial										0066-622X	2059-5670					Current		
CORD News	0588-7356		1973-11-01	6	1	1974-07-01	6	2	http://www.cambridge.org/core/product/CFB5D61CF3EE0F872FAEADF72102ABEC		13964		fulltext	now: Dance Research Journal 1975-		serial										0588-7356						Current		
Journal of Law and Religion	0748-0814	2163-3088	2014-02-01	29					http://www.cambridge.org/core/product/8E27515A8B4162AD2B5762D81F70612A		14116		fulltext	New in 2014		serial										0748-0814	2163-3088					Current		
Annales. Histoire, Sciences Sociales	0395-2649	1953-8146	2011-03-01	66	1				http://www.cambridge.org/core/product/202D77A6F591FCD2F3F34AEEB8DE334E		14171		fulltext	transfer in(2017).		serial										0395-2649	1953-8146			2017-01-01		Current		
Bulletin (British Association for American Studies)	0524-5001		1956-04-01	1		1966-01-01	12		http://www.cambridge.org/core/product/88CC56729E28EC53B653BF351761BF2D		14193		fulltext	now: Journal of American Studies 1967-		serial										0524-5001						Current		
The Journal of the Royal Asiatic Society of Great Britain and Ireland	0035-869X		1834-01-01	1	1	1990-04-01	122	2	http://www.cambridge.org/core/product/D70E68907DDF872EE920CC1BC27B6544		14243		fulltext	now: Journal of the Royal Asiatic Society 1991-		serial										0035-869X						Current		
Newsletter: European Labor and Working Class History	0097-8523		1972-05-01	1		1975-11-01	8		http://www.cambridge.org/core/product/136F75E502E571AB339049E65F7CDF2F		14275		fulltext	now: International Labor and Working-Class History 1976-		serial										0097-8523						Current		
British Journal of International Studies	0305-8026		1975-04-01	1	1	1980-10-01	6	3	Review of International Studies		14346		fulltext	now: Review of International Studies 1981-		serial										0305-8026						Current		
Business Ethics Quarterly	1052-150X	2153-3326	1991-01-01	1	1				http://www.cambridge.org/core/product/4E2E111F97C4EE00B2B907C831C096CB		14351		fulltext	transfer in (2015): Philosophy Documentation Center		serial										1052-150X	2153-3326			2015-01-01		Current		
International Legal Materials	0020-7829	1930-6571	2012-02-01	51	1				http://www.cambridge.org/core/product/0851EEC7359CCCDF8E3C9C1B4E975B4E		14386		fulltext	transfer in(2017): American Society of International Law.		serial										0020-7829	1930-6571			2017-01-01		Current		
Proceedings of the Annual Meeting (American Society of International Law)	0272-5037		2013-01-01	107					http://www.cambridge.org/core/product/4A4FC9600EA68705F1022022EA70125A		14427		fulltext	transfer in(2017): American Society of International Law. content not yet available		serial										0272-5037						Current		
Bulletin of the Business Historical Society	1065-9048		1926-06-01	1		1953-12-01	27	4	http://www.cambridge.org/core/product/C269FC4EBCA2E8C47A2057D9E8E9B812		14649		fulltext	now: Business History Review 1954-		serial										1065-9048						Current		
Recherches Économiques de Louvain / Louvain Economic Review	0770-4518	1782-1495	2011-01-01	77	1	2014-01-01	80	2	http://www.cambridge.org/core/product/8D3B5182D242D1C5F4A7B7A68DD8C0FC		14725		fulltext	now: Journal of demographic economics (issn 2054-0892)2015-present		serial										0770-4518	1782-1495					Current		
Transactions of the Faculty of Actuaries	0071-3686		1901-10-01	1		1994-12-01	44		http://www.cambridge.org/core/product/33DDAAD5AA85594014918AB977C846C6		14733		fulltext	previously: Transactions of the Actuarial Society of Edinburgh 1886-1901		serial										0071-3686						Current		
Infection Control and Hospital Epidemiology	0899-823X	1559-6834	1980-02-01	1	1				http://www.cambridge.org/core/product/95EF576C9780A64242FCC544A02D3A60		14771		fulltext	Transfer in (2015) : University of Chicago		serial										0899-823X	1559-6834			2015-01-01		Current		
Advances in Applied Probability	0001-8678	1475-6064	2012-03-01	44	1				http://www.cambridge.org/core/product/22C8F4910E8F250FF1C359A24E9E8DC4		14803		fulltext	transfer in (2016): Applied Probability Trust. Vol. 1 (spring 1969). 		serial										0001-8678	1475-6064					Current		
Journal of Applied Probability	0021-9002	1475-6072	1964-06-01	1	1				http://www.cambridge.org/core/product/5AE4897C20187657FD3A685CF371BC52		14807		fulltext	transfer in (2016).		serial										0021-9002	1475-6072					Current		
The Mathematical Gazette	0025-5572	2056-6328	2010-03-01	94	529				http://www.cambridge.org/core/product/8326C7E23EACA7E195B64A61F35BD4B4		14811		fulltext	New to Cambridge for 2015		serial										0025-5572	2056-6328			2015-01-01		Current		
African Issues	1548-4505	2325-873X	2000-01-01	28	1/2	2003-10-31	32	1/2	http://www.cambridge.org/core/product/FB7D1BE737C43E37E0F6EC010A22BAA1		15052		fulltext	now: African Studies Bulletin.		serial										1548-4505	2325-873X					Current		
Iraq	0021-0889	2053-4744	1946-01-01	8					http://www.cambridge.org/core/product/CB107E9EBF448C2A08B600C58C792DE2		15096		fulltext	New in 2014		serial										0021-0889	2053-4744					Current		
Journal of Philosophical Studies	1752-6795		1926-01-01	1	1	1931-01-01	6	21	http://www.cambridge.org/core/product/3EA385852862D405D2421320F738E6C6		15105		fulltext	now: Philosophy 1932-		serial										1752-6795						Current		
Latin American Antiquity	1045-6635		1990-03-01	1	1				http://www.cambridge.org/core/product/CAB787538FCD5E06C5BB22E284B049E6		15106		fulltext	transfer in(2017).		serial										1045-6635				2017-01-01		Current		
Phonology Yearbook	0265-8062		1984-05-01	1		1987-12-01	4		http://www.cambridge.org/core/product/CDB4467E165BAC69C3AF66494E2B8FEC		15127		fulltext	now: Phonology 1988- (v.2-4 not yet available)		serial										0265-8062						Current		
Management and Organization Review	1740-8776	1740-8784	2005-03-01	1	1				http://www.cambridge.org/core/product/BF7AA05373EDA8377D8F112BE4D440B4		1532		fulltext	Transfer in (2015): Wiley		serial									10.1111/(ISSN)1740-8784	1740-8776	1740-8784			2015-01-01		Current		
European Journal of Anaesthesiology	0265-0215	1365-2346	1996-02-01	13	2	2008-12-31	25	12	http://www.cambridge.org/core/product/8EEF1FBFD543AC83838AFF554B03CB89		15326		fulltext	transfer out (2009): LWW		serial									10.1111/(ISSN)1365-2346	0265-0215	1365-2346					Current		
Industrial and Organizational Psychology	1754-9426	1754-9434	2008-03-01	1	1				http://www.cambridge.org/core/product/CB1A2EBA2AEDFBF5D8C79E9EA53D39BA		15371		fulltext	transfer in (2015): Wiley		serial									10.1111/(ISSN)1754-9434	1754-9426	1754-9434			2015-01-01		Current		
Review of Middle East Studies	2151-3481	2329-3225	2009-01-01	43	1				http://www.cambridge.org/core/product/66827CFAF1DAE77B7E53A875E3590150		15954		fulltext	transfer in (2015). Previously : Middle East Studies Association Bulletin (dates 1967 - 2008)		serial										2151-3481	2329-3225			2015-01-01		Current		
Psychophysiology	0048-5772	1469-8986	1998-01-01	35	1	2002-11-01	39	6	http://www.cambridge.org/core/product/9005A66C2F888FD57165849D1642509C		1611		fulltext	transfer out (2003): Wiley		serial									10.1111/(ISSN)1469-8986	0048-5772	1469-8986					Current		
Irish Historical Studies	0021-1214	2056-4139	1998-05-01	31	121				http://www.cambridge.org/core/product/B4C2B22312530AF5372491D747B22EF5		16110		fulltext	transfer in (2015)		serial										0021-1214	2056-4139			2015-01-01		Current		
Social Anthropology	0964-0282	1469-8676	1999-02-01	7	1	2006-03-01	14	3	http://www.cambridge.org/core/product/6356EB1804DB85E04E1BC9E83EE8E6BB		1647		fulltext	transfer out: Wiley 2007		serial									10.1111/(ISSN)1469-8676	0964-0282	1469-8676					Current		
Behavioural Psychotherapy	0141-3473	2051-199X	1978-01-01	3	1	1993-04-01	21	2	http://www.cambridge.org/core/product/0791B9E2ACA02CF9865BE73FAD2CE3EA		16532		fulltext	now: Behavioural and Cognitive Psychotherapy 1993- ;previously: Behavioural Psychotherapy 1978-1993; B.A.B.P. Bulletin 1975-1977		serial										0141-3473	2051-199X					Current		
B.A.B.P. Bulletin	2041-3483	2051-2007	1975-01-01	3	1	1977-10-01	5	4	http://www.cambridge.org/core/product/0791B9E2ACA02CF9865BE73FAD2CE3EA		16533		fulltext	now: Behavioural and Cognitive Psychotherapy 1993- ;previously: Behavioural Psychotherapy 1978-1993; B.A.B.P. Bulletin 1975-1977		serial										2041-3483	2051-2007					Current		
Prospects (New York)	0361-2333	1471-6399	1976-10-01	1		2005-10-01	30	1	http://www.cambridge.org/core/product/D1E75CD07C1D0F672B88F2C05A9F63E8		16538		fulltext	ceased: 2005		serial										0361-2333	1471-6399					Current		
International Review for Social History	1873-0841		1936-01-01	1		1938-01-01	4		http://www.cambridge.org/core/product/7FF220AF2690AB6F90D102E3DFF1F1DE		16539		fulltext	now: International Review of Social History 1956- ;previously: Bulletin of the International Institute of Social History 1937-1955; International Review for Social History 1936-1939		serial										1873-0841						Current		
The Journal of Child Psychology and Psychiatry and Allied Disciplines	0021-9630	1469-7610	1998-01-01	39	1	2001-11-01	42	8	http://www.cambridge.org/core/product/3B29678DFDD3F7E5C7831C23226F810B		1696		fulltext	transfer out: Wiley 2002		serial									10.1111/(ISSN)1469-7610	0021-9630	1469-7610					Current		
Nagoya Mathematical Journal	0027-7630	2152-6842	1950-06-01	1					http://www.cambridge.org/core/product/B61296204DE80BC62EA8AFE376BA6186		17417		fulltext	New (2016).		serial										0027-7630	2152-6842					Current		
Asian Journal of Law and Society	2052-9015	2052-9023	2014-05-01	1	1				http://www.cambridge.org/core/product/D329C13FB3EC23F00D4DCDE827625159		17535		fulltext	New in 2014		serial										2052-9015	2052-9023					Current		
Cambridge Journal of Postcolonial Literary Inquiry	2052-2614	2052-2622	2014-03-01	1	1				http://www.cambridge.org/core/product/53CB62C4E0B79F00F79045DDEB29BA6E		17536		fulltext	New in 2014		serial										2052-2614	2052-2622					Current		
Journal of Experimental Political Science	2052-2630	2052-2649	2002-01-01	1					http://www.cambridge.org/core/product/21823F867AA0CEB8F70A06EEE0E35B09		17537		fulltext	New in 2014		serial										2052-2630	2052-2649					Current		
Journal of Management & Organization	1833-3672	1839-3527	2013-01-01	19	1				http://www.cambridge.org/core/product/C5D851BC4676D9A401041FE36CB97902		17538		fulltext	New in 2014		serial										1833-3672	1839-3527					Current		
Libyan Studies	0263-7189	2052-6148	2011-01-01	42	1				http://www.cambridge.org/core/product/3E086D184909CCC9870DBC87782720B6		17539		fulltext	New in 2014		serial										0263-7189	2052-6148					Current		
New Surveys in the Classics	0533-2451	2052-8531	2006-01-01	36					http://www.cambridge.org/core/product/32810A5A6B7C62BD52598C8DF20B7E83		17540		fulltext	New in 2014		serial										0533-2451	2052-8531					Current		
Wireless Power Transfer		2052-8418	2014-03-01	1	1				http://www.cambridge.org/core/product/850E7D3AEBE8C9B91508C65F0EDE02BD		17541		fulltext	New in 2014		serial											2052-8418					Current		
Journal of Benefit-Cost Analysis	2194-5888	2152-2812	2010-01-01	1	1				http://www.cambridge.org/core/product/6BA6BA2AAB5F0258EADFD90B06577EB7		17766		fulltext	transfer in (2015): Walter de Gruyter		serial										2194-5888	2152-2812			2015-01-01		Current		
RNA	1355-8382	1469-9001	1997-01-01	3	1	2002-12-31	8	12	http://www.cambridge.org/core/product/68E9639F76C1E1EAA380FC845CB18A04		18221		fulltext			serial										1355-8382	1469-9001					Current		
Invasive Plant Science and Management	1939-7291	1939-747X	2008-01-01	1	1				http://www.cambridge.org/core/product/DB9102326BEB2D3B7EAE60C3FD79EEC9		1827		fulltext	transfer in(2017):Weed Science Society of America		serial										1939-7291	1939-747X			2017-01-01		Current		
Journal of Paleontology	0022-3360	1937-2337	1986-01-01	60	1				http://www.cambridge.org/core/product/56B1B6F705BBEC4F8958383925A06535		1845		fulltext	transfer in (2015)		serial										0022-3360	1937-2337			2015-01-01		Current		
Paleobiology	0094-8373	1938-5331	1975-01-01	1	1				http://www.cambridge.org/core/product/A8663E6BE4FB448BB17B22761D7932B9		1878		fulltext	transfer in (2015)		serial										0094-8373	1938-5331			2015-01-01		Current		
Politics and the Life Sciences	0730-9384	1471-5457	2015-01-01	34	1				http://www.cambridge.org/core/product/A53DCD4B61DAAADD79C19A4A4A014227		1883		fulltext			serial										0730-9384	1471-5457					Current		
Child Psychology and Psychiatry Review	1360-6417		1998-02-01	3	1	2001-11-01	6	4	http://www.cambridge.org/core/product/D41FC0BB35F26311066290B76BEE5B39		18904		fulltext	now: Child and Adolescent Mental Health 2002-		serial										1360-6417						Current		
The Canadian Entomologist	0008-347X	1918-3240	1868-08-01	1	1				http://www.cambridge.org/core/product/2DD17A42E6E59026C256A7EBBDB96645		1903		fulltext			serial										0008-347X	1918-3240					Current		
Weed Science	0043-1745	1550-2759	2000-02-01	48	1				http://www.cambridge.org/core/product/279C3F50B926CC9F3061C31162FADD80		1916		fulltext	transfer in(2017): Weed Science Society of America.		serial										0043-1745	1550-2759			2017-01-01		Current		
Weed Technology	0890-037X	1550-2740	2000-03-01	14	1				http://www.cambridge.org/core/product/96F2DAEB1066989CF72064E97B1D8112		1917		fulltext	transfer in(2017): Weed Science Society of America.		serial										0890-037X	1550-2740			2017-01-01		Current		
Art Libraries Journal	0307-4722	2059-7525	1976-04-01	1	1				http://www.cambridge.org/core/product/0CAD215B4D10CE0941835947A90CDFEB		19396		fulltext	transfer in (2016). Previously: ARLIS newsletter (1969-1976)		serial										0307-4722	2059-7525					Current		
Journal of the London Mathematical Society	0024-6107	1469-7750	1997-02-01	55	1	2006-12-01	74	3	http://www.cambridge.org/core/product/275D4818EAC984AB40FFDB7501486503		1943		fulltext	transfer out: Oxford University Press 2007		serial										0024-6107	1469-7750					Current		
Antiquity	0003-598X	1745-1744	1927-03-01	1	1				http://www.cambridge.org/core/product/C06207AB2CE3EE948718B5F6E30870D7		19549		fulltext	transfer in (2014):Antiquity Publications 		serial										0003-598X	1745-1744			2015-01-01		Current		
Bulletin of the London Mathematical Society	0024-6093	1469-2120	1997-01-01	29	1	2006-12-31	38	6	http://www.cambridge.org/core/product/AED41328F739AF7946D05667591DC213		1985		fulltext	transfer out		serial										0024-6093	1469-2120					Current		
Political Analysis	1047-1987	1476-4989	1989-01-01	1					http://www.cambridge.org/core/product/EEF1D4438BAB8498B2A647F9DBC47AA7		2052		fulltext	transfer in(2017): Oxford University Press.		serial										1047-1987	1476-4989			2017-01-01		Current		
European Review of Economic History	1361-4916	1474-0044	1997-04-01	1	1	2011-12-01	15	3	http://www.cambridge.org/core/product/60693CCD0AC0BF232F2F56C0E0DB268F		2087		fulltext	transfer out: Oxford University Press 2012		serial										1361-4916	1474-0044					Current		
Enterprise and Society	1467-2227	1467-2235	2000-03-01	1	2				http://www.cambridge.org/core/product/64B21495494897A8DE797BBCA86847B0		2096		fulltext	Transfer in (2015): Oxford University Press		serial										1467-2227	1467-2235			2015-01-01		Current		
